JAP;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
55856;Head of Military Intelligence;Higuchi Kiichiro;1938;1964;1999;FA;Logistics Specialist;Medium;M5142;X
55857;Head of Military Intelligence;Araki Sadao;1939;1964;1999;FA;Political Specialist;Medium;M5143;X
55858;Head of Military Intelligence;Tsuchihashi Yuitsu;1940;1964;1999;FA;Technical Specialist;Medium;M5144;X
55859;Head of Military Intelligence;Koiso Kuniaki;1943;1964;1999;FA;Industrial Specialist;Medium;M5043;X
55860;Chief of Staff;Kanichiro Tashiro;1941;1964;1999;SC;School of Psychology;Very Low;MJAPKanichiro2;X
55861;Chief of Staff;Tanigawa Kazuo;1945;1964;1999;SC;School of Mass Combat;Very Low;MJAPTanigawa2;X
55862;Chief of Staff;Abe Nobuyuki;1941;1964;1999;PA;School of Fire Support;Medium;M5035;X
55863;Chief of Staff;Sugiyama Hajime;1936;1964;1999;FA;School of Defence;Medium;M5155;X
55864;Chief of Staff;Umezu Yoshijiro;1936;1964;1999;SL;School of Fire Support;Medium;M5157;X
55865;Chief of Army;Imai Takeo;1955;1964;1999;ML;Elastic Defence Doctrine;Medium;M5018;X
55866;Chief of Army;Tsuchihashi Yuitsu;1945;1964;1999;FA;Decisive Battle Doctrine;Medium;M5144;X
55867;Chief of Army;Fujioka Takeo;1941;1964;1999;PA;Elastic Defence Doctrine;Very Low;M5163;X
55868;Chief of Army;Aotsu Kikutaro;1945;1964;1999;PA;Guns and Butter Doctrine;Very Low;M5164;X
55869;Chief of Army;Sugiyama Hajime;1936;1964;1999;FA;Decisive Battle Doctrine;Medium;M5155;X
55870;Chief of Army;Umezu Yoshijiro;1936;1964;1999;SL;Guns and Butter Doctrine;Medium;M5157;X
55871;Chief of Navy;Osumi Mineo;1936;1964;1999;FA;Decisive Naval Battle Doctrine;Very High;M5009;X
55872;Chief of Navy;Shimada Shigetaro;1936;1964;1999;FA;Indirect Approach Doctrine;Medium;M5170;X
55873;Chief of Navy;Toyoda Soemu;1944;1964;1999;PA;Decisive Naval Battle Doctrine;Medium;M5171;X
55874;Chief of Navy;Fujita Hisanori;1936;1964;1999;PA;Decisive Naval Battle Doctrine;Medium;M5172;X
55875;Chief of Navy;Nagano Osami;1936;1964;1999;PA;Power Projection Doctrine;Medium;M5173;X
55876;Chief of Navy;Oikawa Koshiro;1944;1964;1999;PA;Base Control Doctrine;Medium;M5175;X
55877;Chief of Navy;Yamamoto Isoroku;1936;1964;1999;ML;Power Projection Doctrine;Very High;M5010;X
55878;Chief of Navy;Koga Mineichi;1943;1964;1999;SC;Open Seas Doctrine;Very High;L101243;X
55879;Chief of Navy;Ozawa Jisaburo;1944;1964;1999;SC;Power Projection Doctrine;High;L101273;X
55880;Chief of Air Force;Inoue Shigeyoshi;1936;1964;1999;SL;Naval Aviation Doctrine;Medium;M5180;X
55881;Chief of Air Force;Tsukahara Nishizou;1941;1964;1999;SC;Air Superiority Doctrine;Medium;M5181;X
55882;Chief of Air Force;Oikawa Koshiro;1936;1964;1999;PA;Naval Aviation Doctrine;Medium;M5175;X
55883;Chief of Air Force;Higashikuni Naruhiko;1937;1964;1999;FA;Carpet Bombing Doctrine;Medium;M5038;X
55884;Chief of Air Force;Toyoda Teijiro;1938;1964;1999;PA;Naval Aviation Doctrine;Medium;M5061;X
55885;Chief of Air Force;Wada Misao;1945;1964;1999;PA;Vertical Envelopment Doctrine;Medium;M5182;X
55886;Chief of Air Force;Hata Shunroku;1936;1964;1999;PA;Army Aviation Doctrine;Medium;M5189;X
55887;Chief of Air Force;Tojo Hideki;1938;1964;1999;FA;Army Aviation Doctrine;Medium;M5042;X
55888;Chief of Air Force;Anami Korechika;1942;1964;1999;FA;Vertical Envelopment Doctrine;Medium;M5194;X
55889;Chief of Air Force;Ushiroku Jun;1943;1964;1999;FA;Army Aviation Doctrine;Medium;MJAPUshiroku2;X
55890;Chief of Air Force;Sugawara Michio;1944;1964;1999;PA;Air Superiority Doctrine;Medium;M5196;X
55891;Chief of Air Force;Kawabe Masakazu;1945;1964;1999;PA;Army Aviation Doctrine;Medium;M5197;X
55892;Chief of Army;Araki Sadao;1936;1964;1999;FA;Decisive Battle Doctrine;Medium;M5143;X
55893;Chief of Staff;Araki Sadao;1936;1964;1999;FA;School of Psychology;Medium;M5143;X
55894;Chief of Staff;Ugaki Kazushige;1936;1964;1999;ML;School of Fire Support;High;MJAPUgaki2;X
55895;Minister of Armament;Koiso Kuniaki;1936;1964;1999;FA;Air Superiority Proponent;High;M5043;X
55896;Chief of Air Force;Obata Hideyoshi;1936;1964;1999;NS;Air Superiority Doctrine;Medium;L101321;X
55897;Chief of Navy;Toyoda Teijiro;1936;1964;1999;PA;Base Control Doctrine;Medium;M5061;X
55898;Chief of Navy;Fushimi Hiroyasu;1936;1964;1999;FA;Power Projection Doctrine;Very High;Hiroyasu;X
55899;Chief of Army;Nagata Tetsuzan;1940;1964;1999;PA;Decisive Battle Doctrine;Medium;MJAPNagata;X
55900;Minister of Security;Minobe Tatsukichi;1936;1964;1999;SL;Silent Lawyer;Medium;MJAPTatsukichi;X
55901;Minister of Security;Abe Yoshishige;1936;1964;1999;SL;Silent Lawyer;High;MJAPYoshishige;X
55902;Minister of Security;Kanamori Tokujiro;1936;1964;1999;ML;Silent Lawyer;Medium;MJAPKanamori;X
55903;Minister of Armament;Matsumoto Joji;1936;1964;1999;SC;Resource Industrialist;Medium;MJAPJoji;X
55904;Head of Military Intelligence;Sasaki Soichi;1936;1964;1999;SL;Technical Specialist;Medium;MJAPSasaki;X
55905;Chief of Staff;Hata Shunroku;1937;1964;1999;PA;School of Fire Support;Medium;M5189;X
55906;Chief of Army;Hata Shunroku;1937;1964;1999;PA;Guns and Butter Doctrine;Medium;M5189;X
55907;Chief of Staff;Nagata Tetsuzan;1940;1964;1999;PA;School of Mass Combat;Medium;MJAPNagata;X
55908;Chief of Army;Ugaki Kazushige;1936;1964;1999;ML;Decisive Battle Doctrine;High;MJAPUgaki2;X
55909;Chief of Staff;Yamashita Tomoyuki;1944;1964;1999;NS;School of Manoeuvre;Medium;M5192;X
55910;Chief of Army;Yamashita Tomoyuki;1944;1964;1999;NS;Armoured Spearhead Doctrine;Medium;M5192;X
55911;Chief of Staff;Kawabe Masakazu;1945;1964;1999;PA;School of Defence;Medium;M5197;X
55912;Chief of Army;Kawabe Masakazu;1945;1964;1999;PA;Elastic Defence Doctrine;Medium;M5197;X
55913;Chief of Navy;Yonai Mitsumasa;1936;1964;1999;ML;Open Seas Doctrine;High;M5036;X
55914;Chief of Navy;Kobayashi Seizo;1936;1964;1999;SC;Decisive Naval Battle Doctrine;High;M5111;X
55915;Chief of Navy;Takahashi Sankichi;1936;1964;1999;FA;Power Projection Doctrine;High;L101284;X
55916;Chief of Navy;Inoue Shigeyoshi;1936;1964;1999;SL;Power Projection Doctrine;Medium;M5180;X
55917;Chief of Navy;Hyakutake Gengo;1940;1964;1999;SC;Open Seas Doctrine;Medium;L101233;X
55918;Chief of Navy;Yamanashi Katsunoshin;1936;1964;1999;SC;Open Seas Doctrine;Medium;MJAPYamanashi;X
55919;Chief of Navy;Nomura Kichisaburo;1939;1964;1999;SC;Decisive Naval Battle Doctrine;Medium;L101265;X
55920;Head of Military Intelligence;Arisue Seizo;1945;1964;1999;SC;Political Specialist;Medium;MJAPArisue;X
55921;Head of Military Intelligence;Hoshina Zenshiro;1945;1964;1999;SC;Industrial Specialist;Medium;MJAPHoshina;X
55922;Head of Military Intelligence;Ishiwara Kanji;1945;1964;1999;PA;Dismal Enigma;Medium;L101064;X
55923;Head of Military Intelligence;Tsuji Masanobu;1945;1964;1999;NS;Dismal Enigma;Medium;L101189;X
55924;Head of Military Intelligence;Sugita Ichiji;1952;1964;1999;SC;Political Specialist;Medium;MJAPSugita;X
55925;Head of Military Intelligence;Hori Eizo;1958;1964;1999;SC;Logistics Specialist;Medium;MJAPHori;X
55926;Chief of Staff;Anami Korechika;1945;1964;1999;FA;School of Psychology;Medium;L101007;X
55927;Chief of Army;Anami Korechika;1945;1964;1999;FA;Static Defence Doctrine;Medium;L101007;X
55928;Chief of Staff;Hitoshi Imamura;1945;1964;1999;SC;School of Defence;Medium;L101059;X
55929;Chief of Army;Hitoshi Imamura;1945;1964;1999;SC;Guns and Butter Doctrine;Medium;L101059;X
55930;Chief of Staff;Shimomura Sadamu;1947;1964;1999;SC;School of Defence;Medium;L101160;X
55931;Chief of Army;Shimomura Sadamu;1947;1964;1999;SC;Static Defence Doctrine;Medium;L101160;X
55932;Chief of Staff;Kawabe Torashiro;1949;1964;1999;SC;School of Fire Support;Medium;L101314;X
55933;Chief of Army;Kawabe Torashiro;1949;1964;1999;SC;Static Defence Doctrine;Medium;L101314;X
55934;Chief of Staff;Muto Akira;1950;1964;1999;FA;School of Defence;Medium;L101123;X
55935;Chief of Army;Muto Akira;1950;1964;1999;FA;Decisive Battle Doctrine;Medium;L101123;X
55936;Chief of Staff;Kuribayashi Tadamichi;1951;1964;1999;SC;School of Psychology;Medium;L101108;X
55937;Chief of Army;Kuribayashi Tadamichi;1951;1964;1999;SC;Elastic Defence Doctrine;Medium;L101108;X
55940;Chief of Staff;Imai Takeo;1955;1964;1999;ML;School of Manoeuvre;Medium;M5018;X
55941;Chief of Staff;Hattori Takushiro;1958;1964;1999;FA;School of Defence;Medium;L101035;X
55942;Chief of Army;Hattori Takushiro;1958;1964;1999;FA;Decisive Battle Doctrine;Medium;L101035;X
55943;Chief of Staff;Yahara Hiromichi;1959;1964;1999;SC;School of Fire Support;Medium;L101199;X
55944;Chief of Army;Yahara Hiromichi;1959;1964;1999;SC;Elastic Defence Doctrine;Medium;L101199;X
55945;Chief of Staff;Sugiyama Shigeru;1962;1964;1999;SC;School of Manoeuvre;Medium;MJAPShigeru;X
55946;Chief of Army;Sugiyama Shigeru;1962;1964;1999;SC;Armoured Spearhead Doctrine;Medium;MJAPShigeru;X
55947;Chief of Air Force;Yasuda Takeo;1945;1964;1999;NS;Naval Aviation Doctrine;Medium;L101342;X
55948;Chief of Air Force;Takasu Shiro;1946;1964;1999;SC;Naval Aviation Doctrine;Medium;M5134;X
55949;Chief of Air Force;Teramoto Kumaichi;1948;1964;1999;SC;Army Aviation Doctrine;Medium;MJAPTeramoto;X
55950;Chief of Air Force;Tsukada Rikichi;1949;1964;1999;SC;Vertical Envelopment Doctrine;Medium;MJAPRikichi;X
55951;Chief of Air Force;Shimoyama Takuma;1951;1964;1999;SC;Air Superiority Doctrine;Medium;L101330;X
55952;Chief of Air Force;Kozono Yasuna;1953;1964;1999;FA;Air Superiority Doctrine;Medium;MJAPKozono;X
55953;Chief of Air Force;Tanigawa Kazuo;1955;1964;1999;SC;Army Aviation Doctrine;Medium;MJAPTanigawa2;X
55954;Chief of Air Force;Sanagi Sadamu;1958;1964;1999;SC;Naval Aviation Doctrine;Medium;MJAPSanagi;X
55955;Chief of Air Force;Genda Minoru;1960;1964;1999;SC;Air Superiority Doctrine;Medium;L101307;X
55956;Chief of Navy;Sawamoto Yorio;1945;1964;1999;SC;Base Control Doctrine;Medium;MJAPSawamoto;X
55957;Chief of Navy;Shimizu Mitsumi;1945;1964;1999;SC;Indirect Approach Doctrine;Medium;MJAPShimizu;X
55958;Chief of Navy;Fukudome Shigeru;1950;1964;1999;PA;Decisive Naval Battle Doctrine;Medium;L101223;X
55959;Chief of Navy;Yamaguchi Tamon;1951;1964;1999;SC;Power Projection Doctrine;Medium;L101295;X
55960;Chief of Navy;Tanaka Raizo;1952;1964;1999;SC;Indirect Approach Doctrine;Medium;L101287;X
55961;Chief of Navy;Matsuda Chiaki;1954;1964;1999;PA;Decisive Naval Battle Doctrine;Medium;MJAPMatsuda;X
55962;Chief of Navy;Tomioka Sadatoshi;1956;1964;1999;SC;Power Projection Doctrine;Medium;MJAPTomioka;X
55963;Chief of Navy;Yamamoto Chikao;1957;1964;1999;SC;Power Projection Doctrine;Medium;MJAPYamachi;X
55964;Chief of Navy;Yokoyama Ichiro;1958;1964;1999;SC;Base Control Doctrine;Medium;L101211;X
55965;Chief of Navy;Kami Shigenori;1960;1964;1999;NS;Decisive Naval Battle Doctrine;Medium;MJAPKami;X
55966;Head of State;Takamatsu Nobuhito;1936;1964;1999;LE;Weary Stiffneck;High;MJAPTakamatsu;X
55967;Head of State;Chichibu Yasuhito;1936;1964;1999;NS;Sessho;High;MJAPChichibu;X
5001;Head of Government;Kawakami Jotaro;1956;1964;1999;SD;Flamboyant Tough Guy;High;MJAPJotaro;X
5002;Foreign Minister;Royama Masamichi;1948;1964;1999;SD;Great Compromiser;High;MJAPRoyama;X
5003;Foreign Minister;Kawakami Jotaro;1952;1964;1999;SD;Biased Intellectual;High;MJAPJotaro;X
5004;Foreign Minister;Katsumata Seiichi;1956;1964;1999;SD;Ideological Crusader;High;MJAPKatsumata;X
5005;Minister of Armament;Ninagawa Torazo;1944;1964;1999;SD;Administrative Genius;High;MJAPNinagawa;X
5006;Minister of Armament;Sasaki Kouzou;1944;1964;1999;LWR;Resource Industrialist;High;MJAPKouzou;X
5007;Minister of Armament;Katsumata Seiichi;1952;1964;1999;SD;Laissez-Faire Capitalist;High;MJAPKatsumata;X
5008;Minister of Armament;Yokoyama Toshiaki;1954;1964;1999;LWR;Resource Industrialist;High;MJAPYokoyama;X
5009;Minister of Armament;Eda Saburo;1956;1964;1999;SD;Theoretical Scientist;High;MJAPEda;X
5010;Minister of Security;Takayama Yoshizo;1944;1964;1999;SD;Back Stabber;High;MJAPTakayama;X
5011;Minister of Security;Kikuchi Yonosuke;1948;1964;1999;SD;Silent Lawyer;High;MJAPKikuchi;X
5012;Minister of Security;Sakisaka Itsuro;1952;1964;1999;LWR;Man of the People;High;MJAPSakisaka;X
5013;Minister of Security;Eda Saburo;1956;1964;1999;SD;Crime Fighter;High;MJAPEda;X
5014;Head of Military Intelligence;Nishimura Eiichi;1944;1964;1999;SD;Political Specialist;High;MJAPNishimura;X
5015;Head of Military Intelligence;Narita Tomomi;1952;1964;1999;SD;Technical Specialist;High;MJAPNarita;X
5016;Head of Military Intelligence;Iwai Akira;1954;1964;1999;LWR;Industrial Specialist;High;MJAPIwai;X
5017;Head of Military Intelligence;Morito Tatsuo;1955;1964;1999;SD;Technical Specialist;High;MJAPMorito;X
5018;Head of Government;Matsumura Kenzo;1954;1964;1999;ML;Silent Workhorse;High;MJAPMatsumura;X
5019;Foreign Minister;Okazaki Katsuo;1948;1964;1999;ML;Biased Intellectual;High;MJAPOkazaki;X
5020;Foreign Minister;Kawai Tatsuo;1952;1964;1999;ML;The Cloak N Dagger Schemer;High;MJAPKawai;X
5021;Foreign Minister;Utsunomiya Tokuma;1956;1964;1999;ML;Great Compromiser;High;MJAPUtsunomiya;X
5022;Foreign Minister;Miki Takeo;1958;1964;1999;ML;Ideological Crusader;Medium;MJAPTakeo;X
5023;Foreign Minister;Matsuura Shutaro;1960;1964;1999;ML;Great Compromiser;High;MJAPMatsuura;X
5024;Minister of Armament;Nakamura Sannojo;1948;1964;1999;ML;Resource Industrialist;High;MJAPNakasan;X
5025;Minister of Armament;Shibusawa Keizo;1950;1964;1999;ML;Laissez-Faire Capitalist;High;MJAPShibusawa;X
5026;Minister of Armament;Usami Makoto;1952;1964;1999;ML;Theoretical Scientist;Medium;M5227;X
5027;Minister of Armament;Kitamura Tokutaro;1953;1964;1999;ML;Resource Industrialist;High;MJAPKitamura;X
5028;Minister of Armament;Nakamura Umekichi;1956;1964;1999;ML;Military Entrepreneur;High;M5222;X
5029;Minister of Armament;Fukuda Takeo;1958;1964;1999;ML;Resource Industrialist;High;MJAPFukuda;X
5030;Minister of Armament;Matsuura Shutaro;1960;1964;1999;ML;Resource Industrialist;High;MJAPMatsuura;X
5031;Minister of Armament;Tanaka Kakuei;1962;1964;1999;ML;Corrupt Kleptocrat;High;M5225;X
5032;Minister of Security;Narahashi Wataru;1948;1964;1999;ML;Back Stabber;Medium;MJAPNarahashi;X
5033;Minister of Security;Iwata Chuzo;1948;1964;1999;ML;Crime Fighter;Medium;MJAPIwata;X
5034;Minister of Security;Kiyose Ichiro;1950;1964;1999;ML;Silent Lawyer;Medium;MJAPKiyose;X
5035;Minister of Security;Nakamura Umekichi;1954;1964;1999;ML;Silent Lawyer;Medium;M5231;X
5036;Minister of Security;Miki Takeo;1956;1964;1999;ML;Compassionate Gentleman;Medium;MJAPTakeo;X
5037;Minister of Security;Matsuda Takechiyo;1959;1964;1999;ML;Man of the People;High;MJAPMatsutake;X
5038;Head of Military Intelligence;Maeda Tamon;1948;1964;1999;ML;Political Specialist;Medium;MJAPTamon;X
5039;Head of Military Intelligence;Nakamura Umekichi;1952;1964;1999;ML;Political Specialist;Medium;M5231;X
5040;Head of Military Intelligence;Ikeda Masanosuke;1956;1964;1999;ML;Technical Specialist;High;MJAPIkeda;X
5041;Head of Military Intelligence;Fukuda Takeo;1958;1964;1999;ML;Industrial Specialist;Medium;MJAPFukuda;X
5042;Head of Government;Hirokawa Kouzen;1952;1964;1999;SC;Naive Optimist;High;MJAPHirokawa;X
5043;Foreign Minister;Nomura Kichisaburo;1948;1964;1999;SC;General Staffer;Medium;M5059;X
5044;Foreign Minister;Kanichiro Kubota;1950;1964;1999;SC;Iron Fisted Brute;Medium;M5215;X
5045;Foreign Minister;Iguchi Hideo;1953;1964;1999;SC;Iron Fisted Brute;Medium;MJAPIguchi;X
5046;Foreign Minister;Kosaka Zentaro;1956;1964;1999;SC;Biased Intellectual;Medium;M5218;X
5047;Foreign Minister;Ohira Masayoshi;1960;1964;1999;SC;The Cloak N Dagger Schemer;Medium;M5219;X
5048;Minister of Armament;Mukai Tadaharu;1948;1964;1999;SC;Laissez-Faire Capitalist;High;M5221;X
5049;Minister of Armament;Kono Ichiro;1950;1964;1999;SC;Resource Industrialist;High;MJAPKono;X
5050;Minister of Armament;Oya Shinzo;1953;1964;1999;SC;Resource Industrialist;High;MJAPOya;X
5051;Minister of Armament;Ikeda Hayato;1956;1964;1999;SC;Laissez-Faire Capitalist;High;M5213;X
5052;Minister of Armament;Mizuta Mikio;1958;1964;1999;SC;Administrative Genius;High;M5224;X
5053;Minister of Armament;Ichimada Hisato;1959;1964;1999;SC;Resource Industrialist;High;M5222;X
5054;Minister of Armament;Ueki Koshiro;1960;1964;1999;SC;Laissez-Faire Capitalist;Medium;M5232;X
5055;Minister of Security;Yamazaki Takeshi;1948;1964;1999;SC;Back Stabber;High;MJAPYamatake;X
5056;Minister of Security;Ogata Taketora;1951;1964;1999;SC;Crime Fighter;High;MJAPOgata;X
5057;Minister of Security;Ono Banboku;1952;1964;1999;SC;Man of the People;High;MJAPOno;X
5058;Minister of Security;Hanamura Shiro;1954;1964;1999;SC;Prince of Terror;Medium;M5233;X
5059;Minister of Security;Saito Noboru;1958;1964;1999;SC;Crime Fighter;High;MJAPNoboru;X
5060;Minister of Security;Ueki Koshiro;1960;1964;1999;SC;Silent Lawyer;Medium;M5232;X
5061;Head of Military Intelligence;Shirasu Jiro;1948;1964;1999;SC;Political Specialist;High;MJAPShirasu;X
5062;Head of Military Intelligence;Kosaka Zentaro;1952;1964;1999;SC;Industrial Specialist;High;M5218;X
5063;Head of Military Intelligence;Ohira Masayoshi;1955;1964;1999;SC;Political Specialist;Medium;M5219;X
5064;Head of Military Intelligence;Nakasone Yasuhiro;1958;1964;1999;SC;Technical Specialist;Medium;MJAPNakasone;X
5065;Head of Government;Oasa Tadao;1948;1964;1999;PA;Corporate Suit;High;MJAPOoasa;X
5066;Head of Government;Ishii Mitsujiro;1954;1964;1999;PA;Silent Workhorse;High;MJAPMitsujiro;X
5067;Foreign Minister;Matsumoto Shunichi;1952;1964;1999;PA;The Cloak N Dagger Schemer;Medium;MJAPShunichi;X
5068;Foreign Minister;Fujiyama Aiichiro;1957;1964;1999;PA;Apologetic Clerk;Medium;M5217;X
5069;Minister of Armament;Ishii Mitsujiro;1948;1964;1999;PA;Laissez-Faire Capitalist;High;MJAPMitsujiro;X
5070;Minister of Armament;Kawashima Shojiro;1952;1964;1999;PA;Administrative Genius;High;MJAPKawashima;X
5071;Minister of Armament;Chiba Saburo;1954;1964;1999;PA;Resource Industrialist;High;MJAPChiba;X
5072;Minister of Armament;Fujiyama Aiichiro;1957;1964;1999;PA;Resource Industrialist;Medium;M5217;X
5073;Minister of Armament;Sato Eisaku;1958;1964;1999;PA;Administrative Genius;High;M5223;X
5074;Minister of Security;Matsuzaka Hiromasa;1948;1964;1999;PA;Efficient Sociopath;High;MJAPMatsuzaka;X
5075;Minister of Security;Kimura Tokutaro;1951;1964;1999;PA;Efficient Sociopath;Medium;M5229;X
5076;Minister of Security;Kato Ryogoro;1953;1964;1999;PA;Compassionate Gentleman;High;M5235;X
5077;Minister of Security;Koizumi Junya;1958;1964;1999;PA;Man of the People;High;MJAPKoizumi;X
5078;Head of Military Intelligence;Kimura Tokutaro;1948;1964;1999;PA;Political Specialist;Medium;M5229;X
5079;Head of Military Intelligence;Fujiyama Aiichiro;1952;1964;1999;PA;Industrial Specialist;Medium;M5217;X
5080;Head of Military Intelligence;Hamano Seigo;1957;1964;1999;PA;Technical Specialist;High;MJAPHamano;X
5081;Head of Military Intelligence;Morinaga Teiichiro;1958;1964;1999;PA;Industrial Specialist;Medium;M5234;X
5082;Head of Government;Sasakawa Ryoichi;1956;1964;1999;NS;Smiling Oilman;High;MJAPSasakawa;X
5083;Foreign Minister;Oshima Hiroshi;1948;1964;1999;NS;General Staffer;Medium;MJAPOshima;X
5084;Foreign Minister;Shiina Etsusaburo;1956;1964;1999;NS;Great Compromiser;High;MJAPShiina;X
5085;Minister of Armament;Sasakawa Ryoichi;1948;1964;1999;NS;Air Superiority Proponent;High;MJAPSasakawa;X
5086;Minister of Armament;Kawanami Toyosaku;1952;1964;1999;NS;Military Entrepreneur;High;MJAPKawanami;X
5087;Minister of Armament;Yotsumoto Yoshitaka;1956;1964;1999;NS;Resource Industrialist;High;MJAPYotsumoto;X
5088;Minister of Security;Kodama Yoshio;1952;1964;1999;NS;Crooked Kleptocrat;High;MJAPKodama;X
5089;Minister of Security;Akao Bin;1956;1964;1999;NS;Compassionate Gentleman;High;MJAPAkao;X
5090;Head of Military Intelligence;Kodama Yoshio;1952;1964;1999;NS;Industrial Specialist;High;MJAPKodama;X
5091;Head of Military Intelligence;Akao Bin;1956;1964;1999;NS;Dismal Enigma;High;MJAPAkao;X
5092;Head of State;H.I.M. Taisho;1920;1934;1935;SC;Barking Buffoon;High;kai_26tais;X
5093;Head of Government;Wakatsuki Reijiro;1920;1934;1935;SC;Smiling Oilman;High;kai_26Wakatsukireijiro;X
55968;Head of State;H.I.M. Yasuhito;1936;1964;1999;NS;Go-Meiji;High;MJAPChichibu;X
55969;Head of Government;Araki Sadao;1936;1964;1999;NS;Flamboyant Tough Guy;High;MJAPSadao;X
55970;Head of Government;Nagata Tetsuzan;1936;1964;1999;FA;Old General;High;MJAPNagata;X
55971;Head of State;H.I.M. Akihito;1953;1964;1999;PA;Popular Figurehead;High;MJAPAkihito;X
