EVT_901971_OPTIONA;We must secure the Caucasus!;
EVT_901971_OPTIONB;The Central Asian tribes must be brought into the fold!;
EVT_901972_NAME;Caucasus direction;
EVT_901972_DESC;We have chosen to expand in the Caucasus. We must decide whether we want to conquer the entire Caucasus or limit our operations to Georgia, Azerbaijan or Don-Kuban. If we bite off more than we can chew we can have problems, both internal and international.;
EVT_901972_OPTIONA;We will only secure the Don-Kuban steppes!;
EVT_901972_OPTIONB;We must bring Georgia and Azerbaijan into the fold as well!;
EVT_901972_OPTIONC;We must secure the entire Caucasus!;
EVT_901973_NAME;Report from Russia;
EVT_901973_DESC;Our secret service reports that Russia plans to once again secure the Caucasus region. Such a drastic step means a direct threat to the stability of Eastern Europe which was set by the Treaty of Brestl-Litovsk. What shall we do?;
EVT_901973_OPTIONA;Demand that Russia respects the Brest-Litovsk treaty!;
EVT_901973_OPTIONB;Threaten Russia and invite the endangered nations into Mitteleuropa!;
EVT_901973_OPTIONC;We don't care about the Caucasus.;
EVT_901997_NAME;German offer;
EVT_901997_DESC;Russian attempts to reassert its sphere of influence on the Caucasus has not gone unnoticed by the German Empire. Diplomatic representatives of German Empire have approached us, seeking to include us into Mitteleuropa as a means of protection from Russia. How should we react?;
EVT_901997_OPTIONA;Accept their offer.;
EVT_901997_OPTIONB;Refuse.;
EVT_901998_NAME;Don-Kuban Union joins Mitteleuropa;
EVT_901998_DESC;The Don-Kuban Union has accepted our offer. Now they are a part of Mitteleuropa.;
EVT_901998_OPTIONA;Excellent !;
EVT_901999_NAME;German offer;
EVT_901999_DESC;Russian attempts to reaasert its sphere of influence on the Caucasus has not gone unnoticed by the German Empire. Diplomatic representatives of German Empire have approached us, seeking to include us into Mitteleuropa as a means of protection from Russia. How should we react?;
EVT_901999_OPTIONA;Accept their offer.;
EVT_901999_OPTIONB;Refuse.;
EVT_903000_NAME;Azerbaijan joins Mitteleuropa;
EVT_903000_DESC;Azerbaijan has accepted our offer. Now they are a part of Mitteleuropa.;
EVT_903000_OPTIONA;Excellent !;
EVT_903040_NAME;German offer;
EVT_903040_DESC;Russian attempts to reaasert its sphere of influence on the Caucasus has not gone unnoticed by the German Empire. Diplomatic representatives of German Empire have approached us, seeking to include us into Mitteleuropa as a means of protection from Russia. How should we react?;
EVT_903040_OPTIONA;Accept their offer.;
EVT_903040_OPTIONB;Refuse.;
EVT_903041_NAME;Mountain Republic joins Mitteleuropa;
EVT_903041_DESC;Mountain Republic has accepted our offer. Now they are a part of Mitteleuropa.;
EVT_903041_OPTIONA;Excellent !;
EVT_901974_NAME;German Empire threatens Russia!;
EVT_901974_DESC;The German Kaiser has made it clear that his Empire would fully support the independence of the Caucasian nations if any other nation tries to interfere. It would be most unwise to underestimate them despite the troubles they are facing on the homefront. How shall we react to this statement?;
EVT_901974_OPTIONA;Who cares?;
EVT_901974_OPTIONB;Let us focus on Central Asia!;
EVT_901974_OPTIONC;Give up our plans of expansion.;
EVT_901975_NAME;Russia has ignored our demands;
EVT_901975_DESC;The Russian state, in its foolish pride, has refused our reasonable demands regarding the territorial integrity and independence of the Caucasian states. How shall we react to this insolence?;
EVT_901975_OPTIONA;Cease all contacts between Mitteleuropa and Russia!;
EVT_901975_OPTIONB;Insolent brats, we will show you German might!;
EVT_901975_OPTIONC;Back down, we can not afford a conflict with Russia.;
EVT_901976_NAME;Mitteleuropa ceases all contacts with us;
EVT_901976_DESC;In reaction to our refusal to alter the planned ´stabilization´ of the Caucasian region the German Empire has ordered the cessation of all trade and diplomatic contacts between our state and Mitteleuropa. Our industrial sector is already feeling the consequences of such drastic actions.;
EVT_901976_OPTIONA;We shall survive!;
EVT_901977_NAME;Focus in International Policy;
EVT_901977_DESC;We have successfully subjugated the Caucasian nations. We can now expand in Central Asia and bring order to these troubled lands.;
EVT_901977_OPTIONA;We must secure Central Asia!;
EVT_901977_OPTIONB;We have expanded enough!;
EVT_901978_NAME;Central Asia Direction;
EVT_901978_DESC;We have chosen to expand in Central Asia. We must decide whetever we want to conquer Central Asia as a whole or limit our plans to Alash-Orda. This region is forgotten and we don't expect international problems, although the Central Asian tribes might prove to be a nuisance.;
EVT_901978_OPTIONA;We will secure Alash-Orda!;
EVT_901978_OPTIONB;We must secure Central Asia!;
EVT_901979_NAME;Focus in International Policy;
EVT_901979_DESC;We have successfully achieved all of our goals in Central Asia. Now we can expand our borders into the Caucasian region and bring order to these troubled lands.;
EVT_901979_OPTIONA;We must secure the Caucasus!;
EVT_901979_OPTIONB;We have expanded enough!;
EVT_903001_NAME;Focus in International Policy;
EVT_903001_DESC;We have successfully achieved all our goals in Central Asia. Unfortunately, expansion into the Caucasus is impossible thanks to German protection over the Don-Kuban union and Azerbaijan. We can either wait for a better opportunity to expand into the Caucasus, risk expansion into the Far East or give up expansionism altogether. What shall we do?;
EVT_903001_OPTIONA;We will focus on the Far East!;
EVT_903001_OPTIONB;We will wait for a better opportunity to strike at the Caucasus!;
EVT_903001_OPTIONC;We have expanded enough!;
EVT_903003_NAME;Focus in International Policy;
EVT_903003_DESC;We have successfully achieved all our goals in Central Asia and in the Far East. We are finally strong enough to directly interfere in the German sphere of influence in Eastern Europe and the Caucasus. Where should we focus our power?;
EVT_903003_OPTIONA;We will focus on Eastern Europe!;
EVT_903003_OPTIONB;We will finally seize control of the Caucasus!;
EVT_903003_OPTIONC;We have expanded enough!;
EVT_903004_NAME;Caucasus direction;
EVT_903004_DESC;With a war raging in the west the German Empire is unable to fully protect its sphere of influence in the Caucasus. This presents us with the unique opportunity to expand Russian influence to the Caucasus. The only question is how Russia will achieve its goals in the Caucasus.;
EVT_903004_OPTIONA;Offer the German Empire an alliance, for a price...;
EVT_903004_OPTIONB;We have expanded enough.;
EVT_903005_NAME;Russia demands concessions in the Caucasus;
EVT_903005_DESC;The government of the Russian state has announced recently that they want to reorganize the existing sphere of influence in Caucasus in their favour. They demand the cessation of all guarantees towards the Caucasian states as well as accepting these states as part of the Russian sphere of influence. In return they promise to respect the existing order in Europe and support German Empire economically in the ongoing war. How shall we respond ?;
EVT_903005_OPTIONA;Accept their demands!;
EVT_903005_OPTIONB;Never!;
EVT_903006_NAME;German Empire refused our demands!;
EVT_903006_DESC;The foolish leadership of the German Empire refused our reasonable demands regarding the Caucasus, peace between Russia and Germany seems impossible! What shall we do now?;
EVT_903006_OPTIONA;Declare war upon Mitteleuropa!;
EVT_903006_OPTIONB;Ignore German guarantees!;
EVT_903006_OPTIONC;Abandon all expansionist plans.;
EVT_903007_NAME;Betrayal of the German Empire!;
EVT_903007_DESC;The German Empire has betrayed us by accepting all Russian demands regarding the Caucasus, leaving us alone to face the might of the Russian state.;
EVT_903007_OPTIONA;There is nothing we can do...;
EVT_903008_NAME;Betrayal of the German Empire!;
EVT_903008_DESC;The German Empire has betrayed us by accepting all Russian demands regarding the Caucasus, leaving us alone to face the might of the Russian state.;
EVT_903008_OPTIONA;There is nothing we can do...;
EVT_903033_NAME;Betrayal of the German Empire!;
EVT_903033_DESC;The German Empire has betrayed us by accepting all Russian demands regarding the Caucasus, leaving us alone to face the might of the Russian state.;
EVT_903033_OPTIONA;There is nothing we can do...;
EVT_903009_NAME;Russia wants to join Mitteleuropa at a cost.;
EVT_903009_DESC;The government of the Russian state recently announced that they want to join Mitteleuropa in order to save Europe from syndicalism. They demand the cessation of all guarantees towards the Caucasian states as well as accepting these states as part of the Russian sphere of influence. How shall we respond?;
EVT_903009_OPTIONA;Accept their demands!;
EVT_903009_OPTIONB;Never!;
EVT_903010_NAME;Status of Don-Kuban;
EVT_903010_DESC;The government of the German Empire has accepted our reasonable demands regarding spheres of influence in the Caucasus. The Don-Kuban Union, formerly under the protection of the German Empire, is now at our mercy. What shall we do with this rebellious state?;
EVT_903010_OPTIONA;Demand the full integration of the Don-Kuban Union!;
EVT_903010_OPTIONB;Demand reformation of their government!;
EVT_903011_NAME;Status of Azerbaijan;
EVT_903011_DESC;The government of the German Empire has accepted our reasonable demands regarding spheres of influence in the Caucasus. Azerbaijan, formerly under the protection of the German Empire, is now at our mercy. What shall we do with this rebellious state?;
EVT_903011_OPTIONA;Demand the full integration of Azerbaijan!;
EVT_903011_OPTIONB;Demand reformation of their government!;
EVT_903034_NAME;Status of Mountain Republic;
EVT_903034_DESC;The government of the German Empire has accepted our reasonable demands regarding spheres of influence in the Caucasus. Mountain Republic, formerly under the protection of the German Empire, is now at our mercy. What shall we do with this rebellious state?;
EVT_903034_OPTIONA;Demand the full integration of Mountain Republic!;
EVT_903034_OPTIONB;Demand reformation of their government!;
EVT_903022_NAME;Russia demands our reintegration;
EVT_903022_DESC;With the eruption of the Second Weltkrieg the attention of the German Empire turned westwards. In effort to gain the support of the Russian state in their ongoing struggle the German Empire has accepted Russian demands regarding spheres of influence in the Caucasus, handing the fate of the Caucasian states to them. Russia has issued series of demands towards our state which, if accepted, will mean the end of our state as independent unit. What shall we do?;
EVT_903022_OPTIONA;We have no choice...;
EVT_903022_OPTIONB;Resist them!;
EVT_903012_NAME;Russia demands reformation of our government;
EVT_903012_DESC;With the eruption of the Second Weltkrieg the attention of the German Empire turned westwards. In effort to gain the support of the Russian state in their ongoing struggle the German Empire has accepted Russian demands regarding spheres of influence in the Caucasus, handing the fate of the Caucasian states to them. Russia has issued series of demands towards our state which, if accepted, will mean the end of our state as independent unit. What shall we do?;
EVT_903012_OPTIONA;We have no choice...;
EVT_903012_OPTIONB;Resist them!;
EVT_903013_NAME;Russia demands our reintegration;
EVT_903013_DESC;With the eruption of the Second Weltkrieg the attention of the German Empire turned westwards. In effort to gain the support of the Russian state in their ongoing struggle the German Empire has accepted Russian demands regarding spheres of influence in the Caucasus, handing the fate of the Caucasian states to them. Russia has issued series of demands towards our state which, if accepted, will mean the end of our state as independent unit. What shall we do?;
EVT_903013_OPTIONA;We have no choice...;
EVT_903013_OPTIONB;Resist them!;
EVT_903014_NAME;Russia demands reformation of our government;
EVT_903014_DESC;With the eruption of the Second Weltkrieg the attention of the German Empire turned westwards. In effort to gain the support of the Russian state in their ongoing struggle the German Empire has accepted Russian demands regarding spheres of influence in the Caucasus, handing the fate of the Caucasian states to them. Russia has issued series of demands towards our state which, if accepted, will mean the end of our state as independent unit. What shall we do?;
EVT_903014_OPTIONA;We have no choice...;
EVT_903014_OPTIONB;Resist them!;
EVT_903015_NAME;The demise of the Don-Kuban Union;
EVT_903015_DESC;Seeing no other realistic option the government of the Don-Kuban Union was forced to accept our demands.;
EVT_903015_OPTIONA;Hooray!;
EVT_903016_NAME;The Don-Kuban Union resist our demands;
EVT_903016_DESC;The foolish government of the Don-Kuban Union refused our reasonable demands regarding their rogue state. How shall we react to this insolence?;
EVT_903016_OPTIONA;We should declare war!;
EVT_903016_OPTIONB;We shall deal with them later.;
EVT_903017_NAME;The submission of the Don-Kuban Union;
EVT_903017_DESC;Seeing no other realistic option the government of the Don-Kuban Union was forced to accept our demands.;
EVT_903017_OPTIONA;Hooray!;
EVT_903018_NAME;The demise of Azerbaijan;
EVT_903018_DESC;Seeing no other realistic option the government of Azerbaijan was forced to accept our demands.;
EVT_903018_OPTIONA;Hooray!;
EVT_903019_NAME;Azerbaijan resist our demands;
EVT_903019_DESC;The foolish government of Azerbaijan has refused our reasonable demands regarding their rogue state. How shall we react to this insolence?;
EVT_903019_OPTIONA;We should declare war!;
EVT_903019_OPTIONB;We shall deal with them later.;
EVT_903020_NAME;The submission of Azerbaijan;
EVT_903020_DESC;Seeing no other realistic option the government of Azerbaijan was forced to accept our demands.;
EVT_903020_OPTIONA;Hooray!;
EVT_903035_NAME;Russia demands our reintegration;
EVT_903035_DESC;With the eruption of the Second Weltkrieg the attention of the German Empire turned westwards. In effort to gain the support of the Russian state in their ongoing struggle the German Empire has accepted Russian demands regarding spheres of influence in the Caucasus, handing the fate of the Caucasian states to them. Russia has issued series of demands towards our state which, if accepted, will mean the end of our state as independent unit. What shall we do?;
EVT_903035_OPTIONA;We have no choice...;
EVT_903035_OPTIONB;Resist them!;
EVT_903036_NAME;Russia demands reformation of our government;
EVT_903036_DESC;With the eruption of the Second Weltkrieg the attention of the German Empire turned westwards. In effort to gain the support of the Russian state in their ongoing struggle the German Empire has accepted Russian demands regarding spheres of influence in the Caucasus, handing the fate of the Caucasian states to them. Russia has issued series of demands towards our state which, if accepted, will mean the end of our state as independent unit. What shall we do?;
EVT_903036_OPTIONA;We have no choice...;
EVT_903036_OPTIONB;Resist them!;
EVT_903037_NAME;The demise of the Mountain Republic;
EVT_903037_DESC;Seeing no other realistic option the government of the Mountain Republic was forced to accept our demands.;
EVT_903037_OPTIONA;Hooray!;
EVT_903038_NAME;The Mountain Republic resist our demands;
EVT_903038_DESC;The foolish government of the Mountain Republic refused our reasonable demands regarding their rogue state. How shall we react to this insolence?;
EVT_903038_OPTIONA;We should declare war!;
EVT_903038_OPTIONB;We shall deal with them later.;
EVT_903039_NAME;The submission of the Mountain Republic;
EVT_903039_DESC;Seeing no other realistic option the government of the Mountain Republic was forced to accept our demands.;
EVT_903039_OPTIONA;Hooray!;
EVT_903021_NAME;Focus in International Policy;
EVT_903021_DESC;Russia is now stronger than before after conquering both the Caucasus and Central Asia. Now we can start actions in the Far East, in Eastern Europe or in the Middle East. We can't engage in more than one area as we are still not powerful enough to fight the Germans and the Japanese simultaneously. We must choose our directions carefully as the international situation is becoming more and more unstable.;
EVT_903021_OPTIONA;We will focus on the Far East!;
EVT_903021_OPTIONB;We will focus on Eastern Europe!;
EVT_903021_OPTIONC;We will focus on the Middle East!;
EVT_903021_OPTIOND;We have expanded enough!;
EVT_901989_NAME;Focus in International Policy;
EVT_901989_DESC;Russia is now stronger than before after conquering both the Caucasus and Central Asia. Now we can start actions in the Far East, in Eastern Europe or in the Middle East. We can't engage in more than one area as we are still not powerful enough to fight the Germans and the Japanese simultaneously. We must choose our directions carefully as the international situation is becoming more and more unstable.;
EVT_901989_OPTIONA;We will focus on the Far East!;
EVT_901989_OPTIONB;We will focus on Eastern Europe!;
EVT_901989_OPTIONC;We will focus on the Middle East!;
EVT_901989_OPTIOND;We have expanded enough!;
EVT_901980_NAME;Far East direction;
EVT_901980_DESC;We have decided to start actions in the Far East. We will probably meet Japanese resistance by interfering in their sphere of influence. This may give us the chance to avenge the deaths of our fathers and grandfathers who died for Russian Manchuria!;
EVT_901980_OPTIONA;We will take back the Trans-Siberian railway!;
EVT_901980_OPTIONB;We must secure Mongolia and Sinkiang as well!;
EVT_901980_OPTIONC;We must restore our place in the Far East!;
EVT_901981_NAME;European direction;
EVT_901981_DESC;We have decided to start actions in Eastern Europe. The stakes are high and we must be extremely careful as we don't want to start the a war with Germany over our former lands. We must decide what our goals will be. One mistake and Europe will be plunged into chaos.;
EVT_901981_OPTIONA;We must restore our dominance over the Ukraine and Belarus!;
EVT_901981_OPTIONB;We must secure the Baltic governates as well!;
EVT_901981_OPTIONC;We will restore our borders in full!;
EVT_903032_NAME;Russian expansionism threatens Finland;
EVT_903032_DESC;Recent reassurgence of the Russian state in the east together with recent russian diplomatic activity through the eastern Europe proves, that in order to keep our state and its borders intact, we need to gain protection of German Empire and Mitteleuropa alliance. Hovewer doing will mean definite military involvement of our state in any potential conflict in the western europe and may further worsen our relations with Russia. What shall we do ?;
EVT_903032_OPTIONA;Ask German Empire for protection;
EVT_903032_OPTIONB;We don't need any allies;
EVT_903023_NAME;Finland wants to join Mitteleuropa;
EVT_903023_DESC;Government of Finland, afraid of recent agressive russian foreign policy has annouced recently that they want to join Mitteleuropa alliance. It's not a sudden move because pro-German policy is popular in many circles including the ruling cabinet and army. Do we want to allow Finland to join our alliance and protect them from potential Russian diplomatic and economical offensive ?;
EVT_903023_OPTIONA;Accept their offer.;
EVT_903023_OPTIONB;Just guarantee their independence.;
EVT_903023_OPTIONC;Stable relationship with Russia is more important.;
EVT_903024_NAME;Finland joins Mitteleuropa;
EVT_903024_DESC;Germans accepted our offer and invited us into Mitteleuropa alliance. Now our independence and territorial integrity are protected by powerfull German armed forces.;
EVT_903024_OPTIONA;Now our independence is secured !;
EVT_903025_NAME;Russian expansionism threatens Poland;
EVT_903025_DESC;Recent reassurgence of the Russian state in the east together with recent russian diplomatic activity through the eastern Europe proves, that in order to keep our state, its independence and its borders intact, we need to gain protection of German Empire and Mitteleuropa alliance. Hovewer doing will mean definite military involvement of our state in any potential conflict in the western europe and may further worsen our relations with Russia. What shall we do ?;
EVT_903025_OPTIONA;Ask German Empire for protection;
EVT_903025_OPTIONB;We don't need any allies;
EVT_903026_NAME;Poland wants to join Mitteleuropa;
EVT_903026_DESC;Government of Poland, afraid of recent agressive russian foreign policy has annouced recently that they want to join Mitteleuropa alliance. It's not a sudden move because pro-German policy is popular in many circles including the ruling cabinet and army. Do we want to allow Poland to join our alliance and protect them from potential Russian diplomatic and economical offensive ?;
EVT_903026_OPTIONA;Accept their offer.;
EVT_903026_OPTIONB;Just guarantee their independence.;
EVT_903026_OPTIONC;Stable relationship with Russia is more important.;
EVT_903027_NAME;Poland joins Mitteleuropa;
EVT_903027_DESC;Germans accepted our offer and invited us into Mitteleuropa alliance. Now our independence and territorial integrity are protected by powerfull German armed forces.;
EVT_903027_OPTIONA;Now our independence is secured !;
EVT_903029_NAME;Russian expansionism threatens Commonwealth;
EVT_903029_DESC;Recent reassurgence of the Russian state in the east together with recent russian diplomatic activity through the eastern Europe proves, that in order to keep our state, its independence and its borders intact, we need to gain protection of German Empire and Mitteleuropa alliance. Hovewer doing will mean definite military involvement of our state in any potential conflict in the western europe and may further worsen our relations with Russia. What shall we do ?;
EVT_903029_OPTIONA;Ask German Empire for protection;
EVT_903029_OPTIONB;We don't need any allies;
EVT_903030_NAME;Commonwealth wants to join Mitteleuropa;
EVT_903030_DESC;Government of Commonwealth, afraid of recent agressive russian foreign policy has annouced recently that they want to join Mitteleuropa alliance. It's not a sudden move because pro-German policy is popular in many circles including the ruling cabinet and army. Do we want to allow Commonwealth to join our alliance and protect them from potential Russian diplomatic and economical offensive ?;
EVT_903030_OPTIONA;Accept their offer.;
EVT_903030_OPTIONB;Just guarantee their independence.;
EVT_903030_OPTIONC;Stable relationship with Russia is more important.;
EVT_903031_NAME;Commonwealth joins Mitteleuropa;
EVT_903031_DESC;Germans accepted our offer and invited us into Mitteleuropa alliance. Now our independence and territorial integrity are protected by powerfull German armed forces.;
EVT_903031_OPTIONA;Now our independence is secured !;
EVT_901982_NAME;Middle-East Direction;
EVT_901982_DESC;We have decided to take care of the Middle Eastern nations. Turkey is weak so we don't need to fear them. However, we must assign priorities in our Middle Eastern policy, do we want to take over Turkey or maybe even Persia?;
EVT_901982_OPTIONA;We we must liberate Greater Armenia!;
EVT_901982_OPTIONB;We shall finally liberate Constantinople and the Bosporus!;
EVT_901982_OPTIONC;All of the Middle East must bow under our influence!;
EVT_901983_NAME;Focus in International Policy;
EVT_901983_DESC;The vast territories of the Far East, the snowy mountains of the Caucasus and the sandy steppes of Central Asia are now under the control of Russia, our former lands returned to us. Our justice is nearly finished but we still have some unresolved issues in Eastern Europe and the Middle East. Russia has to choose where to concentrate their attention next, maybe it's time to stop expanding?;
EVT_901983_OPTIONA;We will focus on Eastern Europe!;
EVT_901983_OPTIONB;We will focus on the Middle East!;
EVT_901983_OPTIONC;We have expanded enough!;
EVT_901984_NAME;Focus in International Policy;
EVT_901984_OPTIONA;We will focus on the Middle East!;
EVT_901984_OPTIONB;We have expanded enough!;
EVT_901985_NAME;Focus in International Policy;
EVT_901985_OPTIONA;Russia must remain vigillant if it is to keep all of its territories!;
EVT_901985_OPTIONB;We have achieved all our goals!;
EVT_901986_NAME;Focus in International Policy;
EVT_901986_OPTIONA;Russia must remain vigillant if it is to keep all of its territories!;
EVT_901986_OPTIONB;We have achieved all our goals!;
EVT_901987_NAME;Focus in International Policy;
EVT_901987_OPTIONA;Russia must remain vigillant if it is to keep all of its territories!;
EVT_901987_OPTIONB;We have achieved all our goals!;
EVT_901988_NAME;Focus in International Policy;
EVT_901988_DESC;The vast deserts of the Middle East, the snowy mountains of the Caucasus and the sandy steppes of Central Asia are now under the control of Russia, our former lands returned to us. Our justice is nearly finished but we still have unresolved issues in Eastern Europe and the Far East. The Russian government has to choose where to concentrate their attention next, maybe it's time to stop expanding?;
EVT_901988_OPTIONA;We will focus on Eastern Europe!;
EVT_901988_OPTIONB;We will focus on the Far East!;
EVT_901988_OPTIONC;We have expanded enough!;
EVT_901990_NAME;Focus in International Policy;
EVT_901990_DESC;The vast territories of Eastern Europe, the snowy mountains of the Caucasus and the sandy steppes of Central Asia are now under the control of Russia, our former lands returned to us. Our justice is nearly finished but we still have unresolved issues in the Middle East and the Far East. The Russian government has to choose where to concentrate their attention next, maybe it's time to stop expanding?;
EVT_901990_OPTIONA;We will focus on the Middle East!;
EVT_901990_OPTIONB;We will focus on the Far East!;
EVT_901990_OPTIONC;We have expanded enough!;
EVT_901991_NAME;Focus in International Policy;
EVT_901991_OPTIONA;We will focus on the Middle East!;
EVT_901991_OPTIONB;We have expanded enough!;
EVT_901992_NAME;Focus in International Policy;
EVT_901992_OPTIONA;We will focus on Eastern Europe!;
EVT_901992_OPTIONB;We have expanded enough!;
EVT_901993_NAME;Focus in International Policy;
EVT_901993_OPTIONA;We will focus on Eastern Europe!;
EVT_901993_OPTIONB;We have expanded enough!;
EVT_901994_NAME;Focus in International Policy;
EVT_901994_OPTIONA;We will focus on the Far East!;
EVT_901994_OPTIONB;We have expanded enough!;
EVT_901995_NAME;Focus in International Policy;
EVT_901995_OPTIONA;We will focus on the Far East!;
EVT_901995_OPTIONB;We have expanded enough!;
EVT_901996_NAME;Focus in International Policy;
EVT_901996_DESC;Russia is now stronger than before after conquering the Caucasus and Central Asia. Now we can start actions in theFar East, in Eastern Europe or in the Middle East. We can't engage in more than one area as we are not powerful enough to fight the Germans and the Japanese simultaneously. We must choose our directions carefully as the international situation is becoming more and more unstable.;
EVT_901996_OPTIONA;We will focus on the Far East!;
EVT_901996_OPTIONB;We will focus on Eastern Europe!;
EVT_901996_OPTIONC;We will focus on the Middle East!;
EVT_901996_OPTIOND;We have expanded enough!;
EVT_700001_NAME;The Russian constitution of 1918;
EVT_700001_DESC;Signed in 1918, roughly a year after the fall of Nikolai II, the Russian constitution defines the country's political institutions. The legislative branch consists of the State Duma, elected every five years, and the Senate, consisting of senior nobles, statemen, scholars, etc. The executive branch is divided into the office of President, elected every six years by the Senate, and the Council of Ministers.;
EVT_700001_OPTIONA;The constitution guarantees freedom and stability!;
EVT_700002_NAME;The 100th anniversary of Pushkin's death;
EVT_700002_DESC;Yesterday a new monument, built to commemorate one the Russia's greatest poets, has been uncovered in our capital. The 100th anniversary of Pushkin's death is a chance to recall the great days of Russian history and culture, an act of paramount importance during these dark times of crisis and instability.;
EVT_700002_OPTIONA;We all love our poets!;
EVT_700003_NAME;The Final Step?;
EVT_700003_DESC;With the Bolsheviks in power only one single step remains between transforming the rotten Russia into a new, Communist state.;
EVT_700003_OPTIONA;Establish the proletarian dictatorship!;
EVT_700003_OPTIONB;We are not ready for this.;
EVT_700004_NAME;The final step?;
EVT_700004_DESC;With Wrangel being in power for such a long time many people are suggesting that a formal coronation should take place, thereby legitimising the Vozhd's authority over Russia.;
EVT_700004_OPTIONA;Very well, begin the preparations!;
EVT_700004_OPTIONB;A foolish proposal.;
EVT_700005_NAME;The Tsar is unhappy about food prices;
EVT_700005_DESC;The Tsar recently visited one of the local stores in our capital and he is outraged by the high prices of meat and other necessary products.;
EVT_700005_OPTIONA;Three hoorays for our caring Tsar!;
EVT_700006_NAME;Nikolai Trubetskoy Publishes 'Principles of Geopolitics';
EVT_700006_DESC;'Princypiya geopolitiki', published in the late 30's by Nikolai Trubetskoy, is now considered a cornerstone of modern geopolitics. In his book the Russian conservative philosopher and politician envisioned a new Russian Empire. Defined not by the Tsardom or religion but rather by pragmatic control over the Eurasian continent. His ideas were further developed by Lev Gumilov thus creating the so-called Eurasian Doctrine.;
EVT_700006_OPTIONA;An interesting concept indeed!;
EVT_700007_NAME;Neoslavic revival;
EVT_700007_DESC;With the Russian situation slowly stabilising some politicians, philosophers and scholars are attempting to revive the 19th century concept of Pan-Slavism, a vision of a united Slavic federation, centered around Russia. These ideas are gaining quick support amongst the conservative military officers, including Anton Denikin and Petr Wrangel.;
EVT_700007_OPTIONA;An interesting concept indeed!;
EVT_700100_NAME;Political murder;
EVT_700100_DESC;The Anarchists, Socialists, Syndicalists and Bolsheviks are weakening the stability of our Motherland. Recently one of them assassinated a famous general. God only knows who they will kill next time!;
EVT_700100_OPTIONA;I want the head of the bomber on my desk!;
EVT_700101_NAME;Killing!;
EVT_700101_DESC;The Anarchists, Socialists, Syndicalists and Bolsheviks are weakening the stability of our Motherland. Recently one of them assassinated a gubernator. God only knows who they will kill next time!;
EVT_700101_OPTIONA;I want the head of the murderer on my desk!;
EVT_700103_NAME;Bombings;
EVT_700103_DESC;The Anarchists, Socialists, Syndicalists and Bolsheviks are weakening the stability of our Motherland. Recently they caused a panic in one of the major Russian cities as am assassin tried to kill a famous government representative. Thankfully the bomb went off too early, killing only a few people.;
EVT_700103_OPTIONA;I want the head of the bomber on my desk!;
EVT_700110_NAME;Peasant unrest;
EVT_700110_DESC;Throughout Russian history the peasants' living conditions has always been hard, even during periods of peace and prosperity. Even the emancipation reforms of 1861, which led to the abolition of serfdom, did not improve the situation all that much. Local peasant protests against these harsh conditions, as well as landowners' illegal actions, were common.;
EVT_700110_OPTIONA;Oh well...;
EVT_700111_NAME;Agitation in the countryside;
EVT_700111_DESC;With the situation in the countryside growing increasingly unstable the peasants became easy to influence by various agitators. One such situation has recently taken place; a charismatic activist visited a number of villages calling for open revolt against our regime. How should we react to this potential threat?;
EVT_700111_OPTIONA;Let him agitate, we have more important business.;
EVT_700111_OPTIONB;Eliminate the agitator!;
EVT_700112_NAME;Major peasant unrest;
EVT_700112_DESC;Agitated by various groups the impoverished peasantry has risen up. The local administration is powerless against the mob and it seems that the only way to solve the crisis is to use force. Alternatively we can always attempt to negotiate, although satisfying the peasants' demands may turn out to be quite expensive.;
EVT_700112_OPTIONA;Send the army to eliminate the threat!;
EVT_700112_OPTIONB;Attempt to negotiate and fulfill some demands.;
EVT_700112_OPTIONC;Agree to the peasants' demands.;
EVT_700120_NAME;Workers demonstration;
EVT_700120_DESC;Even though technological advancement resulted in a slow but steady improvement of working conditions the workers remained very vulnerable to Socialist agitation. Demonstrations in cities were organised from time to time, their demands varying depending on who was pulling the strings.;
EVT_700120_OPTIONA;Oh well...;
EVT_700121_NAME;Workers strike;
EVT_700121_DESC;Some workers in one of our cities have organised themselves and begun a strike, completely disrupting all industrial production coming from the city. They demand higher salaries and an enforcement of labour legislation preventing unfair treatment of the workforce.;
EVT_700121_OPTIONA;Fulfill their demands.;
EVT_700121_OPTIONB;Ignore their demands.;
EVT_700121_OPTIONC;Send the army to pacify them!;
EVT_700122_NAME;Negotiating with the strikers;
EVT_700122_DESC;An attempt to negotiate with the striking workers has been made. All political forces in the country closely watch the meeting, some are hoping that the strike will become an impulse for further reforms in Russia.;
EVT_700122_OPTIONA;Stall the negotiations.;
EVT_700122_OPTIONB;Reach an agreement but implement only social reforms.;
EVT_700122_OPTIONC;Reach an agreement but implement only economical reforms.;
EVT_700122_OPTIOND;Reach a complete agreement.;
EVT_700123_NAME;Harsh measures;
EVT_700123_DESC;The commander of a local army garrison has proposed that we use brute force in order to disperse the strikers and force them to go back to work.;
EVT_700123_OPTIONA;Why not? It's quicker than those negotiations!;
EVT_700123_OPTIONB;No, we must not be too harsh.;
EVT_700124_NAME;Harsh measures;
EVT_700124_DESC;The commander of a local army garrison has proposed that we use brute force in order to disperse the strikers and force them to go back to work.;
EVT_700124_OPTIONA;Why not? It's quicker than those negotiations!;
EVT_700124_OPTIONB;No, we must not be too harsh.;
