#  STRING NAME (do not change!);English;French;Italian;Spanish;German;Polish;Portugese;Russian;;Extra2;X;
ACTIONNAME1150A;OK;OK;OK;Aceptar;OK;OK;;OK;;;x;
EVT_1001R_NAME;Famous War Hero publishes articles critizing the Conduct of War;Un célèbre héros de guerre publie un article contre la façon dont la guerre est menée;Un celebre eroe di guerra, scrive degli articoli sulla gestione della guerra;Famoso héroe de guerra publica un artículo criticando la dirección de ésta;Berühmter Kriegsheld veröffentlicht Artikel, der die Kriegsführung kritisiert;Znany bohater wojenny publikuje artyku³ krytykuj¹cy dzia³ania wojenne;;Famous War Hero publishes articles critizing the Conduct of War;;;x;
EVT_1001R_DESC;A famous war hero returning from the front on leave has published a critical and radical article on the conduct of the war, raising his voice in favour of a different route to victory. It has been said in many quarters that there is something to what the war hero says and some say that certain 'old gents' should be forced to resign.;De retour du front pour une permission exceptionnelle, un célèbre héros de guerre a publié une tribune libre très critique sur la façon dont la guerre est menée. Il y indique également les mesures qui, selon lui, peuvent seules conduire à la victoire finale. Dans certains milieux, on approuve sans retenue les propos de ce soldat irréprochable et on commence à murmurer que de 'nobles vieillards' pourraient être forcés de démissionner.;Un famoso eroe di guerra di ritorno dal fronte, ha pubblicato un articolo critico e radicale sulla condotta della guerra, schierandosi a favore di una strategia diversa per perseguire. È stato riconosciuto da molte parti che c'è del vero in quanto scritto dall'eroe, e alcuni sostengono che certe 'vecchie persone' andrebbero costrette a dimettersi.;Un famoso héroe de guerra regresado del frente en un permiso ha publicado un artículo radical y crítico sobre la dirección del conflicto, alzando la voz en favor de un camino diferente hacia la victoria. Se ha dicho en muchos círculos que al héroe de guerra no le falta razón y hay quienes aseguran que algunos 'ancianos caballeros' deberían ser obligados a dimitir.;Ein berühmter Kriegsheld, der von der Front auf Urlaub zurückkehrt ist, hat einen kritischen und radikalen Artikel über die Kriegsführung veröffentlicht, indem er sich für einen anderen Weg zum Sieg einsetzt. In vielen Vierteln wurde gesagt, an der Meinung des Kriegshelds sei etwas dran und einige sagten sogar, einige 'Alten' sollten zum Abdanken gezwungen werden.;Znany bohater wojenny, który opuœci³ chwilowo liniê frontu, opublikowa³ krytyczny i radykalny artyku³ dotycz¹cy przebiegu dzia³añ wojennych, przekonuj¹c o potrzebie znalezienia innej drogi do zwyciêstwa. W wielu krêgach uznano, ¿e artyku³ zawiera sporo gorzkiej prawdy, niektórzy jednak twierdz¹ ¿e tego typu 'starsi panowie' powinni zostaæ jak najszybciej wydaleni z wojska.;;A famous war hero returning from the front on leave has published a critical and radical article on the conduct of the war, raising his voice in favour of a different route to victory. It has been said in many quarters that there is something to what the war hero says and some say that certain 'old gents' should be forced to resign.;;;x;
ACTIONNAME1001A;OK;OK;OK;Aceptar;OK;OK;;OK;;;x;
EVT_1002R_NAME;Women's organisations donate material to the Army;Les Organisations de Femmes donnent du matériel à l'armée;Gli organismi femminili donano materiali all'esercito;Organizaciones de mujeres donan material al ejército;Frauenorganisationen spenden der Armee Materialien;Organizacje kobiet przekazuj¹ armii materia³y;;Women's organisations donate material to the Army;;;x;
EVT_1002R_DESC;The Women's Organisations have held tea parties and donated a large amount of valuble goods for use by the army. This gift has enabled the army to replenish its supply stocks.;Les Organisations de Femmes ont organisé des goûters patriotiques qui leur ont permis de récolter un grand nombre de marchandises destinées à l'armée. Grâce à cette généreuse initiative, l'armée a pu reconstituer ses réserves de ravitaillement.;Le organizzazioni femminili hanno tenuto dei ricevimenti per il tè e donato una grossa quantità di merci di valore all'esercito, grazie alla quale è stato possibile rifornire le scorte delle provviste.;Las organizaciones de mujeres han celebrado meriendas campestres benéficas y han donado una gran cantidad de objetos de valor para que los use el ejército. Este obsequio ha permitido al ejército reponer sus reservas de suministros.;Die Frauenorganisationen haben Teepartys abgehalten um eine große Menge wertvoller Güter für die Armee zu spenden. Dieses Geschenk ermöglicht es der Armee, ihre Vorratsbestände aufzufüllen.;Kobiece organizacje, po wspólnym spotkaniu, postanowi³y przekazaæ wojsku wiele cennych dóbr do wykorzystania w dalszych dzia³aniach. Dary te umo¿liwi³y armii uzupe³nienie stanów magazynowych.;;The Women's Organisations have held tea parties and donated a large amount of valuble goods for use by the army. This gift has enabled the army to replenish its supply stocks.;;;x;
ACTIONNAME1002A;OK;OK;OK;Aceptar;OK;OK;;OK;;;x;
EVT_1003R_NAME;Youth Movement provides more volunteers;Le Mouvement de la Jeunesse fournit davantage de volontaires;Il movimento giovanile fornisce più volontari;El Movimiento de Juventudes proporciona más voluntarios;Jugendbewegung stellt weitere Freiwillige zur Verfügung;Ruch M³odych dostarcza nowych ochotników;;Youth Movement provides more volunteers;;;x;
EVT_1003R_DESC;The leader of the National Youth Movement addressed the Nation today. He said that education stressing political indoctrination and moral superiority makes it fitting to fuse high school education and national military service, thus the Youth of our Nation may leave Party High Schools and join the army directly because they would already have had 12 months of military education.;Le président du Mouvement National de la Jeunesse s'est adressé à la nation aujourd'hui. Il a déclaré que les programmes scolaires d'endoctrinement politique et de morale supérieure rendaient possibles une fusion entre les lycées et le service militaire national. Les jeunes pourraient quitter les lycées du parti et rejoindre directement l'armée puisqu'ils auraient déjà suivi 12 mois d'enseignement militaire.;Nella giornata odierna, il leader del movimento giovanile nazionale, ha parlato alla nazione, dichiarando che l'affinamento dell'indottrinamento politico e la superiorità morale rendono possibile la fusione fra l'istruzione della scuola superiore con il servizio nazionale militare, in modo che i giovani possano lasciare la scuola ed entrare a far parte dell'esercito con alle spalle già 12 mesi di istruzione militare.;El líder del Movimiento Nacional de Juventudes se ha dirigido hoy a la nación. Éste ha dicho que la educación de adoctrinamiento político y superioridad moral hacen que sea apropiado fusionar la educación secundaria con el servicio militar nacional, para que los jóvenes de nuestro país puedan salir del instituto del partido y unirse al ejército de manera inmediata, pues ya habrían recibido 12 meses de educación militar.;Der Anführer der nationalen Jugendbewegung hat sich heute an die Nation gewendet. Er sagte, dass eine Erziehung, die politische Indoktrination und morale Überlegenheit betone, die Schulbildung und den nationalen Militärdienst verschmelzen würde, weswegen die Jugend unserer Nation die Party- Schulen verlassen und direkt der Armee beitreten könne, da sie ja schon 12 Monate Militärerziehung hinter sich gebracht haben würden.;Lider narodowego Ruchu M³odych wyg³osi³ orêdzie, w którym oznajmi³, ¿e edukacja zawieraj¹ca indoktrynacjê polityczn¹ i g³osz¹ca wy¿szoœæ moraln¹ umo¿liwia bezpoœrednie po³¹czenie szkó³ œrednich i akademii wojskowych. Pozwoli to na bezpoœrednie przenoszenie m³odych ludzi ze szko³y do wojska, gdy¿ dziêki wspomnianemu systemowi nauczania bêd¹ mieli ju¿ 12 miesiêcy szkolenia za sob¹.;;The leader of the National Youth Movement addressed the Nation today. He said that education stressing political indoctrination and moral superiority makes it fitting to fuse high school education and national military service, thus the Youth of our Nation may leave Party High Schools and join the army directly because they would already have had 12 months of military education.;;;x;
ACTIONNAME1003A;OK;OK;OK;Aceptar;OK;OK;;OK;;;x;
EVT_1004R_NAME;Female labour force tapped for factories;La main d'oeuvre féminine réquisitionnée pour les usines;Forza lavoro femminile impiegata nelle industrie;Fuerza laboral femenina utilizada en las fábricas;Frauen zur Fabrikarbeit herangezogen;¯eñska si³a robocza wspomaga fabryki;;Female labour force tapped for factories;;;x;
EVT_1004R_DESC;The Government today announced its National Work Plan. By allowing women to do any factory work, a vast part of the male population will now be freed for National Military Service. Spokeswomen for several women's organisations say that this is a major improvement for the cause of women's rights.;Le gouvernement a annoncé aujourd'hui son Plan National pour la Main d'Oeuvre. En élargissant le travail féminin dans les usines, un nombre important d'hommes se verra libéré de cette tâche et pourra donc être incorporé dans l'armée. Les porte-parole des Organisations de Femmes ont indiqué voir là un progrès substantiel dans la lutte pour l'égalité des droits des femmes.;Nella giornata odierna, il governo ha annunciato il suo piano di lavoro nazionale. Consentendo alle donne di svolgere qualsiasi lavoro in fabbrica, una vasta parte della popolazione maschile verrebbe liberata per il servizio militare nazionale. I portavoce delle organizzazioni femminili dichiarano che si tratta di un grosso passo avanti per ciò che riguarda i diritti delle donne.;El gobierno anunció hoy su Plan de Trabajo Nacional. Al permitir que las mujeres trabajen en las fábricas, una gran parte de la población masculina se verá libre para llevar a cabo el servicio militar nacional. Las portavoces de las organizaciones femeninas dicen que éste es un gran avance para la causa de los derechos de las mujeres.;Die Regierung kündigte heute ihren nationalen Arbeitsplan an. Indem es Frauen erlaubt wird, jede Art von Fabrikarbeit zu leisten, wird ein großer Anteil der männlichen Bevölkerung für den nationalen Militärdienst frei. Sprecherinnen mehrerer Frauenorganisationen sagen, es handle sich hierbei um einen großen Fortschritt in der Frauenbewegung. ;Rz¹d og³osi³ dziœ narodowy plan robotniczy, który pozwala kobietom na wykonywanie dowolnych zawodów. Uwolni to znacz¹c¹ liczbê mê¿czyzn, zdolnych do s³u¿by wojskowej. Reprezentantki kilku kobiecych organizacji uzna³y t¹ decyzjê za istotny krok na drodze zrównania praw kobiet i mê¿czyzn.;;The Government today announced its National Work Plan. By allowing women to do any factory work, a vast part of the male population will now be freed for National Military Service. Spokeswomen for several women's organisations say that this is a major improvement for the cause of women's rights.;;;x;
ACTIONNAME1004A;OK;OK;OK;Aceptar;OK;OK;;OK;;;x;
EVT_1005R_NAME;Great Military Parade held in Capital;Gigantesque défilé militaire dans la capitale;Grande parata militare organizzata nella capitale;Se celebra en la capital un    gran desfile militar;Große Militärparade in Hauptstadt abgehalten;Wielka parada wojskowa w stolicy;;Great Military Parade held in Capital;;;x;
EVT_1005R_DESC;From all nearby military units the best troops, perfectly uniformed and with excellent elan, arrived in the Capital. Thousands of people had gathered to watch the Military Parade of our Armed Forces. Afterwards our reporter on the scene could hear comments such as: 'These guys will beat the crap out of the Shrimpfarmers.' And 'Daddy, Daddy did you see that guy on the tank with the big moustache?  He said he had killed a Goofy with his bayonet! Did he really do that daddy?' So we are proud to tell you folks that our defence is in good hands.;Toutes les unités stationnées à proximité de la capitale ont envoyé des détachements composés de leurs meilleurs soldats dans leur uniforme d'apparat. Des milliers de personnes se sont rassemblées pour regarder le défilé de nos forces armées. Voici quelques commentaires recueillis sur place par notre journaliste : 'Ces gars vont massacrer les éleveurs de crevettes !' ou encore 'Papa, papa, t'as vu le type sur le char avec sa grande moustache ?  Il a dit qu'il avait embroché un ennemi avec sa baïonnette ! Tu crois que c'est vrai, papa ?' Nous sommes fiers de ces hommes courageux qui défendent notre partie !;Da tutte le unità militari vicine, sono arrivate nella capitale le migliori truppe, ciascuna nella caratteristica uniforme e dotata di grande entusiasmo. Migliaia di persone si sono riunite per osservare la parata militare delle nostre forze armate. Subito dopo, i nostri cronisti presenti sul posto hanno potuto ascoltare commenti tipo 'I nostri ragazzi gli daranno una bella lezione' oppure 'Papà, papà, guarda quel ragazzo con i baffi sul carro armato! Ha detto di aver ucciso un povero stolto con la sua baionetta! Chissà se è vero, papà!' Siamo dunque orgogliosi di affermare che le nostre difese sono in buone mani.;Hoy han llegado a la capital las mejores tropas de las unidades militares cercanas, perfectamente uniformadas y con una buena presencia. Miles de personas se han reunido para presenciar el desfile militar de nuestras Fuerzas Armadas. Después del desfile, nuestro reportero en el escenario pudo escuchar comentarios como: 'Estos tipos van a machacar a los pescadores de gambas'. Y 'Papá, papá, ¿has visto a ese tipo del tanque con su enorme mostacho?¡Ha dicho que mató a un Goofy con su bayoneta! ¿De verdad lo hizo, papá?'. Por tanto, nos enorgullece poder comunicarles que nuestra defensa está en buenas manos.;Von allen nahegelegenen Militäreinheiten erreichten die besten Truppen in perfekter Uniform und exzellentem Schwung die Hauptstadt. Tausende hatten sich versammelt um die Militärparade unserer Streitkräfte zu sehen. Danach konnten unsere Reporter vor Ort folgende Kommentare hören: 'Die werden die Shrimpfarmer gehörig zusammenstauchen.' Und 'Papa, Papa hast du den Typ mit dem dicken Schnauzer auf dem Panzer gesehen? Er hat gesagt, dass er einen mit seinem Bajonett getötet hat! hat er das wirklich gemacht?' Wir sind also stolz Ihnen berichten zu können, dass sich unsere Verteidigung in den besten Händen befindet.;Do stolicy przyby³y oddzia³y idealnie umundurowanych, dziarskich ¿o³nierzy, stacjonuj¹cych w s¹siednich prowincjach. Tysi¹ce ludzi przyby³o obejrzeæ wojskow¹ paradê naszych si³ zbrojnych. Po jej zakoñczeniu nasi reporterzy zbierali opinie uczestników - oto niektóre z nich: 'Ci goœcie zmia¿d¿¹ tych podludzi.', 'Tato, tato, widzia³eœ tego pana z w¹sem na czo³gu? On powiedzia³, ¿e zabi³ jednego g³upka swoim bagnetem! Czy on to naprawdê zrobi³, tato?'. Jesteœmy dumni mog¹c stwierdziæ, ¿e nasze bezpieczeñstwo spoczywa w dobrych rêkach.;;From all nearby military units the best troops, perfectly uniformed and with excellent elan, arrived in the Capital. Thousands of people had gathered to watch the Military Parade of our Armed Forces. Afterwards our reporter on the scene could hear comments such as: 'These guys will beat the crap out of the Shrimpfarmers.' And 'Daddy, Daddy did you see that guy on the tank with the big moustache?  He said he had killed a Goofy with his bayonet! Did he really do that daddy?' So we are proud to tell you folks that our defence is in good hands.;;;x;
ACTIONNAME1005A;OK;OK;OK;Aceptar;OK;OK;;OK;;;x;
EVT_1006R_NAME;Government nationalises private sector;Le gouvernement nationalise le secteur privé;Il governo nazionalizza il settore privato;El gobierno nacionaliza el    sector privado;Regierung verstaatlicht den Privatsektor;Rz¹d nacjonalizuje sektor prywatny;;Government nationalises private sector;;;x;
EVT_1006R_DESC;In a public address today, our Great Leader has told the nation that he would no longer accept certain disloyal elements profiting at the expense of the People. In a side note to Government Decree NO:3256b, we have found that 16 formerly semi-privately run companies had been expropriated by the Ministry of Public Relations.;Dans son discours à la nation aujourd'hui, notre Chef bien-aimé a dit qu'il n'accepterait plus que d'odieux profiteurs abusent du peuple. Dans une annexe au Décret gouvernemental No 3256b, nous avons relevé que 16 entreprises mêlant capitaux publics et privés sont maintenant placées sous la tutelle exclusive du ministère de l'intérieur.;Nella giornata odierna, durante un discorso pubblico, il nostro grande leader ha annunciato alla nazione che non accetterà più certi elementi sleali che se si arricchiscono a spese della gente. In una nota a margine del decreto del governo n°3256b, abbiamo scoperto che 16 ex compagnie semi-private sono state rilevate dal ministro delle pubbliche relazioni.;En su discurso, nuestro gran líder dijo hoy a la nación que no iba a aceptar que ciertos elementos desleales siguiesen haciéndose ricos a expensas de la gente. En una nota aparte del decreto del gobierno n.º 3256b nos encontramos con que el Ministerio de Relaciones Públicas había expropiado 16 compañías que se hallaban parcialmente en manos privadas.;In einer öffentlichen Ansprache heute hat unser großer Führer seine Nation mitgeteilt, dass er keine unloyalen Elemente mehr unterstützen würde, die Vorteile zu Lasten der Menschen genießen würden. In einem Nebenkommentar des Regierungsdekrets Nr. 3256b haben wir gefunden, dass 16 ehemalige halbprivate Unternehmen durch das Ministerium für Öffentlichkeitsarbeit enteignet wurden.;W dzisiejszym orêdziu nasz wielki przywódca og³osi³, ¿e nie zamierza d³u¿ej tolerowaæ pewnych nielojalnych elementów, bogac¹cych siê kosztem narodu. W za³¹czniku do dyrektywy rz¹dowej NO:3256b odnaleŸliœmy zapis wyw³aszczaj¹cy 16 firm, które do tej pory pozostawa³y czêœciowo w rêkach prywatnych.;;In a public address today, our Great Leader has told the nation that he would no longer accept certain disloyal elements profiting at the expense of the People. In a side note to Government Decree NO:3256b, we have found that 16 formerly semi-privately run companies had been expropriated by the Ministry of Public Relations.;;;x;
ACTIONNAME1006A;OK;OK;OK;Aceptar;OK;OK;;OK;;;x;
EVT_1007R_NAME;Mass flight of War Refugees;Exode massif de réfugiés de guerre;Trasporto aereo di massa di rifugiati di guerra;Huida masiva de refugiados        de guerra;Massenexodus von Kriegsflüchtlingen;Organizacja uchodŸców wojennych;;Mass flight of War Refugees;;;x;
EVT_1007R_DESC;The Minister of Armaments commented on yesterday's recruitment plan by saying:'The enemy's violent assaults have made tens of thousands of people homeless. Many of these will now be equipped and organised into combat formations. They will help themselves by fighting our common enemy.';Le ministre des armées a commenté hier son plan de recrutement : 'les assauts violents de l'ennemi ont contraint des dizaines de personnes à l'exode. Beaucoup de ces gens seront maintenant équipés et répartis dans des unités de combat. Ils participeront à leur propre libération en combattant notre ennemi commun à nos côtés.';Il ministro degli armamenti ha commentato il piano di reclutamento presentato ieri, affermando che ' gli assalti violenti da parte del nemico, hanno provocato decine di migliaia di senzatetto. Molti di loro verranno ora equipaggiati e organizzati in formazioni da combattimento per combattere il nostro comune nemico'.;El Ministro de Defensa comentó el plan de reclutamiento emitido ayer diciendo: 'Los violentos ataques enemigos han dejado sin hogar a decenas de miles de personas. Muchas de ellas serán ahora equipadas y organizadas en formaciones de combate. Al combatir contra nuestro enemigo común se estarán ayudando a sí mismas.';Der Verteidigungsminister kommentierte zu gestrigem Rekrutierungsplan :'Die gewalttätigen Angriffe haben zehntausend Menschen heimatlos gemacht. Viele werden jetzt ausgerüstet und in Kampfformationen organisiert. Sie werden sich gegenseitig helfen indem sie unseren gemeinsamen Feind bekämpfen.';Minister uzbrojenia skomentowa³ wczorajszy plan rekrutacyjny, wyjaœniaj¹c: 'Gwa³towne ataki wroga pozbawi³y dachu nad g³ow¹ tysi¹ce ludzi. Wielu z nich otrzyma teraz niezbêdne wyposa¿enie i zostanie zorganizowanych w formacje bojowe. To pomo¿e im walczyæ razem z nami przeciw wspólnemu wrogowi.';;The Minister of Armaments commented on yesterday's recruitment plan by saying:'The enemy's violent assaults have made tens of thousands of people homeless. Many of these will now be equipped and organised into combat formations. They will help themselves by fighting our common enemy.';;;x;
ACTIONNAME1007A;OK;OK;OK;Aceptar;OK;OK;;OK;;;x;
EVT_1008R_NAME;Major Worker Strike;Très importante grève ouvrière;Grande sciopero dei lavoratori;Gran huelga de trabajadores;Generalstreik;Powa¿ny strajk robotniczy;;Major Worker Strike;;;x;
EVT_1008R_DESC;A major strike broke out this weekend in one of the country’s largest industrial complexes. Union leaders say that they will continue their fight until the current Government gives in to their demands.;Une grève très dure a commencé samedi dernier dans l'un des plus vastes complexes industriels de notre pays. Les représentants syndicaux se disent déterminés à poursuivre leur lutte jusqu'à ce que le gouvernement leur accorde ce qu'ils demandent.;Questo fine settimana, è stato organizzato un grosso sciopero presso uno dei più vasti complessi industriali del paese. I leader sindacali dicono che continueranno a lottare fino a quando il governo non accetterà le loro richieste.;Este fin de semana ha estallado una gran huelga en uno de los mayores complejos industriales del país. Los líderes sindicales dicen que continuarán la lucha hasta que el gobierno actual ceda ante sus exigencias.;Ein Generalstreik brach dieses Wochenende in einer der größten Industriekomplexe dieses Landes aus. Unionsführer sagen, dass sie den Kampf weiterführen, bis die momentane Regierung ihren Forderungen nachgibt.;Powa¿ny strajk wybuch³ w tym tygodniu w jednym z najwiêkszych kompleksów przemys³owych w naszym kraju. Liderzy zwi¹zkowi twierdz¹, ¿e bêdzie on kontynuowany do czasu wype³nienia przez rz¹d postulatów robotniczych.;;A major strike broke out this weekend in one of the country’s largest industrial complexes. Union leaders say that they will continue their fight until the current Government gives in to their demands.;;;x;
ACTIONNAME1008A;OK;OK;OK;Aceptar;OK;OK;;OK;;;x;
EVT_1009R_NAME;Artist reflects popular emotions and records epic song;Un chanteur surfe sur la vague d'émotions et enregistre une chanson dramatique;L'artista riflette le emozioni popolari e registra una canzone mitica;Un artista refleja las emociones populares y graba una canción épica;Künstler gibt die Emotionen des Volkes wieder und nimmt episches Lied auf;Artysta nagrywa epick¹ pieœñ;;Artist reflects popular emotions and records epic song;;;x;
EVT_1009R_DESC;A previously unknown singer and ordinary man suddenly became famous when his love song about a soldier overseas writing home to his beloved wife hit the 1 position on the popular music charts on National Radio. The song has beomce a huge hit with both troops at the front and the populace at home.;Un inconnu a soudain accédé à la célébrité lorsque sa chanson sur un soldat envoyé de l'autre côté de l'océan qui écrit à sa femme chérie, est passée en tête des diffusions sur les radios nationales. La chanson a connu un franc succès tant parmi les troupes engagées à l'étranger que parmi les citoyens restés au pays.;Un semplice uomo semi-sconosciuto, divenne improvvisamente famoso quando la sua canzone su un soldato oltreoceano che scrive a casa alla mamma, raggiunse il primo posto nella classifica della radio nazionale. La canzone diventò la preferita sia delle truppe al fronte che della popolazione a casa.;Un hombre ordinario y totalmente desconocido se hizo famoso cuando su canción de amor sobre un soldado que escribe a su amada esposa desde el extranjero alcanzó la lista de éxitos de la radio nacional. Esta canción se ha convertido en la gran favorita tanto de las tropas en el frente como del pueblo en la patria.;Ein zuvor unbekannter Künstler und einfacher Mann wurde plötzlich berühmt, als sein Liebeslied über einen Soldaten in Übersee, der seiner geliebten Frau schreibt, auf den ersten Platz in den beliebten Musikcharts des nationalen Radios kommt. Der Song wurde ein großer Hit für die Truppen an der Front und das Volk zu Hause.;Nieznany wczeœniej piosenkarz zdoby³ niezwyk³¹ popularnoœæ po tym, jak jego pieœñ mi³osna o ¿o³nierzu pisz¹cym do ukochanej ¿ony, przebi³a siê na pierwsze miejsce listy popularnoœci w narodowym radiu. Pieœñ ta sta³a siê wielkim hitem zarówno wœród oddzia³ów frontowych, jak i cywili pozostaj¹cych w kraju.;;A previously unknown singer and ordinary man suddenly became famous when his love song about a soldier overseas writing home to his beloved wife hit the 1 position on the popular music charts on National Radio. The song has beomce a huge hit with both troops at the front and the populace at home.;;;x;
ACTIONNAME1009A;OK;OK;OK;Aceptar;OK;OK;;OK;;;x;
EVT_1011R_NAME;Leading scientist defects to your country;Un grand chercheur demande l'asile politique;Mancanza di scienziati autorevoli nel tuo paese;Un destacado científico huye a tu país;Führender Wissenschaftler flieht in Ihr Land;Przoduj¹cy naukowiec ucieka do naszego kraju;;Leading scientist defects to your country;;;x;
EVT_1011R_DESC;A leading scientist from our enemy's scientific community arrived yesterday in our capital with his entire research team. He told our reporter that the repressive intellectual climate in his own country made conducting research impossible and that he and his team are happy to be able to work undisturbed in our country.;Un membre éminent de la communauté scientifique a délaissé son pays, avec lequel nous sommes en guerre, et s'est réfugié dans notre capitale avec toute son équipe. Il a déclaré à notre envoyé spécial que le climat intellectuel délétère qui règne dans son pays rendait la situation intenable et que lui et son équipe seront ravis de poursuivre leurs recherches pour le compte de leur nouvelle patrie.;Un autorevole membro della comunità scientifica del nostro nemico, è arrivato ieri nella nostra capitale accompagnato da tutto il suo team di collaboratori. Egli ha raccontato al nostro cronista che l'ambiente intellettuale ristretto del suo paese aveva reso la situazione scientifica insostenibile, e che lui e il suo team erano felici di poter proseguire le loro ricerche indisturbati nel nostro paese.;Un importante sabio de la comunidad científica del enemigo llegó ayer a nuestra capital con todo su equipo de investigación. Le dijo a nuestro reportero que el rígido clima intelectual imperante en su país hacía imposible la investigación científica y que él y su equipo están felices de poder trabajar aquí sin que los molesten.;Ein führender Wissenschaftler aus der wissenschaftlichen Gemeinschaft unseres Feindes kam gestern in unserer Hauptstadt mit seinem gesamten Forschungsteam an. Er erzählte unseren Reportern, dass es aufgrund des repressiven intellektuellen Klimas seines eigenen Landes unmöglich wäre, Forschung zu betreiben und das er und sein Team glücklich darüber ist, ungestört in unserem Land arbeiten zu können.;Jeden z najwa¿niejszych naukowców naszego wroga przyby³ wczoraj do stolicy wraz z ca³ym swoim zespo³em badawczym. Naszemu reporterowi wyzna³, ¿e klimat intelektualnych represji w jego kraju uniemo¿liwia³ mu dalsze prowadzenie badañ i ¿e bêdzie szczêœliwy, mog¹c kontynuowaæ swoj¹ pracê w naszej ojczyŸnie.;;A leading scientist from our enemy's scientific community arrived yesterday in our capital with his entire research team. He told our reporter that the repressive intellectual climate in his own country made conducting research impossible and that he and his team are happy to be able to work undisturbed in our country.;;;x;
ACTIONNAME1011A;OK;OK;OK;Aceptar;OK;OK;;OK;;;x;
EVT_1012R_NAME;Accidental discovery. Miraculous breaktrough in research;Découverte accidentelle. Une percée miraculeuse dans la recherche;Scoperta inattesa. Incredibile passo avanti nella ricerca;Un descubrimiento accidental. Importante y milagroso avance científico;Zufallsentdeckung. Wundersamer Forschungsdurchbruch;Przypadkowe odkrycie, cudowny prze³om w badaniach;;Accidental discovery. Miraculous breaktrough in research;;;x;
EVT_1012R_DESC;A week ago, we published an article about research in science. Today we are happy to disclose that one of our scientists has made major advances in certain areas. A professor of one of the country's leading universities says that these things happen once in a century or so. The man who made the discovery told us that he got his idea when he dropped a cup of tea on the floor. It seems that the hot tea made certain colourful patterns on the floor and, well, he says that did it. Quite a genius, if you ask us.;La semaine dernière, nous avons publié un dossier sur la recherche scientifique. Aujourd'hui, nous sommes heureux de vous annoncer que nos chercheurs ont fait des progrès époustouflants dans certains domaines. Un professeur de l'une des plus grandes universités a indiqué que ce genre de percée due au hasard était extrêmement rare. L'homme à l'origine de la découverte nous a avoué avoir eu son idée en renversant sa tasse de thé sur son tapis. Il semble que le thé brûlant ait dessiné certaines formes colorées en se répandant sur le tapis. 'Et voilà comment c'est arrivé', nous a-t-il déclaré. Un sacré génie à l'évidence !;Una settimana fa, abbiamo pubblicato un articolo sulla ricerca nella scienza. Oggi siamo felici di scoprire che i nostri scienziati hanno fatto dei grossi passi avanti in determinati campi. Il professore di una delle migliori università del paese ha affermato che queste cose avvengono una volta ogni cento anni o giù di lì. L'uomo responsabile della nuova scoperta ci ha raccontato di avere avuto l'idea facendo cadere un tazza di tè su un tappeto. Il tè caldo aveva disegnato certi motivi colorati sul tappeto e, beh... il resto è storia.;Hace una semana publicamos un artículo sobre la investigación científica. Hoy nos alegramos de revelar que nuestros científicos han logrado avances importantes en ciertos campos. Un profesor de una de las principales universidades del país dice que este tipo de cosas sólo ocurren aproximadamente una vez cada siglo. El hombre que realizó el nuevo descubrimiento nos ha dicho que su idea se le ocurrió cuando derramó el té sobre el suelo. Parece que el té caliente dibujó determinados patrones de colores en el suelo y, bueno, dice que eso bastó. Todo un genio, en nuestra opinión.;Vor einer Woche haben wir einen Artikel über die Forschung in der Wissenschaft veröffentlicht. Heute sind wir erfreut, Ihnen mitteilen zu können, dass einer unserer Wissenschaftler in bestimmten Bereichen größere Fortschritte erzielt haben. Ein Professor einer der führenden Universitäten unseres Landes sagt, dass so etwas nur einmall in hundert Jahren vorkommt. Der Wissenschaftler teilt uns mit, er habe die Entdeckung gemacht, als ihm  eine Tasse Tee auf den Boden gefallen war. Es scheint, der Tee habe bestimmte farbliche Muster auf dem Boden geformt, die ihn auf das Ergebnis gebracht hätten. - Ein Genie, wenn Sie uns fragen.;Tydzieñ temu opublikowaliœmy artyku³ o badaniach naukowych. Dziœ mamy zaszczyt og³osiæ, ¿e jeden z naszych naukowców dokona³ istotnych postêpów w pewnych dziedzinach. Profesor jednego z najznamienitszych uniwersytetów powiedzia³ nam, ¿e takie odkrycia zdarzaj¹ siê nie czêœciej, ni¿ raz na sto lat. Cz³owiek o którym mowa ujawni³ nam, ¿e olœnienie nasz³o go po tym, jak upuœci³ kubek z kaw¹ na pod³ogê. Wygl¹da na to, ¿e rozlany p³yn utworzy³ na posadzce interesuj¹cy wzór. Có¿ za geniusz!;;A week ago, we published an article about research in science. Today we are happy to disclose that one of our scientists has made major advances in certain areas. A professor of one of the country's leading universities says that these things happen once in a century or so. The man who made the discovery told us that he got his idea when he dropped a cup of tea on the floor. It seems that the hot tea made certain colourful patterns on the floor and, well, he says that did it. Quite a genius, if you ask us.;;;x;
ACTIONNAME1012A;OK;OK;OK;Aceptar;OK;OK;;OK;;;x;
EVT_1013R_NAME;Private initiative boosts production;L'initiative privée accroît la productivité;L'iniziativa privata incrementa la produzione;La iniciativa privada aumenta la producción;Privatinitiative treibt Produktion nach oben;Prywatna inicjatywa podnosi produkcjê;;Private initiative boosts production;;;x;
