##;ENG;FRA;ITA;SPA;GER;POL;;RUS;;;X
PROV0;(Embarked);(Embarked);(Embarked);(Embarcado/s);(Embarked);(Embarked);;(Embarked);;;x
PROV582;Livny;Livny;Livny;Livny;Livny;Livny;;Ливны;;;X
PROV583;Efremov;Efremov;Efremov;Efremov;Efremov;Efremov;;Ефремов;;;X
PROV584;Tula;Tula;Tula;Tula;Tula;Tula;;Тула;;;X
PROV585;Kozelsk;Kozelsk;Kozelsk;Kozelsk;Kozelsk;Kozelsk;;Козельск;;;X
PROV586;Roslavl;Roslavl;Roslavl;Roslavl;Roslavl;Roslavl;;Рославль;;;X
PROV587;Klintsy;Klintsy;Klintsy;Klintsy;Klintsy;Klintsy;;Клинцы;;;X
PROV588;Bryansk;Bryansk;Bryansk;Bryansk;Bryansk;Bryansk;;Брянск;;;X
PROV589;Smolensk;Smolensk;Smolensk;Smolensk;Smolensk;Smolensk;;Смоленск;;;X
PROV590;Vitebsk;Vitebsk;Vitebsk;Vitebsk;Vitebsk;Vitebsk;;Витебск;;;X
PROV591;Orsha;Orsha;Orsha;Orsha;Orsha;Orsha;;Орша;;;X
PROV592;Borisov;Borisov;Borisov;Borisov;Borisov;Borisov;;Борисов;;;X
PROV593;Polotsk;Polotsk;Polotsk;Polotsk;Polotsk;Polotsk;;Полоцк;;;X
PROV594;Bobruisk;Bobruisk;Bobruisk;Bobruisk;Bobruisk;Bobruisk;;Бобруйск;;;X
PROV595;Mozyr;Mozyr;Mozyr;Mozyr;Mozyr;Mozyr;;Мозырь;;;X
PROV596;Slutsk;Slutsk;Slutsk;Slutsk;Slutsk;Slutsk;;Слуцк;;;X
PROV597;Luban;Luban;Luban;Luban;Luban;Luban;;Любань;;;X
PROV598;Rechytsa;Rechytsa;Rechytsa;Rechytsa;Rechytsa;Rechytsa;;Речица;;;X
PROV599;Minsk;Minsk;Minsk;Minsk;Minsk;Minsk;;Минск;;;X
PROV600;Mogilev;Mogilev;Mogilev;Mogilev;Mogilev;Mogilev;;Могилев;;;X
PROV601;Gomel;Gomel;Gomel;Gomel;Gomel;Gomel;;Гомель;;;X
PROV602;Zheleznogorsk;Zheleznogorsk;Zheleznogorsk;Zheleznogorsk;Zheleznogorsk;Zheleznogorsk;;Железногорск;;;X
PROV603;Belgorod;Belgorod;Belgorod;Belgorod;Belgorod;Belgorod;;Белгород;;;X
PROV604;Kursk;Kursk;Kursk;Kursk;Kursk;Kursk;;Курск;;;X
PROV605;Konotop;Konotop;Konotop;Konotop;Konotop;Konotop;;Конотоп;;;X
PROV606;Sumy;Sumy;Sumy;Sumy;Sumy;Sumy;;Сумы;;;X
PROV607;Chernigov;Chernigov;Chernigov;Chernigov;Chernigov;Chernigov;;Чернигов;;;X
PROV608;Nezhin;Nezhin;Nezhin;Nezhin;Nezhin;Nezhin;;Нежин;;;X
PROV609;Korosten;Korosten;Korosten;Korosten;Korosten;Korosten;;Коростень;;;X
PROV610;Kremenchug;Kremenchug;Kremenchug;Kremenchug;Kremenchug;Kremenchug;;Кременчуг;;;X
PROV611;Zhitomir;Zhitomir;Zhitomir;Zhitomir;Zhitomir;Zhitomir;;Житомир;;;X
PROV612;Vinnitsa;Vinnitsa;Vinnitsa;Vinnitsa;Vinnitsa;Vinnitsa;;Винница;;;X
PROV613;Cherkasy;Cherkasy;Cherkasy;Cherkasy;Cherkasy;Cherkasy;;Черкассы;;;X
PROV614;Proskurov;Proskurov;Proskurov;Proskurov;Proskurov;Proskurov;;Проскуров;;;X
PROV615;Uman;Uman;Uman;Uman;Uman;Uman;;Умань;;;X
PROV616;Novograd-Volynsky;Novograd-Volynsky;Novograd-Volynsky;Novograd-Volynsky;Novograd-Volynsky;Novograd-Volynsky;;Новоград-Волынский;;;X
PROV617;Kiev;Kiev;Kiev;Kiev;Kiev;Kiev;;Киев;;;X
PROV618;Kamenets-Podolsky;Kamenets-Podolsky;Kamenets-Podolsky;Kamenets-Podolsky;Kamenets-Podolsky;Kamenets-Podolsky;;Каменец-Подольский;;;X
PROV619;Mogilev-Podolsky;Mogilev-Podolsky;Mogilev-Podolsky;Mogilev-Podolsky;Mogilev-Podolsky;Mogilev-Podolsky;;Могилев-Подольский;;;X
PROV620;Balta;Balta;Balta;Balta;Balta;Balta;;Балта;;;X
PROV621;Tiraspol;Tiraspol;Tiraspol;Tiraspol;Tiraspol;Tiraspol;;Тирасполь;;;X
PROV622;Nikolayev;Nikolayev;Nikolayev;Nikolayev;Nikolayev;Nikolayev;;Николаев;;;X
PROV623;Melitopol;Melitopol;Melitopol;Melitopol;Melitopol;Melitopol;;Мелитополь;;;X
PROV624;Kherson;Kherson;Kherson;Kherson;Kherson;Kherson;;Херсон;;;X
PROV625;Ochakov;Ochakov;Ochakov;Ochakov;Ochakov;Ochakov;;Очаков;;;X
PROV626;Odessa;Odessa;Odessa;Odessa;Odessa;Odessa;;Одесса;;;X
PROV627;Krivoy Rog;Krivoy Rog;Krivoy Rog;Krivoy Rog;Krivoy Rog;Krivoy Rog;;Кривой Рог;;;X
PROV628;Kirovograd;Kirovograd;Kirovograd;Kirovograd;Kirovograd;Kirovograd;;Кировоград;;;X
PROV629;Poltava;Poltava;Poltava;Poltava;Poltava;Poltava;;Полтава;;;X
PROV630;Zaporozhye;Zaporozhye;Zaporozhye;Zaporozhye;Zaporozhye;Zaporozhye;;Запорожье;;;X
PROV631;Mariupol;Mariupol;Mariupol;Mariupol;Mariupol;Mariupol;;Мариуполь;;;X
PROV632;Dnepropetrovsk;Dnepropetrovsk;Dnepropetrovsk;Dnepropetrovsk;Dnepropetrovsk;Dnepropetrovsk;;Днепропетровск;;;X
PROV633;Kupyansk;Kupyansk;Kupyansk;Kupyansk;Kupyansk;Kupyansk;;Купянск;;;X
PROV634;Voroshilovgrad;Voroshilovgrad;Voroshilovgrad;Voroshilovgrad;Voroshilovgrad;Voroshilovgrad;;Ворошиловград;;;X
PROV635;Donetsk;Donetsk;Donetsk;Donetsk;Donetsk;Donetsk;;Донецк;;;X
PROV636;Kharkov;Kharkov;Kharkov;Kharkov;Kharkov;Kharkov;;Харьков;;;X
PROV637;Yevpatoria;Yevpatoria;Yevpatoria;Yevpatoria;Yevpatoria;Yevpatoria;;Евпатория;;;X
PROV638;Simferopol;Simferopol;Simferopol;Simferopol;Simferopol;Simferopol;;Симферополь;;;X
PROV639;Dzhankoy;Dzhankoy;Dzhankoy;Dzhankoy;Dzhankoy;Dzhankoy;;Джанкой;;;X
PROV640;Kerch;Kerch;Kerch;Kerch;Kerch;Kerch;;Керчь;;;X
PROV641;Sevastopol;Sevastopol;Sevastopol;Sevastopol;Sevastopol;Sevastopol;;Севастополь;;;X
PROV642;Surovikino;Surovikino;Surovikino;Surovikino;Surovikino;Surovikino;;Суровикино;;;X
PROV643;Morozovsk;Morozovsk;Morozovsk;Morozovsk;Morozovsk;Morozovsk;;Морозовск;;;X
PROV644;Rostov-on-Don;Rostov-on-Don;Rostov-on-Don;Rostov-on-Don;Rostov-on-Don;Rostov-on-Don;;Ростов-на-Дону;;;X
PROV645;Konstantinovsk;Konstantinovsk;Konstantinovsk;Konstantinovsk;Konstantinovsk;Konstantinovsk;;Константиновск;;;X
PROV646;Alexeyevka;Alexeyevka;Alexeyevka;Alexeyevka;Alexeyevka;Alexeyevka;;Алексеевка;;;X
PROV647;Stary Oskol;Stary Oskol;Stary Oskol;Stary Oskol;Stary Oskol;Stary Oskol;;Старый Оскол;;;X
PROV648;Rossosh;Rossosh;Rossosh;Rossosh;Rossosh;Rossosh;;Россошь;;;X
PROV649;Kamensk-Shakhtinsky;Kamensk-Shakhtinsky;Kamensk-Shakhtinsky;Kamensk-Shakhtinsky;Kamensk-Shakhtinsky;Kamensk-Shakhtinsky;;Каменск-Шахтинский;;;X
PROV650;Tambov;Tambov;Tambov;Tambov;Tambov;Tambov;;Тамбов;;;X
PROV651;Borisoglebsk;Borisoglebsk;Borisoglebsk;Borisoglebsk;Borisoglebsk;Borisoglebsk;;Борисоглебск;;;X
PROV652;Lipetsk;Lipetsk;Lipetsk;Lipetsk;Lipetsk;Lipetsk;;Липецк;;;X
PROV653;Pavlovsk;Pavlovsk;Pavlovsk;Pavlovsk;Pavlovsk;Pavlovsk;;Павловск;;;X
PROV654;Voronezh;Voronezh;Voronezh;Voronezh;Voronezh;Voronezh;;Воронеж;;;X
PROV655;Uryupinsk;Uryupinsk;Uryupinsk;Uryupinsk;Uryupinsk;Uryupinsk;;Урюпинск;;;X
PROV656;Ukyanovsk;Ukyanovsk;Ukyanovsk;Ukyanovsk;Ukyanovsk;Ukyanovsk;;Ульяновск;;;X
PROV657;Balashov;Balashov;Balashov;Balashov;Balashov;Balashov;;Балашов;;;X
PROV658;Penza;Penza;Penza;Penza;Penza;Penza;;Пенза;;;X
PROV659;Kalach-on-Don;Kalach-on-Don;Kalach-on-Don;Kalach-on-Don;Kalach-on-Don;Kalach-on-Don;;Калач;;;X
PROV660;Volzhsky;Volzhsky;Volzhsky;Volzhsky;Volzhsky;Volzhsky;;Волжский;;;X
PROV661;Kamyshin;Kamyshin;Kamyshin;Kamyshin;Kamyshin;Kamyshin;;Камышин;;;X
PROV662;Kotelnikovo;Kotelnikovo;Kotelnikovo;Kotelnikovo;Kotelnikovo;Kotelnikovo;;Котельниково;;;X
PROV663;Tsaritsyn;Tsaritsyn;Tsaritsyn;Tsaritsyn;Tsaritsyn;Tsaritsyn;;Царицын;;;X
PROV664;Naberezhnye Chelny;Naberezhnye Chelny;Naberezhnye Chelny;Naberezhnye Chelny;Naberezhnye Chelny;Naberezhnye Chelny;;Набережные Челны;;;X
PROV665;Volsk;Volsk;Volsk;Volsk;Volsk;Volsk;;Вольск;;;X
PROV666;Pokrovsk;Pokrovsk;Pokrovsk;Pokrovsk;Pokrovsk;Pokrovsk;;Покровск;;;X
PROV667; Stavropol-on-Volga; Stavropol-on-Volga; Stavropol-on-Volga; Stavropol-on-Volga; Stavropol-on-Volga; Stavropol-on-Volga;;Ставрополь;;;X
PROV668;Kuybyshev;Kuybyshev;Kuybyshev;Kuybyshev;Kuybyshev;Kuybyshev;;Куйбышев;;;X
PROV669;Saratov;Saratov;Saratov;Saratov;Saratov;Saratov;;Саратов;;;X
PROV670;Saransk;Saransk;Saransk;Saransk;Saransk;Saransk;;Саранск;;;X
PROV671;Izhevsk;Izhevsk;Izhevsk;Izhevsk;Izhevsk;Izhevsk;;Ижевск;;;X
PROV672;Kazan;Kazan;Kazan;Kazan;Kazan;Kazan;;Казань;;;X
PROV673;Yoshkar-Ola;Yoshkar-Ola;Yoshkar-Ola;Yoshkar-Ola;Yoshkar-Ola;Yoshkar-Ola;;Йошкар-Ола;;;X
PROV674;Zelenodolsk;Zelenodolsk;Zelenodolsk;Zelenodolsk;Zelenodolsk;Zelenodolsk;;Зеленодольск;;;X
PROV675;Cheboksary;Cheboksary;Cheboksary;Cheboksary;Cheboksary;Cheboksary;;Чебоксары;;;X
PROV676;Rybinsk;Rybinsk;Rybinsk;Rybinsk;Rybinsk;Rybinsk;;Рыбинск;;;X
PROV677;Yaroslavl;Yaroslavl;Yaroslavl;Yaroslavl;Yaroslavl;Yaroslavl;;Ярославль;;;X
PROV678;Vladimir;Vladimir;Vladimir;Vladimir;Vladimir;Vladimir;;Владимир;;;X
PROV679;Murom;Murom;Murom;Murom;Murom;Murom;;Муром;;;X
PROV680;Gorky;Gorky;Gorky;Gorky;Gorky;Gorky;;Горький;;;X
PROV681;Kostroma;Kostroma;Kostroma;Kostroma;Kostroma;Kostroma;;Кострома;;;X
PROV682;Ivanovo;Ivanovo;Ivanovo;Ivanovo;Ivanovo;Ivanovo;;Иваново;;;X
PROV683;Arzamas;Arzamas;Arzamas;Arzamas;Arzamas;Arzamas;;Арзамас;;;X
PROV684;Kirov;Kirov;Kirov;Kirov;Kirov;Kirov;;Киров;;;X
PROV685;Syktyvkar;Syktyvkar;Syktyvkar;Syktyvkar;Syktyvkar;Syktyvkar;;Сыктывкар;;;X
PROV686;Kudymkar;Kudymkar;Kudymkar;Kudymkar;Kudymkar;Kudymkar;;Кудымкар;;;X
PROV687;Perm;Perm;Perm;Perm;Perm;Perm;;Пермь;;;X
PROV688;Ukhta;Ukhta;Ukhta;Ukhta;Ukhta;Ukhta;;Ухта;;;X
PROV689;Solikamsk;Solikamsk;Solikamsk;Solikamsk;Solikamsk;Solikamsk;;Соликамск;;;X
PROV690;Sterlitamak;Sterlitamak;Sterlitamak;Sterlitamak;Sterlitamak;Sterlitamak;;Стерлитамак;;;X
PROV691;Krasnodar;Krasnodar;Krasnodar;Krasnodar;Krasnodar;Krasnodar;;Краснодар;;;X
PROV692;Salsk;Salsk;Salsk;Salsk;Salsk;Salsk;;Сальск;;;X
PROV693;Maykop;Maykop;Maykop;Maykop;Maykop;Maykop;;Майкоп;;;X
PROV694;Novorossiysk;Novorossiysk;Novorossiysk;Novorossiysk;Novorossiysk;Novorossiysk;;Новороссийск;;;X
PROV695;Sochi;Sochi;Sochi;Sochi;Sochi;Sochi;;Сочи;;;X
PROV696;Cherkessk;Cherkessk;Cherkessk;Cherkessk;Cherkessk;Cherkessk;;Черкесск;;;X
PROV697;Volgodonsk;Volgodonsk;Volgodonsk;Volgodonsk;Volgodonsk;Volgodonsk;;Волгодонск;;;X
PROV698;Voroshilovsk;Voroshilovsk;Voroshilovsk;Voroshilovsk;Voroshilovsk;Voroshilovsk;;Ворошиловск;;;X
PROV699;Elista;Elista;Elista;Elista;Elista;Elista;;Элиста;;;X
PROV700;Hasavjurt;Hasavjurt;Hasavjurt;Hasavjurt;Hasavjurt;Hasavjurt;;Хасавюрт;;;X
PROV701;Nalchik;Nalchik;Nalchik;Nalchik;Nalchik;Nalchik;;Нальчик;;;X
PROV702;Grozny;Grozny;Grozny;Grozny;Grozny;Grozny;;Грозный;;;X
PROV703;Vladikavkaz;Vladikavkaz;Vladikavkaz;Vladikavkaz;Vladikavkaz;Vladikavkaz;;Владикавказ;;;X
PROV704;Makhachkala;Makhachkala;Makhachkala;Makhachkala;Makhachkala;Makhachkala;;Махачкала;;;X
PROV705;Nazran;Nazran;Nazran;Nazran;Nazran;Nazran;;Назрань;;;X
PROV706;Astrakhan;Astrakhan;Astrakhan;Astrakhan;Astrakhan;Astrakhan;;Астрахань;;;X
PROV707;Tskhinvali;Tskhinvali;Tskhinvali;Tskhinvali;Tskhinvali;Tskhinvali;;Цхинвал;;;X
PROV708;Kutaisi;Kutaisi;Kutaisi;Kutaisi;Kutaisi;Kutaisi;;Кутаиси;;;X
PROV709;Tblisi;Tblisi;Tblisi;Tblisi;Tblisi;Tblisi;;Тбилиси;;;X
PROV710;Sukhumi;Sukhumi;Sukhumi;Sukhumi;Sukhumi;Sukhumi;;Сухуми;;;X
PROV711;Yerevan;Yerevan;Yerevan;Yerevan;Yerevan;Yerevan;;Ереван;;;X
PROV712;Stepanakert;Stepanakert;Stepanakert;Stepanakert;Stepanakert;Stepanakert;;Степанакерт;;;X
PROV713;Baku;Baku;Baku;Baku;Baku;Baku;;Баку;;;X
PROV714;Nakhchivan;Nakhchivan;Nakhchivan;Nakhchivan;Nakhchivan;Nakhchivan;;Нахичивань;;;X
PROV715;Tanger;Tanger;Tanger;Tanger;Tanger;Tanger;;Танжер;;;X
PROV716;Nador;Nador;Nador;Nador;Nador;Nador;;Надор;;;X
PROV717;Rabat;Rabat;Rabat;Rabat;Rabat;Rabat;;Рабат;;;X
PROV718;Casablanca;Casablanca;Casablanca;Casablanca;Casablanca;Casablanca;;Касабланка;;;X
PROV719;Tiznit;Tiznit;Tiznit;Tiznit;Tiznit;Tiznit;;Тизнит;;;X
PROV720;Agadir;Agadir;Agadir;Agadir;Agadir;Agadir;;Агадир;;;X
PROV721;Fes;Fes;Fes;Fes;Fes;Fes;;Фес;;;X
PROV722;Marrakech;Marrakech;Marrakech;Marrakech;Marrakech;Marrakech;;Марракеш;;;X
PROV723;Khenifra;Khenifra;Khenifra;Khenifra;Khenifra;Khenifra;;Хенифра;;;X
PROV724;Oujda;Oujda;Oujda;Oujda;Oujda;Oujda;;Уджда;;;X
PROV725;Ouarzazate;Ouarzazate;Ouarzazate;Ouarzazate;Ouarzazate;Ouarzazate;;Орцазате;;;X
PROV726;Er Rachidia;Er Rachidia;Er Rachidia;Er Rachidia;Er Rachidia;Er Rachidia;;Эр-Рашидия;;;X
PROV727;Algiers;Algiers;Algiers;Algiers;Algiers;Algiers;;Алжир;;;X
PROV728;Oran;Oran;Oran;Oran;Oran;Oran;;Оран;;;X
PROV729;Tlemcen;Tlemcen;Tlemcen;Tlemcen;Tlemcen;Tlemcen;;Тлемсен;;;X
PROV730;Orleansville;Orleansville;Orleansville;Orleansville;Orleansville;Orleansville;;Орлеанвиль;;;X
PROV731;Batna;Batna;Batna;Batna;Batna;Batna;;Батна;;;X
PROV732;Djelfa;Djelfa;Djelfa;Djelfa;Djelfa;Djelfa;;Джельфа;;;X
PROV733;Geryville;Geryville;Geryville;Geryville;Geryville;Geryville;;Жеривиль;;;X
PROV734;Constantine;Constantine;Constantine;Constantine;Constantine;Constantine;;Константин;;;X
PROV735;Bona;Bona;Bona;Bona;Bona;Bona;;Бона;;;X
PROV736;Bougie;Bougie;Bougie;Bougie;Bougie;Bougie;;Бужи;;;X
PROV737;Touggourt;Touggourt;Touggourt;Touggourt;Touggourt;Touggourt;;Туггурт;;;X
PROV738;Tamanrasset;Tamanrasset;Tamanrasset;Tamanrasset;Tamanrasset;Tamanrasset;;Таманрассет;;;X
PROV739;Colomb Bechar;Colomb Bechar;Colomb Bechar;Colomb Bechar;Colomb Bechar;Colomb Bechar;;Коломб-Бехар;;;X
PROV740;Kasserine;Kasserine;Kasserine;Kasserine;Kasserine;Kasserine;;Кассерине;;;X
PROV741;Tataouine;Tataouine;Tataouine;Tataouine;Tataouine;Tataouine;;Татуин;;;X
PROV742;Medenine;Medenine;Medenine;Medenine;Medenine;Medenine;;Меденине;;;X
PROV743;Tebessa;Tebessa;Tebessa;Tebessa;Tebessa;Tebessa;;Тебесса;;;X
PROV744;Gabes;Gabes;Gabes;Gabes;Gabes;Gabes;;Габес;;;X
PROV745;Sousse;Sousse;Sousse;Sousse;Sousse;Sousse;;Сус;;;X
PROV746;El Kef;El Kef;El Kef;El Kef;El Kef;El Kef;;Эль-Кеф;;;X
PROV747;Tunis;Tunis;Tunis;Tunis;Tunis;Tunis;;Тунис;;;X
PROV748;Bizerte;Bizerte;Bizerte;Bizerte;Bizerte;Bizerte;;Бизерта;;;X
PROV749;Bajah;Bajah;Bajah;Bajah;Bajah;Bajah;;Бежа;;;X
PROV750;Tripoli;Tripoli;Tripoli;Tripoli;Tripoli;Tripoli;;Триполи;;;X
PROV751;Gharyan;Gharyan;Gharyan;Gharyan;Gharyan;Gharyan;;Гариан;;;X
PROV752;Az Zawiyah;Az Zawiyah;Az Zawiyah;Az Zawiyah;Az Zawiyah;Az Zawiyah;;Эз-Завия;;;X
PROV753;Ghadamis;Ghadamis;Ghadamis;Ghadamis;Ghadamis;Ghadamis;;Гадамис;;;X
PROV754;Maradah;Maradah;Maradah;Maradah;Maradah;Maradah;;Марадах;;;X
PROV755;Houn;Houn;Houn;Houn;Houn;Houn;;Хоун;;;X
PROV756;Surt;Surt;Surt;Surt;Surt;Surt;;Сирт;;;X
PROV757;Misratah;Misratah;Misratah;Misratah;Misratah;Misratah;;Мисурата;;;X
PROV758;Bu Nujaym;Bu Nujaym;Bu Nujaym;Bu Nujaym;Bu Nujaym;Bu Nujaym;;Абу-Нуджейм;;;X
PROV759;El Agheila;El Agheila;El Agheila;El Agheila;El Agheila;El Agheila;;Эль-Эгейла;;;X
PROV760;Masus;Masus;Masus;Masus;Masus;Masus;;Мсус;;;X
PROV761;Benghazi;Benghazi;Benghazi;Benghazi;Benghazi;Benghazi;;Бенгази;;;X
PROV762;Ajdabiya;Ajdabiya;Ajdabiya;Ajdabiya;Ajdabiya;Ajdabiya;;Аджедабия;;;X
PROV763;Qaminis;Qaminis;Qaminis;Qaminis;Qaminis;Qaminis;;Каминис;;;X
PROV764;Al Bayda;Al Bayda;Al Bayda;Al Bayda;Al Bayda;Al Bayda;;Аль-Байда;;;X
PROV765;Tobruk;Tobruk;Tobruk;Tobruk;Tobruk;Tobruk;;Тобрук;;;X
PROV766;El Mukhayla;El Mukhayla;El Mukhayla;El Mukhayla;El Mukhayla;El Mukhayla;;Аль-Мухайла;;;X
PROV767;Gazala;Gazala;Gazala;Gazala;Gazala;Gazala;;Эль-Газала;;;X
PROV768;Darnah;Darnah;Darnah;Darnah;Darnah;Darnah;;Дерна;;;X
PROV769;Bir Hakeim;Bir Hakeim;Bir Hakeim;Bir Hakeim;Bir Hakeim;Bir Hakeim;;Бир-Хакейм;;;X
PROV770;El Jaghbub;El Jaghbub;El Jaghbub;El Jaghbub;El Jaghbub;El Jaghbub;;Аль-Ягхбуб;;;X
PROV771;Al Bardi;Al Bardi;Al Bardi;Al Bardi;Al Bardi;Al Bardi;;Бардия;;;X
PROV772;Bir al Ghabi;Bir al Ghabi;Bir al Ghabi;Bir al Ghabi;Bir al Ghabi;Bir al Ghabi;;Бир-эль-Гоби;;;X
PROV773;Jalu;Jalu;Jalu;Jalu;Jalu;Jalu;;Джалу;;;X
PROV774;Al Jawf;Al Jawf;Al Jawf;Al Jawf;Al Jawf;Al Jawf;;Аль-Явф;;;X
PROV775;Wadi al Hamim;Wadi al Hamim;Wadi al Hamim;Wadi al Hamim;Wadi al Hamim;Wadi al Hamim;;Вади-эль-Хамим;;;X
PROV776;Sabhah;Sabhah;Sabhah;Sabhah;Sabhah;Sabhah;;Сабха;;;X
PROV777;Ayn Ath Thalab;Ayn Ath Thalab;Ayn Ath Thalab;Ayn Ath Thalab;Ayn Ath Thalab;Ayn Ath Thalab;;Эйн-Ат-Талаб;;;X
PROV778;Bir Fuad;Bir Fuad;Bir Fuad;Bir Fuad;Bir Fuad;Bir Fuad;;Бир Фуад;;;X
PROV779;Siwah;Siwah;Siwah;Siwah;Siwah;Siwah;;Сивах;;;X
PROV780;Sidi Barrani;Sidi Barrani;Sidi Barrani;Sidi Barrani;Sidi Barrani;Sidi Barrani;;Сиди-Баррани;;;X
PROV781;As Sollum;As Sollum;As Sollum;As Sollum;As Sollum;As Sollum;;Ас Соллум;;;X
PROV782;Bir Bayli;Bir Bayli;Bir Bayli;Bir Bayli;Bir Bayli;Bir Bayli;;Бир Бэйлих;;;X
PROV783;El Alamein;El Alamein;El Alamein;El Alamein;El Alamein;El Alamein;;Эль-Аламейн;;;X
PROV784;Fuqa;Fuqa;Fuqa;Fuqa;Fuqa;Fuqa;;Фука;;;X
PROV785;Matruh;Matruh;Matruh;Matruh;Matruh;Matruh;;Матрух;;;X
PROV786;Dimyat;Dimyat;Dimyat;Dimyat;Dimyat;Dimyat;;Димят;;;X
PROV787;Cairo;Cairo;Cairo;Cairo;Cairo;Cairo;;Каир;;;X
PROV788;Hakim;Hakim;Hakim;Hakim;Hakim;Hakim;;Гиза;;;X
PROV789;Alexandria;Alexandria;Alexandria;Alexandria;Alexandria;Alexandria;;Александрия;;;X
PROV790;Tanta;Tanta;Tanta;Tanta;Tanta;Tanta;;Танта;;;X
PROV791;Bur Sa'id;Bur Sa'id;Bur Sa'id;Bur Sa'id;Bur Sa'id;Bur Sa'id;;Порт-Саид;;;X
PROV792;El Fayyum;El Fayyum;El Fayyum;El Fayyum;El Fayyum;El Fayyum;;Эль-Файюм;;;X
PROV793;Minian;Minian;Minian;Minian;Minian;Minian;;Миньях;;;X
PROV794;Asyut;Asyut;Asyut;Asyut;Asyut;Asyut;;Асьют;;;X
PROV795;Aswan;Aswan;Aswan;Aswan;Aswan;Aswan;;Асуан;;;X
PROV796;El Ghardaqah;El Ghardaqah;El Ghardaqah;El Ghardaqah;El Ghardaqah;El Ghardaqah;;Эль-Гхардаках;;;X
PROV797;El Uqsur;El Uqsur;El Uqsur;El Uqsur;El Uqsur;El Uqsur;;Луксор;;;X
PROV798;El Kharga;El Kharga;El Kharga;El Kharga;El Kharga;El Kharga;;Эль-Харга;;;X
PROV799;Moghara;Moghara;Moghara;Moghara;Moghara;Moghara;;Могхара;;;X
PROV800;Bi'r Nahid;Bi'r Nahid;Bi'r Nahid;Bi'r Nahid;Bi'r Nahid;Bi'r Nahid;;Бир-Нахид;;;X
PROV801;El Farafra;El Farafra;El Farafra;El Farafra;El Farafra;El Farafra;;Эль-Фарафра;;;X
PROV802;Al Qasr;Al Qasr;Al Qasr;Al Qasr;Al Qasr;Al Qasr;;Эль-Каср;;;X
PROV803;Wadi Halfa;Wadi Halfa;Wadi Halfa;Wadi Halfa;Wadi Halfa;Wadi Halfa;;Вади-Халфа;;;X
PROV804;Dunqula;Dunqula;Dunqula;Dunqula;Dunqula;Dunqula;;Дункула;;;X
PROV805;Umm Durman;Umm Durman;Umm Durman;Umm Durman;Umm Durman;Umm Durman;;Омдурман;;;X
PROV806;El Ubayyid;El Ubayyid;El Ubayyid;El Ubayyid;El Ubayyid;El Ubayyid;;Эль-Обейд;;;X
PROV807;Juba;Juba;Juba;Juba;Juba;Juba;;Джуба;;;X
PROV808;Nyala;Nyala;Nyala;Nyala;Nyala;Nyala;;Найала;;;X
PROV809;Waw;Waw;Waw;Waw;Waw;Waw;;Вав;;;X
PROV810;Khartoum;Khartoum;Khartoum;Khartoum;Khartoum;Khartoum;;Хартум;;;X
PROV811;El Qadarif;El Qadarif;El Qadarif;El Qadarif;El Qadarif;El Qadarif;;Эль-Гедареф;;;X
PROV812;Malakal;Malakal;Malakal;Malakal;Malakal;Malakal;;Малакал;;;X
PROV813;Bur Sudan;Bur Sudan;Bur Sudan;Bur Sudan;Bur Sudan;Bur Sudan;;Порт-Судан;;;X
PROV814;Kassala;Kassala;Kassala;Kassala;Kassala;Kassala;;Кассала;;;X
PROV815;Massawa;Massawa;Massawa;Massawa;Massawa;Massawa;;Массава;;;X
PROV816;Assab;Assab;Assab;Assab;Assab;Assab;;Ассаб;;;X
PROV817;Asmaraa;Asmaraa;Asmaraa;Asmaraa;Asmaraa;Asmaraa;;Асмара;;;X
PROV818;Dire Dawa;Dire Dawa;Dire Dawa;Dire Dawa;Dire Dawa;Dire Dawa;;Дыре-Дауа;;;X
PROV819;Tendaho;Tendaho;Tendaho;Tendaho;Tendaho;Tendaho;;Тендахо;;;X
PROV820;Dessie;Dessie;Dessie;Dessie;Dessie;Dessie;;Десси;;;X
PROV821;Adigrat;Adigrat;Adigrat;Adigrat;Adigrat;Adigrat;;Адиграт;;;X
PROV822;Debre Marqos;Debre Marqos;Debre Marqos;Debre Marqos;Debre Marqos;Debre Marqos;;Дебре-Маркос;;;X
PROV823;Gonder;Gonder;Gonder;Gonder;Gonder;Gonder;;Гондэр;;;X
PROV824;Asosa;Asosa;Asosa;Asosa;Asosa;Asosa;;Асоса;;;X
PROV825;Addis Abeba;Addis Abeba;Addis Abeba;Addis Abeba;Addis Abeba;Addis Abeba;;Аддис Адеба;;;X
PROV826;Goba;Goba;Goba;Goba;Goba;Goba;;Гоба;;;X
PROV827;Gode;Gode;Gode;Gode;Gode;Gode;;Годе;;;X
PROV828;Harer;Harer;Harer;Harer;Harer;Harer;;Харер;;;X
PROV829;Jimma;Jimma;Jimma;Jimma;Jimma;Jimma;;Джимма;;;X
PROV830;Arba Minch;Arba Minch;Arba Minch;Arba Minch;Arba Minch;Arba Minch;;Арба Минч;;;X
PROV831;Awasa;Awasa;Awasa;Awasa;Awasa;Awasa;;Ауаса ;;;X
PROV832;Hargeysa;Hargeysa;Hargeysa;Hargeysa;Hargeysa;Hargeysa;;Харгейса;;;X
PROV833;Jibuti;Jibuti;Jibuti;Jibuti;Jibuti;Jibuti;;Джибути;;;X
