##;HEARTS OF IRON!;;;;;;;;;;X,
##;;;;;;;;;;;X,
##;;;;;;;;;;;X,
##### Open this document in Excel, version 5 or later.;;;;;;;;;;;X
##### To convert the semicolon-separated list to a normal Excel table, first click on the 'A' above to select the entire 'A' column.;;;;;;;;;;;X
##### Select 'Data' -> 'Text to Columns' -> 'Delimited' -> 'Next';;;;;;;;;;;X,
##### Check 'Semicolon' (ONLY!) -> 'Finish';;;;;;;;;;;X,
##### Select column 'A' through 'K' (click + drag on letters above columns);;;;;;;;;;;X,
##### Right-click anywhere on the sheet (inside the selection) and select 'Column width' and set it so that only THREE columns are visible ('45' with 1024 x 768 screen resolution);;;;;;;;;;;X,
##### Right-click anywhere on the sheet again (still inside the selection) and select 'Format Cells' -> 'Alignment' -> check 'Wrap Text' + select 'Vertical: Top' -> 'OK';;;;;;;;;;;X,
##### Place the cursor in cell C1 and select 'Window' -> 'Freeze Panes' (allows you to scroll horizontally to see any language in the rightmost coulmn while still having the string names/comments and the english original text in the left and middle column;;;;;;;;;;;X,
##### CAREFULLY read the instructions in cells B18 ? B36;;;;;;;;;;;X,
##;;;;;;;;;;;X,
##;;;;;;;;;;;X,
##;NOTES TO TRANSLATORS:;;;;;;;;;;X,
##;=====================;;;;;;;;;;X,
##;;;;;;;;;;;X,,,,,
##;1) '%s' is for indicating where another string is inserted, and MAY NEVER BE REMOVED! If there are more than one '%s' in a string, they may NOT CHANGE PLACES.;;;;;;;;;;X,,,
##;2) '%d' is for indicating where another integer value is inserted, and MAY NEVER BE REMOVED! If there are more than one '%d' in a string, they may not change places. ('%.1f' is used in exactly the same way but for non-integer values ?  '%c%d' is used for values that are displayed with a '+' or '-' sign in front, DO NOT CHANGE, ADD, OR REMOVE!);;;;;;;;;;X
##;3) '%t' is for indicating where the player's 'title' is inserted, however only in game message boxes.';;;;;;;;;;X,,,,
##;4) The characters '#' (hashmark), semicolon, '%' (percentage sign), '?' (paragraph sign), quotation marks and '\' (backslash) MAY NOT BE USED (except when used as control codes ? this will otherwise create serious problems!!! Quotation marks may not even be used in comments -- use a 'citation mark' (single) instead if necessary!);;;;;;;;;;X,
##;5) A dollar sign, '$' will always automatically be replaced by the 'ducats' icon.;;;;;;;;;;X,,,,
##;6) Any row with a '#' in the first column (column 'A') will be ignored. However, you cannot use any paragraph characters in these rows!!!;;;;;;;;;;X,,,,
##;7) To insert a carriage return, insert a '\n' (backslash + n);;;;;;;;;;X,,,,
##;8) No formatting can be done in this file. To change the color of a text, insert the following codes in front of the word:;;;;;;;;;;X,,,,
##;§W = white text;;;;;;;;;;X,,,,,
##;§Y = orange text;;;;;;;;;;X,,,,,
##;Note that the color change will be applied to all words after the code, until the end of the line that the word is printed on. If several words should have a color change, put the code in front of each of them to be on the safe side. If only one word should have a color change, make sure to reset the color after the word.;;;;;;;;;;X,,
##;9) Unless otherwise specifically stated, length of words and texts does not really matter THAT much (message boxes, rollover help boxes and buttons WILL stretch to fit the text string) ? however you will notice once the translation is inserted that space IS limited in quite a few areas? so be brief, and try not to use words that are considerably longer than the english original.;;;;;;;;;;X,,
##;10) ALL CELLS in column 'L' in this document MUST contain a character!;;;;;;;;;;X,,,,,
##;11) The LAST CELL in the 'A' column MUST contain the string '#EOF';;;;;;;;;;X,,,,,
##;12) If you want to begin a string with a ' (citation mark), you will need to type it twice (Excel will read the first one as a commentary which is not not exported into the actual text database file);;;;;;;;;;X,,,,
##;;;;;;;;;;;X,
##;WHEN DONE: save as 'Semicolon Separated (.csv)' format, and make sure the file is called 'Text.csv'.;;;;;;;;;;X
##;;;;;;;;;;;X,
##;NOTE: If Excel complains about an 'Error in formula' when the cell content begins with a '+' or '-' sign, type a ' (citation mark) in front of the plus or minus.;;;;;;;;;;X
##;;;;;;;;;;;X,
##;;;;;;;;;;;X,
#  STRING NAME (do not change!);English;French;Italian;Spanish;German;Polish;Portuguese;Russian;;Extra2;X,
#  ========================;==========;==========;==========;========;==========;==========;==========;==========;;==========;X,
UIW_DIGIN;This unit is dug in, defending better.  (Current bonus: %.f.);Cette unitй est retranchйe et se dйfend de maniиre bien plus efficace. Bonus actuel: %.f.);Questa unitа и trincerata, per cui si difende molto meglio (bonus attuale: %.f).;Esta unidad estб atrincherada, y se defiende mucho mejor.  (bonif. actual: %.f.).;Diese Einheit hat sich eingegraben, wodurch ihre Verteidigung viel effizienter wird. (Momentaner Bonus: %.f.);Te jednostki s№ okopane i broni№ siк efektywniej (obecny modyfikator: %.f).;;Эта часть окопалась, что дает ей преимущество в обороне (показатель защиты увеличивается на %.f).;;;X,,,,,,,,,,,,,,,,,,,,
UIW_LEADERBUTTON;(Click to replace commander.);(Cliquer pour remplacer le commandant.);(Clicca per sostituire il comandante).;(Haz clic para sust. oficial).;(Klicken Sie, um den Kommandeur zu ersetzen.);(Kliknij, aby dokonaж zmiany dowуdcy) ;;(Щелкните, чтобы сменить военачальника.);;;X,,,,,,,,,,,,,,,,,,,,,,
UNITLEDBY;Led by %s;Commandant: %s;Guidata da: %s;Mando: %s;Unter der Fьhrung von %s;Dowуdca: %s;;Военачальник: %s;;;X,,,,,,,,,,,,,,,,,,,,,,,,
UNITBASED;Based at %s;Stationnй а %s;Di base a: %s;Base en %s;Stationiert in %s;Baza: %s.;;Базируется в: %s;;;X,,,,,,,,,,,,,,,,,,,,,,,,
UNITRANGE;(%.f km);(%.f km);(%.f km);(%.f km);(%.f km);(%.f km);;(%.f км);;;x,,,,,,,,,,,,,,,,,,,,,,,,
UNITNOORDER;No Orders;Aucun ordre;Nessun ordine;Sin уrdenes;Keine Befehle;Brak rozkazуw;;Нет приказов;;;X,,,,,,,,,,,,,,,,,,,,,,,,
REORG_TO;Transfer to %s;Transfйrer а %s;Trasferimento a: %s;Reorganizar en %s;Zu %s hinzufьgen;Przenieњ do %s;;Переместить в: %s;;;X,,,,,,,,,,,,,,,,,,,,,,,,
UIW_REORG;Create a new unit and move divisions/flotillas/squadrons to it.;Crйer une nouvelle unitй, lui attribuer des divisions/flottilles/escadrons.;Crea una nuova unitа e sposta dentro di essa divisioni, flotte e squadroni.;Crea una nueva unidad y traslada divisiones/flotillas/escuadrillas a ella.;Fьgen Sie ihre Einheiten zu einer neuen Formation zusammen.;Stwуrz now№ jednostkк i przyі№cz do niej dywizje/flotylle/eskadry.;;Создать новую часть и переподчинить ей дивизии/флотилии/эскадрильи.;;;X,,,,,,,,,,,,,,,,,,,,,,
UIW_REORG_DIS;You need to have at least two divisions, flotillas or squadrons to create a new unit out of this one.;Votre unitй doit comporter au moins deux divisions, flottilles ou escadrons pour permettre de crйer une nouvelle unitй а partir de celle-ci.;Per creare una nuova unitа a partire da questa devi possedere almeno due divisioni, flotte o squadroni.;Necesitas al menos dos divisiones, flotillas o escuadrillas para crear una nueva unidad a partir de йsta.;Um diese Einheit in zwei Einheiten aufzuteilen, benцtigen Sie mindestens zwei Divisionen, Flottillen oder Geschwader.;Do stworzenia jednostki wymagane s№ co najmniej dwie dywizje, flotylle lub eskadry.;;Для создания новой части вам необходимы по крайней мере две дивизии/флотилии/эскадрильи.;;;X,,,,,,,,,,,,,,,,,
UIW_REORG_DESC;To create a new unit from the divisions, flotillas or squadrons in the currently selected unit, add the required sub-units to the left side of the reorganisation screen by clicking on the '+' button. Unless at least one division, flotilla or squadron is moved from the old unit, a new unit will not be created.;Pour crйer une nouvelle unitй а partir des divisions, flottilles ou escadrons de l’unitй actuellement sйlectionnйe, faites passer des йlйments de l'unitй а droite de l’йcran de rйorganisation en cliquant sur le bouton ‘‘+’’. Une nouvelle unitй ne peut кtre crййe que par transfert d’une division, d’une flottille ou d’un escadron de l’ancienne unitй.;Per creare una nuova unitа utilizzando le divisioni, le flotte o gli squadroni presenti in quella attualmente selezionata, aggiungi le sotto-unitа necessarie nella parte sinistra della schermata di riorganizzazione (cliccando sul pulsante +).;Para crear una nueva unidad a partir de divisiones, flotillas o escuadrillas de la que estй seleccionada, agrega las subunidades necesarias al lado izquierdo de la pantalla de reorganizaciуn haciendo clic en el botуn de '+'. Si, como mнnimo, una divisiуn, flotilla o escuadrilla no se traslada desde la antigua unidad, no se crearб la nueva.;Gehen Sie folgendermaЯen vor, um aus Divisionen, Flottillen oder Geschwader der ausgewдhlten Einheit neue Einheiten zu formen: Fьgen Sie mit der Schaltflдche '+' die benцtigten Untereinheiten der linken Seite des Umgruppierungsbildschirms an. Sofern nicht mindestens eine Division, Flotillie oder Staffel von der alten Einheit bewegt wird, kann keine neue Einheit erstellt werden.;W celu utworzenia nowej jednostki z dywizji, eskadr lub flotylli znajduj№cych siк w wybranych jednostkach, dodaj te formacje do lewej strony ekranu, naciskaj№c przycisk '+'. Jeїeli їadna dywizja, eskadra lub flotylla nie zostanie przeniesiona ze starej jednostki, nie zostanie utworzona nowa.;;Для создания новой части из дивизий/флотилий/эскадр выбранной вами части добавьте необходимые подразделения на левую сторону окна реорганизации нажатием клавиши '+'. Новая часть будет создана тогда, когда хотя бы одна дивизия/флотилия/эскадра будет переведена из старой части.;;;X
UIW_SUPPLY;This unit is in supply.;Cette unitй est approvisionnйe.;Questa unitа и rifornita.;Unidad abastecida.;Diese Einheit ist versorgt.;Ta jednostka otrzymuje zaopatrzenie.;;Эта часть получает необходимое снабжение.;;;X,,,,,,,,,,,,,,,,,,,,,,,,
UIW_OUTOFSUPPLY;This unit is not currently in supply.;Cette unitй n’est actuellement pas approvisionnйe.;Quest’unitа и attualmente a corto di rifornimenti.;Esta unidad estб desabastecida actualmente.;Diese Einheit wird nicht versorgt.;Te jednostka nie otrzymuje zaopatrzenia.;;Эта часть не получает снабжения.;;;x,,,,,,,,,,,
UIW_SUPPLY_DESC;A unit is in supply when it can trace an uninterrupted path through provinces under their nation's control to a source of supplies: a capital or depot.;Une unitй est approvisionnйe lorsqu’elle peut, а partir d’un convoi ou d’une province nationale, se frayer un chemin ininterrompu а travers les provinces qu’elle contrфle jusqu’а une source d’approvisionnement.;Un'unitа и rifornita quando и possibile tracciare un percorso ininterrotto, attraverso le province controllate dalla sua nazione, fino a una fonte di rifornimento (un convoglio, una provincia natale, ecc.).;Una unidad estб abastecida cuando puede trazar una lнnea continua por provincias bajo el control de su naciуn hasta una fuente de suministros (un convoy o una provincia patria).;Eine Einheit wird versorgt, wenn sie einen ununterbrochenen Weg durch von Provinzen unter der Kontrolle ihrer Nation zu einer Versorgungsquelle vorweisen kann, z. B. zu einem Konvoi oder einer Heimatprovinz.;Jednostka otrzymuje zaopatrzenie, jeїeli istnieje do niej ci№gіa trasa biegn№ca przez wіasne prowincje od џrуdіa zaopatrzenia (stolicy, magazynu) do jednostki.;;Часть получает снабжение, когда от нее можно провести непрерывную линию через контролируемые провинции к источнику снабжения, т.е. к столице или складу ресурсов.;;;X,
UIW_HQ;This unit has an HQ.;Cette unitй a un QG.;Questa unitа costituisce un QG.;Unidad con EM.;Diese Einheit hat ein Hauptquartier.;Ta jednostka posiada dywizjк dowodzenia.;;При этой части есть штаб.;;;X,,,,,,,,,,,
UIW_HQ_DESC;An HQ improves the supply efficiency, command limit and combat effectiveness of units in adjacent provinces.;Les unitйs possйdant un QG amйliorent l’efficacitй de l’approvisionnement, les limites de commandement et les chances, pour les unitйs, d’avoir des consйquences de combat positives dans des provinces voisines.;Le unitа con una divisione QG vede migliorata la propria efficienza rifornimenti, la propria estensione di reparti d’assalto e le probabilitа di successo in combattimento delle unitа nelle province adiacenti.;Las unidades con una divisiуn de estado mayor (EM) mejoran la eficacia del suministro, el lнmite al mando y la posibilidad de efectos positivos de combate en las provincias adyacentes.;Einheiten mit einer Division im Hauptquartier verbessern die Versorgungseffizienz, das Kommandolimit und die Aussicht auf positive Kampfeffekte von Einheiten in benachbarten Provinzen.;Jeњli w promieniu jednej prowincji od jednostki stacjonuje dywizja dowodzenia, jednostka ta ma wiкksz№ wydajnoњж zaopatrzenia, limit dywizji oraz wyїsz№ szansк na udane dziaіania bojowe.;;Штаб при части повышает эффективность ее снабжения, число дивизий, которыми может эффективно командовать военачальник, а также улучшает боевые характеристики частей в соседних провинциях.;;;x,,
UIW_HQ_INACTIVE;This HQ is inactive due to the low rank of the Commander.;Ce QG est inactif en raison du faible grade du Commandant.;Questo QG и inattivo a causa del basso grado del comandante.;Este EM estб inactivo debido al poco rango del oficial al mando.;Dieses Hauptquartier ist ob des niedrigen Rangs des Kommandanten inaktiv. ;Ta dywizja dowodzenia jest nieaktywna z powodu zbyt niskiego stopnia jej dowуdcy.;;Штаб не может работать из-за низкого звания военачальника.;;;x,,,,,,,,,,,
UIW_TSTRENGTH;The total of strength of all parts of this unit.;La force totale des composantes de cette unitй.;La somma della forza di tutte le parti di questa unitа.;Total de fuerza de los integrantes de esta unidad.;Die Gesamtstдrke aller Truppenteile dieser Einheit.;Caіkowita siіa wszystkich wojsk w jednostce.;;Общая боеспособность всех подразделений этой части.;;;X,,,,,,,,,,,
UIW_TSTRENGTH_DESC;This figure represents the combined strength of all the divisions, flotillas or squadrons in the currently selected unit. It is the sum of the individual strength figures.;Ce chiffre reprйsente la force combinйe des divisions, flottilles ou escadrons appartenant а l’unitй sйlectionnйe. Cela correspond а la somme des puissances individuelles qui apparaissent dans les statistiques de l’icone de la division, de la flottille ou de l’escadron.;Questa figura rappresenta la forza combinata di tutte le divisioni, flotte o squadroni presenti nell'unitа selezionata. Si tratta del totale di tutte le forze individuali, che sono visualizzate nelle statistiche delle icone delle parti dell'unitа.;Esta cifra representa la fuerza combinada de todas las divisiones, flotillas o escuadrillas de la unidad seleccionada. Suma de las cifras de fuerza individuales que pueden verse en las estadнsticas del icono de la divisiуn, flotilla o escuadrilla.;Dieser Wert steht fьr die kombinierte Stдrke aller Divisionen, Flottillen oder Geschwader in der momentan ausgewдhlten Einheit. Er ist ein Gesamtwert der einzelnen Stдrkewerte, die in den Statistiken der Divisions-, Flottillen- oder Staffelsymbole eingesehen werden kцnnen.;Ta wartoњж reprezentuje caіkowit№ siік dywizji, flotylli i eskadr znajduj№cych siк w jednostce. Jest to zsumowana siіa pojedynczych formacji.;;Это число выражает общую боеспособность всех дивизий, флотилий или эскадрилий в данной части, т.е. суммирует показатели отдельных подразделений.;;;X
UIW_STRENGTH;Strength;Force;Forza;Fuerza;Stдrke;Siіa;;Боеспособность;;;X,,,,,,,,,,,
UIW_ORG;Organisation;Organisation;Organizzazione;Organizaciуn;Organisation;Zorganizowanie;;Организация;;;X,,,,,,,,,,,
UIW_HARDATTACK;Hard Attack;Attaque cibles dures;Attacco pesante;Ataque anticarro;Hard Attack;Atak przeciw sile pancernej;;Противотанковая атака;;;X,,,,,,,,,,,
UIW_SOFTATTACK;Soft Attack;Attaque cibles vivantes;Attacco leggero;Ataque antipersonal;Soft Attack;Atak przeciw sile їywej;;Противопехотная атака;;;X,,,,,,,,,,,
UIW_AIRATTACK;Air Attack;Attaque aйrienne;Attacco aereo;Ataque aйreo;Luftangriff;Atak powietrzny;;Противовоздушная атака;;;X,,,,,,,,,,,
UIW_DEFENCE;Defence;Dйfense;Difesa;Defensa;Verteidigung;Obrona;;Защита;;;X,,,,,,,,,,,
UIW_AIRDEFENCE;Air Defence;Dйfense aйrienne;Difesa aerea;Defensa aйrea;Luftverteidigung;Obrona przeciwlotnicza;;Противовоздушная защита;;;X,,,,,,,,,,,
UIW_SEAATTACK;Sea Attack;Attaque navale;Attacco navale;Ataque naval;Seeangriff;Atak morski;;Морская атака;;;X,,,,,,,,,,,
UIW_SEADEFENCE;Sea Defence;Dйfense navale;Difesa navale;Defensa naval;Seeverteidigung;Obrona morska;;Морская защита;;;X,,,,,,,,,,,
UIW_NAVALATTACK;Naval Bombing;Bombardement naval;Bomb. navale;Bombardeo naval;Marinebombardierung;Bombardowanie morskie;;Морская бомбардировка;;;X,,,,,,,,,,
UIW_STRATATTACK;Strategic Bombing;Bombardement stratйgique;Bomb. strategico;Bombardeo estratйgico;Strat. Bombardierung;Bombardowanie strategiczne;;Стратегическая бомбардировка;;;X,,,,,,,,,,
UIW_SURFACEDEFENCE;Surface Defence;Dйfense de surface:;Difesa della superficie;Defensa superficie;Bodenverteidigung;Odpornoњж na ostrzaі z ziemi;;Защита от ПВО;;;X,,,,,,,,,,
UIW_STRENGTH_DESC;This is the proportion of men and vehicles that are still in fighting shape.;Cette valeur reprйsente le nombre d’hommes et de vйhicules qui sont toujours en mesure de combattre.;Quanti uomini e veicoli si trovano ancora in formazione da combattimento.;Esto indica cuбntos hombres y vehнculos estбn operativos.;Dies ist die Anzahl der noch kampffдhigen Soldaten und Fahrzeuge.;Iloњж ludzi i pojazdуw zdolnych do walki;;Число боеспособных солдат и техники.;;;X,,,,,,,,,,
UIW_ORG_DESC;This value represents the organization and morale of the men in the unit.;Cette valeur reprйsente le niveau d'organisation et de moral des troupes sйlectionnйes.;L'organizzazione e il morale complessivi degli uomini nell'unitа.;Esto representa la organizaciуn y la moral en general de los hombres de esta unidad.;Dieser Wert reprдsentiert die insgesamte Organisation und Moral der Soldaten in der Einheit.;Wyszkolenie i morale їoіnierzy;;Организация и боевой дух солдат этой части.;;;X,,,,,,,,,,
UIW_HARDATTACK_DESC;The number of attacks this unit has against hard, armored targets.;Cette valeur reprйsente la puissance d’attaque de cette unitй contre les cibles dures, c’est-а-dire contre les divisions mйcanisйes ou blindйes.;Il numero di attacchi che quest'unitа puт sferrare contro bersagli pesanti (unitа meccanizzate, divisioni corazzate, ecc.).;Cantidad de ataques que la unidad efectъa contra objetivos 'duros' (divs. acorazadas y mecanizadas).;Die Anzahl von Angriffen, die dieser Einheit gegen gepanzerte Ziele zur Verfьgung stehen, z.B. mechanisierte Divisionen und Panzerdivisionen.;Iloњж atakуw przeciw celom pancernym i zmechanizowanym.;;Число атак в бою с механизированными и танковыми дивизиями.;;;X,,,,
UIW_SOFTATTACK_DESC;The number of attacks this unit has against soft, non-armored targets.;Cette valeur reprйsente la puissance d’attaque de cette unitй contre les cibles vivantes, c’est-а-dire contre toute sorte de force terrestre, exception faite des cibles blindйes ou mйcanisйes.;Il numero di attacchi che quest'unitа puт sferrare contro bersagli leggeri (tutte le unitа terrestri, tranne quelle meccanizzate e corazzate).;Cantidad de ataques que la unidad efectъa contra objetivos 'blandos' (cualquier unidad terrestre, excepto acorazadas y mecanizadas).;Die Anzahl von Angriffen, die dieser Einheit gegen 'weiche' Ziele zur Verfьgung stehen, also alle Landtruppen auЯer mechanisierten Einheiten und Panzereinheiten.;Iloњж atakуw przeciw celom nie opancerzonym.;;Число атак в бою с пехотными подразделениями (применяется в бою со всеми сухопутными частями, кроме механизированных и танковых дивизий).;;;X,,,
UIW_AIRATTACK_DESC;The number of attacks this unit has against targets in the air.;Cette valeur reprйsente la puissance d'attaque de cette unitй contre les cibles aйriennes.;Il numero di attacchi che quest'unitа puт sferrare contro bersagli aerei.;Cantidad de ataques que la unidad efectъa contra objetivos en el aire.;Die Anzahl von Angriffen, die dieser Einheit gegen Luftziele zur Verfьgung stehen.;Iloњж atakуw przeciw samolotom.;;Показатель противовоздушной атаки части.;;;X,,,,,,,,,
UIW_DEFENCE_DESC;The defence against attacks from other land units. Each defence point gives a 10 percent chance of successfully defending against an attack.;Dйfense contre les attaques lancйes par des unitйs terrestres ennemies. Chaque point vous donne 10 pour cent de chance de rйsister а une attaque.;La difesa contro altre unitа terrestri. Ogni valore fornisce il 10 per cento di probabilitа di difendersi con successo.;Defensa contra ataques de otras unidades terrestres. Cada valor otorga un 10 por ciento de defenderse con йxito de un ataque.;Die Verteidigung gegen Angriffe anderer Luftwaffeneinheiten. Jeder Punkt steht fьr eine zehnprozentige Wahrscheinlichkeit, sich erfolgreich gegen einen Angriff zu wehren.;Obrona przeciw atakom l№dowym. Kaїdy punkt daje jednostce 10% szansy na obronк.;;Защита от атак сухопутных частей. Каждое значение дает 10-процентный шанс на успешную защиту.;;;X,,,,,,,,,
UIW_AIRDEFENCE_DESC;The defence against attacks from air units. Each defence point gives a 10 percent chance of successfully defending against an attack.;Dйfense contre les attaques lancйes par des unitйs aйriennes. Chaque point vous donne 10 pour cent de chance de rйsister а une attaque.;La difesa contro le unitа aeree. Ogni valore fornisce il 10 per cento di probabilitа di difendersi con successo.;Defensa contra ataques de unidades aйreas. Cada valor otorga un 10 por ciento de defenderse con йxito de un ataque.;Die Verteidigung gegen Angriffe von Luftwaffeneinheiten. Jeder Punkt steht fьr eine zehnprozentige Wahrscheinlichkeit, sich erfolgreich gegen einen Angriff zu wehren.;Obrona przeciw atakom lotniczym. Kaїdy punkt daje jednostce 10% szansy na obronк.;;Защита от атак с воздуха. Каждое значение дает 10-процентный шанс успешной защиты.;;;X,,,,,,,,,
UIW_SEAATTACK_DESC;This is the offensive capabilities of a unit towards other ships.;Cette valeur reprйsente les capacitйs offensives d’une unitй face а des navires ennemis.;La capacitа offensive di un'unitа contro altre navi.;Es la capacidad ofensiva de una unidad contra otros barcos.;Dies ist die Angriffsfдhigkeit einer Einheit gegen Schiffe.;Siіa ataku przeciw okrкtom.;;Способность части атаковать корабли.;;;X,,,,,,,,,,
UIW_SEADEFENCE_DESC;This is the ability of a unit to withstand attacks from other ships.;Cette valeur reprйsente la capacitй d’une unitй а rйsister aux attaques de navires ennemis.;L'abilitа di un'unitа di resistere agli attacchi di altre navi.;Es la capacidad de una unidad para aguantar ataques de otros barcos.;Dies ist die Fдhigkeit einer Einheit, den Angriffen anderer Schiffe zu widerstehen.;Odpornoњж na atak okrкtуw.;;Способность части отражать атаки других кораблей.;;;X,,,,,,,,,
UIW_NAVALATTACK_DESC;The ability to damage and sink ships;Cette valeur reprйsente la capacitй de l'unitй а endommager, voire а couler les bвtiments ennemis.;L'abilitа di danneggiare e affondare le navi.;Capacidad para daсar y hundir barcos.;Die Fдhigkeit, Schiffe zu beschдdigen und zu versenken;Zdolnoњж uszkodzenia i zatopienia okrкtu.;;Способность части повреждать и топить корабли.;;;X,,,,,,,,
UIW_TACTICALATTACK_DESC;The ability to destroy enemy tanks, vehicles and forts, and to disorganize enemy armies.;Cette valeur reprйsente la capacitй d'une unitй а dйsorganiser et а endommager les blindйs, les vйhicules et les fortifications de l'ennemi.;L'abilitа di distruggere i carri armati, i veicoli, i fortini dei nemici e di disorganizzarne gli eserciti.;Capacidad para destruir tanques, vehнculos y fortificaciones del enemigo y desorganizar sus ejйrcitos.;Die Fдhigkeit, feindliche Panzer, Fahrzeuge und Befestigungenen zu zerstцren sowie feindliche Armeen zu desorganisieren.;Zdolnoњж niszczenia wrogich czoіgуw, pojazdуw, fortуw i dezorganizowania obcych armii.;;Способность части уничтожать танки, транспортные средства, укрепления и нарушать организацию войск противника.;;;X
UIW_STRATATTACK_DESC;The ability of an air division to damage enemy industries, cities and port facilities.;Cette valeur reprйsente la capacitй d'une unitй а endommager les industries et les infrastructures ennemies lors d'un bombardement.;L'abilitа di un'unitа aerea di danneggiare le industrie, le cittа e le installazioni portuali dei nemici.;Capacidad de la divisiуn del aire para daсar industrias, ciudades y puertos del enemigo.;Die Fдhigkeit einer Fliegerdivision, feindliche Industrie, Stдdte und Hafeneinrichtungen zu beschдdigen.;Zdolnoњж niszczenia wrogich portуw, miast i przemysіu.;;Способность авиачасти разрушать промышленные предприятия, города и порты.;;;X,,,,
UIW_SURFACEDEFENCE_DESC;The defence ability against AA fire.;Cette valeur reprйsente la capacitй d’un escadron а rйsister au feu des batteries de DCA.;L'abilitа di difendersi dal fuoco della contraerea.;Capacidad de defensa contra fuego AA.;Die Verteidigungsfдhigkeit gegen AA-Feuer.;Wytrzymaіoњж na ogieс przeciwlotniczy z powierzchni ziemi.;;Способность части выдерживать огонь ПВО.;;;X,,,,,,,,,,
##;;;;;;;;;;;X,,,,,,,
UIW_REDEPLOY;Strategically Re-deploy Unit;Redйploiement stratйgique de l’unitй;Rischiera l’unitа in modo strategico;Traslado estratйgico de la unidad;Strategisch neu gruppierte Einheit;Dokonaj dyslokacji strategicznej;;Стратегическое перемещение частей;;;X,,,,,,,
UIW_RD_DRO;This will transport the unit to its destination through our railway system. It will disappear from the map while in transit and reappear at its destination after an amount of time depending on the distance and our Transport Capacity.;Ceci emportera l’unitй vers sa destination, par le biais du systиme ferroviaire. Pendant le transit, elle disparaоt de la carte, puis rйapparaоt au bout d’un certain temps sur son lieu de destination, en fonction de la distance et de notre Capacitй de transport.;Questo convoglio trasporterа l’unitа su rotaia fino a destinazione. Scomparirа dalla mappa durante il transito e riapparirа a destinazione dopo un periodo di tempo che dipende dalla distanza e dalla nostra Capacitа di trasporto.;Esto transportarб la unidad a su destino por el sistema ferroviario. Desaparecerб del mapa mientras estй en trбnsito y reaparecerб en su destino tras una cantidad de tiempo que depende de la distancia y tu capacidad de transporte.;Damit wird die Einheit ьber unser Schienennetz zum Ziel gebracht. Sie verschwindet wдhrend des Transports von der Karte und wird je nach Entfernung und unserer TK wieder erscheinen, wenn sie am Ziel angekommen ist.;Spowoduje to przetransportowanie kolej№ jednostki do nowego miejsca stacjonowania. Jednostka zniknie z mapy na czas transportu, a nastкpnie pojawi siк w punkcie docelowym, po czasie zaleїnym od zdolnoњci transportowej.;;Здесь можно отправить часть по железной дороге. Она исчезнет с карты на время пути, а затем появится в пункте назначения. Время пути зависит от расстояния и пропускной способности.;;;X
UIW_RD_IRO0;@doomdark?;@doomdark?;@doomdark?;@doomdark?;Verhдngsivolle Finsternis?;@doomdark?;;@doomdark?;;;X,,,,,,,
UIW_RD_IRO1;@doomdark?;@doomdark?;@doomdark?;@doomdark?;Verhдngsivolle Finsternis?;@doomdark?;;@doomdark?;;;X,,,,,,,
UIW_RD_IRO2;You can only strategically re-deploy a unit to your own territory.;Une unitй ne peut кtre stratйgiquement redйployйe que sur votre propre territoire.;Puoi rischierare strategicamente un'unitа solo nel tuo territorio.;Sуlo puedes trasladar estratйgicamente una unidad de tu propio territorio.;Sie kцnnen Einheiten nur auf Ihrem eigenen Territorium strategisch umgruppieren.;Dyslokacji strategicznej dokonaж moїesz tylko na wіasne terytorium.;;Стратегическое перемещение частей возможно только на своей территории.;;;x,,,,,,,
##;;;;;;;;;;;X,,,,,,,
DIVISION_UPGRADE;Upgrade to Latest Model;Mettre а niveau;Potenzia all'ultimo modello;Moderniz. ъltimo modelo;Auf neuestes Modell aufrьsten;Zmodernizuj do najnowoczeњniejszego modelu;;Переоснастить новейшей техникой;;;X,,,,,,,
DIVISION_REINFORCE;Reinforce to Maximum Strength;Renforcer l'unitй;Rinforza al massimo;Reforzar al mбximo;Auf Maximalstдrke bringen;Dokonaj uzupeіnieс do maksymalnej siіy;;Пополнить до максимума;;;X,,,,,,,
DIVISION_CONVOY;Send on Convoy Duty;Envoyer en convoi;Invia tramite convoglio;Enviar serv. convoy;Auf Konvoimission schicken;Wyњlij do zadaс konwojowych;;Поручить охрану конвоев;;;X,,,,,,,
DIVISION_REPAIR;Repair Ship(s);Rйparer navire(s);Ripara una o piщ navi;Reparar barco(s);Schiff(e) reparieren;Napraw statek(i);;Отремонтировать корабли;;;X,,,,,,,
DIVISION_DISBAND;Disband;Dйmobiliser;Smantella;Disolver;Auflцsen;Rozwi№ї;;Расформировать;;;x,,,,,,,
##;;;;;;;;;;;x,,,,,,,
