#;;;;;;;;;;;X
##;;;;;;;;;;;X
##;;;;;;;;;;;X
##### Open this document in Excel, version 5 or later.;;;;;;;;;;;X
##### To convert the semicolon-separated list to a normal Excel table, first click on the 'A' above to select the entire 'A' column.;;;;;;;;;;;X
##### Select 'Data' -> 'Text to Columns' -> 'Delimited' -> 'Next';;;;;;;;;;;X
##### Check 'Semicolon' (ONLY!) -> 'Finish';;;;;;;;;;;X
##### Select column 'A' through 'K' (click + drag on letters above columns);;;;;;;;;;;X
##### Right-click anywhere on the sheet (inside the selection) and select 'Column width' and set it so that only THREE columns are visible ('45' with 1024 x 768 screen resolution);;;;;;;;;;;X
##### Right-click anywhere on the sheet again (still inside the selection) and select 'Format Cells' -> 'Alignment' -> check 'Wrap Text' + select 'Vertical: Top' -> 'OK';;;;;;;;;;;X
##### Place the cursor in cell C1 and select 'Window' -> 'Freeze Panes' (allows you to scroll horizontally to see any language in the rightmost coulmn while still having the string names/comments and the english original text in the left and middle column;;;;;;;;;;;X
##### CAREFULLY read the instructions in cells B18 ? B36;;;;;;;;;;;X
##;;;;;;;;;;;X
##;;;;;;;;;;;X
##;NOTES TO TRANSLATORS:;;;;;;;;;;X
##;=====================;;;;;;;;;;X
##;;;;;;;;;;;X
##;1) '%s' is for indicating where another string is inserted, and MAY NEVER BE REMOVED! If there are more than one '%s' in a string, they may NOT CHANGE PLACES.;;;;;;;;;;X
##;###############################################################################################################################################################################################################################################################;;;;;;;;;;X
##;3) '%t' is for indicating where the player's 'title' is inserted, however only in game message boxes.';;;;;;;;;;X
##;###############################################################################################################################################################################################################################################################;;;;;;;;;;X
##;5) A dollar sign, '$' will always automatically be replaced by the 'ducats' icon.;;;;;;;;;;X
##;6) Any row with a '#' in the first column (column 'A') will be ignored. However, you cannot use any paragraph characters in these rows!!!;;;;;;;;;;X
##;7) To insert a carriage return, insert a '\n' (backslash + n);;;;;;;;;;X
##;8) No formatting can be done in this file. To change the color of a text, insert the following codes in front of the word:;;;;;;;;;;X
##;§W = white text;;;;;;;;;;X
##;§Y = orange text;;;;;;;;;;X
##;###############################################################################################################################################################################################################################################################;;;;;;;;;;X
##;###############################################################################################################################################################################################################################################################;;;;;;;;;;X
##;10) ALL CELLS in column 'L' in this document MUST contain a character!;;;;;;;;;;X
##;11) The LAST CELL in the 'A' column MUST contain the string '#EOF';;;;;;;;;;X
##;12) If you want to begin a string with a ' (citation mark), you will need to type it twice (Excel will read the first one as a commentary which is not  exported into the actual text database file);;;;;;;;;;X
##;;;;;;;;;;;X
##;WHEN DONE: save as 'Semicolon Separated (.csv)' format, and make sure the file is called 'Text.csv'.;;;;;;;;;;X
##;;;;;;;;;;;X
##;NOTE: If Excel complains about an 'Error in formula' when the cell content begins with a '+' or '-' sign, type a ' (citation mark) in front of the plus or minus.;;;;;;;;;;X
##;;;;;;;;;;;X
##;;;;;;;;;;;X
#  STRING NAME (do not change!);English;French;Italian;Spanish;German;Polish;Portuguese;Russian;;Extra2;X
#  ========================;==========;==========;==========;========;==========;==========;==========;==========;;==========;X
#LANGUAGE;English;French;Italian;Spanish;German;Polish;Portuguese;Russian;;Extra2;X
##;;;;;;;;;;;X
ALLIANCE_ENTENTE1948;Euroasia;Euroasia;Euroasia;Euroasia;Euroasia;Euroasia;Euroasia;Euroasia;;;X
NPERSONALITY_LIBERAL_TSAR;Liberal Tsar;Liberal Tsar;Liberal Tsar;Liberal Tsar;Liberal Tsar;Liberal Tsar;Liberal Tsar;Либеральный Царь;;;X
DPERSONALITY_LIBERAL_TSAR;Member of the post-revolutionary generation of the Romanovs, Vladimir has a completely new outlook on the constitutionalism than his father. A tactful and temperate person, he understands that Russia may not survive yet another revolution - and is willing to cooperate with all forces aiming for the well-being of the country.;Member of the post-revolutionary generation of the Romanovs, Vladimir has a completely new outlook on the constitutionalism than his father. A tactful and temperate person, he understands that Russia may not survive yet another revolution - and is willing to cooperate with all forces aiming for the well-being of the country.;Member of the post-revolutionary generation of the Romanovs, Vladimir has a completely new outlook on the constitutionalism than his father. A tactful and temperate person, he understands that Russia may not survive yet another revolution - and is willing to cooperate with all forces aiming for the well-being of the country.;Member of the post-revolutionary generation of the Romanovs, Vladimir has a completely new outlook on the constitutionalism than his father. A tactful and temperate person, he understands that Russia may not survive yet another revolution - and is willing to cooperate with all forces aiming for the well-being of the country.;Member of the post-revolutionary generation of the Romanovs, Vladimir has a completely new outlook on the constitutionalism than his father. A tactful and temperate person, he understands that Russia may not survive yet another revolution - and is willing to cooperate with all forces aiming for the well-being of the country.;Member of the post-revolutionary generation of the Romanovs, Vladimir has a completely new outlook on the constitutionalism than his father. A tactful and temperate person, he understands that Russia may not survive yet another revolution - and is willing to cooperate with all forces aiming for the well-being of the country.;Member of the post-revolutionary generation of the Romanovs, Vladimir has a completely new outlook on the constitutionalism than his father. A tactful and temperate person, he understands that Russia may not survive yet another revolution - and is willing to cooperate with all forces aiming for the well-being of the country.;Member of the post-revolutionary generation of the Romanovs, Vladimir has a completely new outlook on the constitutionalism than his father. A tactful and temperate person, he understands that Russia may not survive yet another revolution - and is willing to cooperate with all forces aiming for the well-being of the country.;;;X
NPERSONALITY_BLACK_TSAR;The Black Tsar;The Black Tsar;The Black Tsar;The Black Tsar;The Black Tsar;The Black Tsar;The Black Tsar;Черный Царь;;;X
DPERSONALITY_BLACK_TSAR;Wrangel's outlook on autocracy in Russia is simple - only with a strong rule one can protect the Empire from foes within and without. Ruthless against his enemies, Wrangel is loved by reactionaries and hated by both liberals and socialists. In international relations some perceive him as a strong man for difficult times - while others fear that one day he may become the new Gendarme of Europe.;Wrangel's outlook on autocracy in Russia is simple - only with a strong rule one can protect the Empire from foes within and without. Ruthless against his enemies, Wrangel is loved by reactionists and hated by both liberals and socialists. In international relations some percieve him as a strong man for difficult times - while others fear that one day he may become the new Gendarme of Europe.;Wrangel's outlook on autocracy in Russia is simple - only with a strong rule one can protect the Empire from foes within and without. Ruthless against his enemies, Wrangel is loved by reactionists and hated by both liberals and socialists. In international relations some percieve him as a strong man for difficult times - while others fear that one day he may become the new Gendarme of Europe.;Wrangel's outlook on autocracy in Russia is simple - only with a strong rule one can protect the Empire from foes within and without. Ruthless against his enemies, Wrangel is loved by reactionists and hated by both liberals and socialists. In international relations some percieve him as a strong man for difficult times - while others fear that one day he may become the new Gendarme of Europe.;Wrangel's outlook on autocracy in Russia is simple - only with a strong rule one can protect the Empire from foes within and without. Ruthless against his enemies, Wrangel is loved by reactionists and hated by both liberals and socialists. In international relations some percieve him as a strong man for difficult times - while others fear that one day he may become the new Gendarme of Europe.;Wrangel's outlook on autocracy in Russia is simple - only with a strong rule one can protect the Empire from foes within and without. Ruthless against his enemies, Wrangel is loved by reactionists and hated by both liberals and socialists. In international relations some percieve him as a strong man for difficult times - while others fear that one day he may become the new Gendarme of Europe.;Wrangel's outlook on autocracy in Russia is simple - only with a strong rule one can protect the Empire from foes within and without. Ruthless against his enemies, Wrangel is loved by reactionists and hated by both liberals and socialists. In international relations some percieve him as a strong man for difficult times - while others fear that one day he may become the new Gendarme of Europe.;Wrangel's outlook on autocracy in Russia is simple - only with a strong rule one can protect the Empire from foes within and without. Ruthless against his enemies, Wrangel is loved by reactionists and hated by both liberals and socialists. In international relations some percieve him as a strong man for difficult times - while others fear that one day he may become the new Gendarme of Europe.;;;X
NPERSONALITY_REFORMIST_SOLDIERHOG;Reformist Soldier;Reformist Soldier;Reformist Soldier;Reformist Soldier;Reformist Soldier;Reformist Soldier;Reformist Soldier;Солдат-Реформатор;;;X
DPERSONALITY_REFORMIST_SOLDIERHOG;The Reformist Soldier is a junior military officer who has recently turned to politics. Believing that his own generals and admirals are too compromised with the corrupt government of the country, he now wants to reform society from within, with the help of other similar-minded men of the armed forces.;The Reformist Soldier is a junior military officer who has recently turned to politics. Believing that his own generals and admirals are too compromised with the corrupt government of the country, he now wants to reform society from within, with the help of other similar-minded men of the armed forces.;The Reformist Soldier is a junior military officer who has recently turned to politics. Believing that his own generals and admirals are too compromised with the corrupt government of the country, he now wants to reform society from within, with the help of other similar-minded men of the armed forces.;The Reformist Soldier is a junior military officer who has recently turned to politics. Believing that his own generals and admirals are too compromised with the corrupt government of the country, he now wants to reform society from within, with the help of other similar-minded men of the armed forces.;The Reformist Soldier is a junior military officer who has recently turned to politics. Believing that his own generals and admirals are too compromised with the corrupt government of the country, he now wants to reform society from within, with the help of other similar-minded men of the armed forces.;The Reformist Soldier is a junior military officer who has recently turned to politics. Believing that his own generals and admirals are too compromised with the corrupt government of the country, he now wants to reform society from within, with the help of other similar-minded men of the armed forces.;The Reformist Soldier is a junior military officer who has recently turned to politics. Believing that his own generals and admirals are too compromised with the corrupt government of the country, he now wants to reform society from within, with the help of other similar-minded men of the armed forces.;The Reformist Soldier is a junior military officer who has recently turned to politics. Believing that his own generals and admirals are too compromised with the corrupt government of the country, he now wants to reform society from within, with the help of other similar-minded men of the armed forces.;;;X
NPERSONALITY_REFORMIST_SOLDIERHOS;Reformist Soldier;Reformist Soldier;Reformist Soldier;Reformist Soldier;Reformist Soldier;Reformist Soldier;Reformist Soldier;Солдат-Реформатор;;;X
DPERSONALITY_REFORMIST_SOLDIERHOS;The Reformist Soldier is a junior military officer who has recently turned to politics. Believing that his own generals and admirals are too compromised with the corrupt government of the country, he now wants to reform society from within, with the help of other similar-minded men of the armed forces.;The Reformist Soldier is a junior military officer who has recently turned to politics. Believing that his own generals and admirals are too compromised with the corrupt government of the country, he now wants to reform society from within, with the help of other similar-minded men of the armed forces.;The Reformist Soldier is a junior military officer who has recently turned to politics. Believing that his own generals and admirals are too compromised with the corrupt government of the country, he now wants to reform society from within, with the help of other similar-minded men of the armed forces.;The Reformist Soldier is a junior military officer who has recently turned to politics. Believing that his own generals and admirals are too compromised with the corrupt government of the country, he now wants to reform society from within, with the help of other similar-minded men of the armed forces.;The Reformist Soldier is a junior military officer who has recently turned to politics. Believing that his own generals and admirals are too compromised with the corrupt government of the country, he now wants to reform society from within, with the help of other similar-minded men of the armed forces.;The Reformist Soldier is a junior military officer who has recently turned to politics. Believing that his own generals and admirals are too compromised with the corrupt government of the country, he now wants to reform society from within, with the help of other similar-minded men of the armed forces.;The Reformist Soldier is a junior military officer who has recently turned to politics. Believing that his own generals and admirals are too compromised with the corrupt government of the country, he now wants to reform society from within, with the help of other similar-minded men of the armed forces.;The Reformist Soldier is a junior military officer who has recently turned to politics. Believing that his own generals and admirals are too compromised with the corrupt government of the country, he now wants to reform society from within, with the help of other similar-minded men of the armed forces.;;;X
NPERSONALITY_CARRIER_PROPONENT;Carrier proponent;Carrier proponent;Carrier proponent;Carrier proponent;Carrier proponent;Carrier proponent;Carrier proponent;Carrier proponent;;;X
DPERSONALITY_CARRIER_PROPONENT;The Carrier Proponent is not only an able administrator and politician, he is also a meddler in Grand Strategy. He believes that carriers are what the country needs.;The Carrier Proponent is not only an able administrator and politician, he is also a meddler in Grand Strategy. He believes that carriers are what the country needs.;The Carrier Proponent is not only an able administrator and politician, he is also a meddler in Grand Strategy. He believes that carriers are what the country needs.;The Carrier Proponent is not only an able administrator and politician, he is also a meddler in Grand Strategy. He believes that carriers are what the country needs.;The Carrier Proponent is not only an able administrator and politician, he is also a meddler in Grand Strategy. He believes that carriers are what the country needs.;The Carrier Proponent is not only an able administrator and politician, he is also a meddler in Grand Strategy. He believes that carriers are what the country needs.;The Carrier Proponent is not only an able administrator and politician, he is also a meddler in Grand Strategy. He believes that carriers are what the country needs.;The Carrier Proponent is not only an able administrator and politician, he is also a meddler in Grand Strategy. He believes that carriers are what the country needs.;;;X
NPERSONALITY_INDUSTRIALISER;Industrialiser;Industrialiser;Industrialiser;Industrialiser;Industrialiser;Industrialiser;Industrialiser;Индустриализатор;;;X
DPERSONALITY_INDUSTRIALISER;Well prepared economist, the industrialiser has one ambition - to turn his country into an industrial powerhouse. He is ready to use any means necessary to accomplish this goal - even if that means sacrificing things like personal freedom.;Well prepared economist, the industrialiser has one ambition - to turn his country into an industrial powerhouse. He is ready to use any means neccessary to accomplish this goal - even if that means sacrificing things like personal freedom.;Well prepared economist, the industrialiser has one ambition - to turn his country into an industrial powerhouse. He is ready to use any means neccessary to accomplish this goal - even if that means sacrificing things like personal freedom.;Well prepared economist, the industrialiser has one ambition - to turn his country into an industrial powerhouse. He is ready to use any means neccessary to accomplish this goal - even if that means sacrificing things like personal freedom.;Well prepared economist, the industrialiser has one ambition - to turn his country into an industrial powerhouse. He is ready to use any means neccessary to accomplish this goal - even if that means sacrificing things like personal freedom.;Well prepared economist, the industrialiser has one ambition - to turn his country into an industrial powerhouse. He is ready to use any means neccessary to accomplish this goal - even if that means sacrificing things like personal freedom.;Well prepared economist, the industrialiser has one ambition - to turn his country into an industrial powerhouse. He is ready to use any means neccessary to accomplish this goal - even if that means sacrificing things like personal freedom.;Well prepared economist, the industrialiser has one ambition - to turn his country into an industrial powerhouse. He is ready to use any means neccessary to accomplish this goal - even if that means sacrificing things like personal freedom.;;;X
NPERSONALITY_RED_BARON;The Red Baron;The Red Baron;The Red Baron;The Red Baron;The Red Baron;The Red Baron;The Red Baron;Красный Барон;;;X
DPERSONALITY_RED_BARON;One of the most distinguished aces of the Weltkrieg, von Richthofen rose quickly in ranks to become the commander of the Reich's air corps. Under his command, the German airforce has seen rapid expansion in numbers, as well as advance in technology and pilot training.;One of the most distinguished aces of the Weltkrieg, von Richthofen rose quickly in ranks to become the commander of the Reich's air corps. Under his command, the German airforce has seen rapid expansion in numbers, as well as advance in technology and pilot training.;One of the most distinguished aces of the Weltkrieg, von Richthofen rose quickly in ranks to become the commander of the Reich's air corps. Under his command, the German airforce has seen rapid expansion in numbers, as well as advance in technology and pilot training.;One of the most distinguished aces of the Weltkrieg, von Richthofen rose quickly in ranks to become the commander of the Reich's air corps. Under his command, the German airforce has seen rapid expansion in numbers, as well as advance in technology and pilot training.;One of the most distinguished aces of the Weltkrieg, von Richthofen rose quickly in ranks to become the commander of the Reich's air corps. Under his command, the German airforce has seen rapid expansion in numbers, as well as advance in technology and pilot training.;One of the most distinguished aces of the Weltkrieg, von Richthofen rose quickly in ranks to become the commander of the Reich's air corps. Under his command, the German airforce has seen rapid expansion in numbers, as well as advance in technology and pilot training.;One of the most distinguished aces of the Weltkrieg, von Richthofen rose quickly in ranks to become the commander of the Reich's air corps. Under his command, the German airforce has seen rapid expansion in numbers, as well as advance in technology and pilot training.;One of the most distinguished aces of the Weltkrieg, von Richthofen rose quickly in ranks to become the commander of the Reich's air corps. Under his command, the German airforce has seen rapid expansion in numbers, as well as advance in technology and pilot training.;;;X
NPERSONALITY_BANK_PRESIDENT;Bank President;Bank President;Bank President;Bank President;Bank President;Bank President;Bank President;Президент Банка;;;X
DPERSONALITY_BANK_PRESIDENT;A talented economist and administrator, the bank president emphasises the importance of stable currency and flow of capital. However, his technocratic and civilian manner means that he often neglects the non-civilian sector of the economy.;A talented economist and administrator, the bank president emphasises the importance of stable currency and flow of capital. However, his technocratic and civilian manner means that he often neglects the non-civilian sector of the economy.;A talented economist and administrator, the bank president emphasises the importance of stable currency and flow of capital. However, his technocratic and civilian manner means that he often neglects the non-civilian sector of the economy.;A talented economist and administrator, the bank president emphasises the importance of stable currency and flow of capital. However, his technocratic and civilian manner means that he often neglects the non-civilian sector of the economy.;A talented economist and administrator, the bank president emphasises the importance of stable currency and flow of capital. However, his technocratic and civilian manner means that he often neglects the non-civilian sector of the economy.;A talented economist and administrator, the bank president emphasises the importance of stable currency and flow of capital. However, his technocratic and civilian manner means that he often neglects the non-civilian sector of the economy.;A talented economist and administrator, the bank president emphasises the importance of stable currency and flow of capital. However, his technocratic and civilian manner means that he often neglects the non-civilian sector of the economy.;A talented economist and administrator, the bank president emphasises the importance of stable currency and flow of capital. However, his technocratic and civilian manner means that he often neglects the non-civilian sector of the economy.;;;X
NPERSONALITY_RESPECTED_WAR_HERO;Respected War Hero;Respected War Hero;Respected War Hero;Respected War Hero;Respected War Hero;Respected War Hero;Respected War Hero;Уважаемый Герой Войны;;;X
DPERSONALITY_RESPECTED_WAR_HERO;Famous for his feats during the war, the respected war hero is a widely respected man. Even though some despise him as a clear sign of army meddling in politics, he is loved by the people and admired among the military. His influence strenghtens the army's position - even if his conservative approach slowls the technological progress.;Famous for his feats during the war, the respected war hero is a widely respected man. Even though some despise him as a clear sign of army meddling in politics, he is loved by the people and admired among the military. His influence strenghtens the army's position - even if his conservative approach slowls the technological progress.;Famous for his feats during the war, the respected war hero is a widely respected man. Even though some despise him as a clear sign of army meddling in politics, he is loved by the people and admired among the military. His influence strenghtens the army's position - even if his conservative approach slowls the technological progress.;Famous for his feats during the war, the respected war hero is a widely respected man. Even though some despise him as a clear sign of army meddling in politics, he is loved by the people and admired among the military. His influence strenghtens the army's position - even if his conservative approach slowls the technological progress.;Famous for his feats during the war, the respected war hero is a widely respected man. Even though some despise him as a clear sign of army meddling in politics, he is loved by the people and admired among the military. His influence strenghtens the army's position - even if his conservative approach slowls the technological progress.;Famous for his feats during the war, the respected war hero is a widely respected man. Even though some despise him as a clear sign of army meddling in politics, he is loved by the people and admired among the military. His influence strenghtens the army's position - even if his conservative approach slowls the technological progress.;Famous for his feats during the war, the respected war hero is a widely respected man. Even though some despise him as a clear sign of army meddling in politics, he is loved by the people and admired among the military. His influence strenghtens the army's position - even if his conservative approach slowls the technological progress.;Famous for his feats during the war, the respected war hero is a widely respected man. Even though some despise him as a clear sign of army meddling in politics, he is loved by the people and admired among the military. His influence strenghtens the army's position - even if his conservative approach slowls the technological progress.;;;X
NPERSONALITY_TSAR_UNIFIER;Tsar Unifier;Tsar Unifier;Tsar Unifier;Tsar Unifier;Tsar Unifier;Tsar Unifier;Tsar Unifier;Царь Объеденитель;;;X
DPERSONALITY_TSAR_UNIFIER;Boris III took the throne following the abdication of his father in the wake of the Weltkrieg. Although young and inexperienced, he has proven himself to be a capable ruler. Under his reign the dream of a unified, Great Bulgaria has come true, with Bulgaria, Thrace and Macedonia united under one banner. Still, the future of his kingdom is yet unknown.;Boris III took the throne following the abdication of his father in the wake of the Weltkrieg. Although young and inexperienced, he has proven himself to be a capable ruler. Under his reign the dream of a unified, Great Bulgaria has come true, with Bulgaria, Thrace and Macedonia united under one banner. Still, the future of his kingdom is yet unknown.;Boris III took the throne following the abdication of his father in the wake of the Weltkrieg. Although young and inexperienced, he has proven himself to be a capable ruler. Under his reign the dream of a unified, Great Bulgaria has come true, with Bulgaria, Thrace and Macedonia united under one banner. Still, the future of his kingdom is yet unknown.;Boris III took the throne following the abdication of his father in the wake of the Weltkrieg. Although young and inexperienced, he has proven himself to be a capable ruler. Under his reign the dream of a unified, Great Bulgaria has come true, with Bulgaria, Thrace and Macedonia united under one banner. Still, the future of his kingdom is yet unknown.;Boris III took the throne following the abdication of his father in the wake of the Weltkrieg. Although young and inexperienced, he has proven himself to be a capable ruler. Under his reign the dream of a unified, Great Bulgaria has come true, with Bulgaria, Thrace and Macedonia united under one banner. Still, the future of his kingdom is yet unknown.;Boris III took the throne following the abdication of his father in the wake of the Weltkrieg. Although young and inexperienced, he has proven himself to be a capable ruler. Under his reign the dream of a unified, Great Bulgaria has come true, with Bulgaria, Thrace and Macedonia united under one banner. Still, the future of his kingdom is yet unknown.;Boris III took the throne following the abdication of his father in the wake of the Weltkrieg. Although young and inexperienced, he has proven himself to be a capable ruler. Under his reign the dream of a unified, Great Bulgaria has come true, with Bulgaria, Thrace and Macedonia united under one banner. Still, the future of his kingdom is yet unknown.;Boris III took the throne following the abdication of his father in the wake of the Weltkrieg. Although young and inexperienced, he has proven himself to be a capable ruler. Under his reign the dream of a unified, Great Bulgaria has come true, with Bulgaria, Thrace and Macedonia united under one banner. Still, the future of his kingdom is yet unknown.;;;X
NPERSONALITY_PRESIDENT_IN_UNIFORM;President in Uniform;President in Uniform;President in Uniform;President in Uniform;President in Uniform;President in Uniform;President in Uniform;Президент в Военной Форме;;;X
DPERSONALITY_PRESIDENT_IN_UNIFORM;A general become president, Douglas MacArthur combines statesman's charisma with an officer's professionalism. A staunch opponent of syndicalism and all other leftist movements, he still has to cope with the largely isolationist nation and Congress. Still, he must hold his ambitions in face of democratic procedures.;A general become president, Douglas MacArthur combines statesman's charisma with an officer's professionalism. A staunch opponent of syndicalism and all other leftist movements, he still has to cope with the largely isolationist nation and Congress. Still, he must hold his ambitions in face of democratic procedures.;A general become president, Douglas MacArthur combines statesman's charisma with an officer's professionalism. A staunch opponent of syndicalism and all other leftist movements, he still has to cope with the largely isolationist nation and Congress. Still, he must hold his ambitions in face of democratic procedures.;A general become president, Douglas MacArthur combines statesman's charisma with an officer's professionalism. A staunch opponent of syndicalism and all other leftist movements, he still has to cope with the largely isolationist nation and Congress. Still, he must hold his ambitions in face of democratic procedures.;A general become president, Douglas MacArthur combines statesman's charisma with an officer's professionalism. A staunch opponent of syndicalism and all other leftist movements, he still has to cope with the largely isolationist nation and Congress. Still, he must hold his ambitions in face of democratic procedures.;A general become president, Douglas MacArthur combines statesman's charisma with an officer's professionalism. A staunch opponent of syndicalism and all other leftist movements, he still has to cope with the largely isolationist nation and Congress. Still, he must hold his ambitions in face of democratic procedures.;A general become president, Douglas MacArthur combines statesman's charisma with an officer's professionalism. A staunch opponent of syndicalism and all other leftist movements, he still has to cope with the largely isolationist nation and Congress. Still, he must hold his ambitions in face of democratic procedures.;A general become president, Douglas MacArthur combines statesman's charisma with an officer's professionalism. A staunch opponent of syndicalism and all other leftist movements, he still has to cope with the largely isolationist nation and Congress. Still, he must hold his ambitions in face of democratic procedures.;;;X
NPERSONALITY_AMERICAN_TYRANT;American Tyrant;American Tyrant;American Tyrant;American Tyrant;American Tyrant;American Tyrant;American Tyrant;Американский Тиран;;;X
DPERSONALITY_AMERICAN_TYRANT;Despised by democracies for becoming the first American non-democratic leader, MacArthur is by no means a political weakling. With his hate towards syndicalism and all other leftist movements finally unleashed, he will not stop until his country is safe from enemies - both within and without.;Despised by democracies for becoming the first American non-democratic leader, MacArthur is by no means a political weakling. With his hate towards syndicalism and all other leftist movements finally unleashed, he will not stop until his country is safe from enemies - both within and without.;Despised by democracies for becoming the first American non-democratic leader, MacArthur is by no means a political weakling. With his hate towards syndicalism and all other leftist movements finally unleashed, he will not stop until his country is safe from enemies - both within and without.;Despised by democracies for becoming the first American non-democratic leader, MacArthur is by no means a political weakling. With his hate towards syndicalism and all other leftist movements finally unleashed, he will not stop until his country is safe from enemies - both within and without.;Despised by democracies for becoming the first American non-democratic leader, MacArthur is by no means a political weakling. With his hate towards syndicalism and all other leftist movements finally unleashed, he will not stop until his country is safe from enemies - both within and without.;Despised by democracies for becoming the first American non-democratic leader, MacArthur is by no means a political weakling. With his hate towards syndicalism and all other leftist movements finally unleashed, he will not stop until his country is safe from enemies - both within and without.;Despised by democracies for becoming the first American non-democratic leader, MacArthur is by no means a political weakling. With his hate towards syndicalism and all other leftist movements finally unleashed, he will not stop until his country is safe from enemies - both within and without.;Despised by democracies for becoming the first American non-democratic leader, MacArthur is by no means a political weakling. With his hate towards syndicalism and all other leftist movements finally unleashed, he will not stop until his country is safe from enemies - both within and without.;;;X
NPERSONALITY_MODERATE_KAISER;Moderate Kaiser;Moderate Kaiser;Moderate Kaiser;Moderate Kaiser;Moderate Kaiser;Moderate Kaiser;Moderate Kaiser;Умеренный Кайзер;;;X
DPERSONALITY_MODERATE_KAISER;Although raised in the covservative Prussian military trend, Wilhelm III has a much more liberal outlook on things then his father and is more ready to compromise and reform the Reich.;Although raised in the covservative Prussian military trend, Wilhelm III has a much more liberal outlook on things then his father and is more ready to compromise and reform the Reich.;Although raised in the covservative Prussian military trend, Wilhelm III has a much more liberal outlook on things then his father and is more ready to compromise and reform the Reich.;Although raised in the covservative Prussian military trend, Wilhelm III has a much more liberal outlook on things then his father and is more ready to compromise and reform the Reich.;Although raised in the covservative Prussian military trend, Wilhelm III has a much more liberal outlook on things then his father and is more ready to compromise and reform the Reich.;Although raised in the covservative Prussian military trend, Wilhelm III has a much more liberal outlook on things then his father and is more ready to compromise and reform the Reich.;Although raised in the covservative Prussian military trend, Wilhelm III has a much more liberal outlook on things then his father and is more ready to compromise and reform the Reich.;Although raised in the covservative Prussian military trend, Wilhelm III has a much more liberal outlook on things then his father and is more ready to compromise and reform the Reich.;;;X
NPERSONALITY_SPIRITUAL_LEADER;Spiritual Leader;Spiritual Leader;Spiritual Leader;Spiritual Leader;Spiritual Leader;Spiritual Leader;Spiritual Leader;Духовный Лидер;;;X
DPERSONALITY_SPIRITUAL_LEADER;Once the important figure in the Church's hierarchy, the spiritual leader has been called upon to serve his coutry. He strives towards moral perfection in both internal and external policy. Although conservative, he is widely respected - at least among followers of the same faith.;Once the important figure in the Church's hierarchy, the spiritual leader has been called upon to serve his coutry. He strives towards moral perfection in both internal and external policy. Although conservative, he is widely respected - at least among followers of the same faith.;Once the important figure in the Church's hierarchy, the spiritual leader has been called upon to serve his coutry. He strives towards moral perfection in both internal and external policy. Although conservative, he is widely respected - at least among followers of the same faith.;Once the important figure in the Church's hierarchy, the spiritual leader has been called upon to serve his coutry. He strives towards moral perfection in both internal and external policy. Although conservative, he is widely respected - at least among followers of the same faith.;Once the important figure in the Church's hierarchy, the spiritual leader has been called upon to serve his coutry. He strives towards moral perfection in both internal and external policy. Although conservative, he is widely respected - at least among followers of the same faith.;Once the important figure in the Church's hierarchy, the spiritual leader has been called upon to serve his coutry. He strives towards moral perfection in both internal and external policy. Although conservative, he is widely respected - at least among followers of the same faith.;Once the important figure in the Church's hierarchy, the spiritual leader has been called upon to serve his coutry. He strives towards moral perfection in both internal and external policy. Although conservative, he is widely respected - at least among followers of the same faith.;Once the important figure in the Church's hierarchy, the spiritual leader has been called upon to serve his coutry. He strives towards moral perfection in both internal and external policy. Although conservative, he is widely respected - at least among followers of the same faith.;;;X
NPERSONALITY_ADMIRAL_DICTATOR;Admiral-Dictator;Admiral-Dictator;Admiral-Dictator;Admiral-Dictator;Admiral-Dictator;Admiral-Dictator;Admiral-Dictator;Адмирал-Диктатор;;;x
