#  STRING NAME (do not change!);English;French;Italian;Spanish;German;Polish;Portugese;Russian;;Extra2;X
EVT_1012R_DESC;A week ago, we published an article about research in science. Today we are happy to disclose that one of our scientists has made major advances in certain areas. A professor of one of the country's leading universities says that these things happen once in a century or so. The man who made the discovery told us that he got his idea when he dropped a cup of tea on the floor. It seems that the hot tea made certain colourful patterns on the floor and, well, he says that did it. Quite a genius, if you ask us.;La semaine derniиre, nous avons publiй un dossier sur la recherche scientifique. Aujourd'hui, nous sommes heureux de vous annoncer que nos chercheurs ont fait des progrиs йpoustouflants dans certains domaines. Un professeur de l'une des plus grandes universitйs a indiquй que ce genre de percйe due au hasard йtait extrкmement rare. L'homme а l'origine de la dйcouverte nous a avouй avoir eu son idйe en renversant sa tasse de thй sur son tapis. Il semble que le thй brыlant ait dessinй certaines formes colorйes en se rйpandant sur le tapis. 'Et voilа comment c'est arrivй', nous a-t-il dйclarй. Un sacrй gйnie а l'йvidence !;Una settimana fa, abbiamo pubblicato un articolo sulla ricerca nella scienza. Oggi siamo felici di scoprire che i nostri scienziati hanno fatto dei grossi passi avanti in determinati campi. Il professore di una delle migliori universitа del paese ha affermato che queste cose avvengono una volta ogni cento anni o giщ di lм. L'uomo responsabile della nuova scoperta ci ha raccontato di avere avuto l'idea facendo cadere un tazza di tи su un tappeto. Il tи caldo aveva disegnato certi motivi colorati sul tappeto e, beh... il resto и storia.;Hace una semana publicamos un artнculo sobre la investigaciуn cientнfica. Hoy nos alegramos de revelar que nuestros cientнficos han logrado avances importantes en ciertos campos. Un profesor de una de las principales universidades del paнs dice que este tipo de cosas sуlo ocurren aproximadamente una vez cada siglo. El hombre que realizу el nuevo descubrimiento nos ha dicho que su idea se le ocurriу cuando derramу el tй sobre el suelo. Parece que el tй caliente dibujу determinados patrones de colores en el suelo y, bueno, dice que eso bastу. Todo un genio, en nuestra opiniуn.;Vor einer Woche haben wir einen Artikel ьber die Forschung in der Wissenschaft verцffentlicht. Heute sind wir erfreut, Ihnen mitteilen zu kцnnen, dass einer unserer Wissenschaftler in bestimmten Bereichen grцЯere Fortschritte erzielt haben. Ein Professor einer der fьhrenden Universitдten unseres Landes sagt, dass so etwas nur einmall in hundert Jahren vorkommt. Der Wissenschaftler teilt uns mit, er habe die Entdeckung gemacht, als ihm  eine Tasse Tee auf den Boden gefallen war. Es scheint, der Tee habe bestimmte farbliche Muster auf dem Boden geformt, die ihn auf das Ergebnis gebracht hдtten. - Ein Genie, wenn Sie uns fragen.;Tydzieс temu opublikowaliњmy artykuі o badaniach naukowych. Dziњ mamy zaszczyt ogіosiж, їe jeden z naszych naukowcуw dokonaі istotnych postкpуw w pewnych dziedzinach. Profesor jednego z najznamienitszych uniwersytetуw powiedziaі nam, їe takie odkrycia zdarzaj№ siк nie czкњciej, niї raz na sto lat. Czіowiek o ktуrym mowa ujawniі nam, їe olњnienie naszіo go po tym, jak upuњciі kubek z kaw№ na podіogк. Wygl№da na to, їe rozlany pіyn utworzyі na posadzce interesuj№cy wzуr. Cуї za geniusz!;;Неделю назад мы напечатали статью о перспективных научных исследованиях. Сегодня мы с радостью сообщаем, что наши ученые достигли существенных успехов в некоторых областях. Профессор одного из ведущих университетов страны сказал, что такое случается раз в столетие. Ученый, который совершил открытие, сказал нам, что его осенило, когда он пролил чай на пол. Горячий чай образовал причудливые лужицы, и при взгляде на них к ученому пришло озарение. После визита к гению нашему репортеру пришлось долго отмывать ботинки от чая, которым теперь залиты все полы в доме.;;;X
ACTIONNAME1012A;OK;OK;OK;Aceptar;OK;OK;;ОК;;;X
EVT_1013R_NAME;Private initiative boosts production;L'initiative privйe accroоt la productivitй;L'iniziativa privata incrementa la produzione;La iniciativa privada aumenta la producciуn;Privatinitiative treibt Produktion nach oben;Prywatna inicjatywa podnosi produkcjк;;Частная инициатива стимулирует производство;;;X
EVT_1013R_DESC;The stock market is rising again after the announcement that more than 40 percent of our companies have reported higher profits than expected. The Minister of Finance welcomed this good news because the effects may well lead to increases in output and lowered costs in the public sector.;La bourse remonte aprиs les annonces par plus de 40 importantes sociйtйs de bйnйfices plus importants que prйvu. Le ministre des finances s'en est rйjoui et a prйcisй que les effets de ces annonces pourraient bel et bien se matйrialiser trиs vite par des hausses de la production et des baisses de coыts dans tout le secteur public.;Il mercato azionario и nuovamente in rialzo dopo l'annuncio che piщ del 40 percento delle nostre compagnie ha fatto registrare profitti maggiori di quelli previsti. Il ministero delle finanze conferma che si tratta di ottime notizie, i cui effetti potranno portare all'aumento delle uscite abbassando i costi nei settori pubblici.;El mercado de valores vuelve a subir tras el anuncio de que mбs del 40 por ciento de nuestras compaснas han presentado beneficios superiores a lo esperado. El ministro de economнa dice que esto es una buena noticia, ya que bien puede ser que los efectos netos lleven a aumentos de producciуn y reducciones de los costes en los sectores pъblicos.;Der Aktienmarkt steigt noch einmal, nachdem eine nicht erwartete 40ige Profiterhцhung unserer Unternehmen angekьndigt worden war. Der Finanzminister hat diese gute Nachricht begrьЯt, da sich dies mцglicherweise auf eine hцhere Leistung und niedrigere Kosten im цffentlichen Sektor auswirkt.;Rynek gieіdowy kwitnie ponownie po tym, jak ponad 40 spуіek ogіosiіo zyski wiкksze, niї pocz№tkowo byіy przewidywane. Ministra finansуw ucieszyіa ta informacja, gdyї moїe to doprowadziж do zwiкkszenia produkcji i obniїenia kosztуw w sektorze publicznym.;;Фондовая биржа объявила о существенном росте котировок после того, как свыше 40 процентов наших компаний сообщили о получении более высокой прибыли, чем ожидалось. Министр финансов говорит, что это хорошие новости, поскольку вероятным эффектом станет увеличение производства и снижение затрат в государственном секторе экономики.;;;X
ACTIONNAME1013A;OK;OK;OK;Aceptar;OK;OK;;ОК;;;X
EVT_1014R_NAME;Rogue Politician;Un politicien fait cavalier seul;Politico corrotto;Polнtico disidente;Krimineller Politiker;Niezaleїny polityk;;Неуправляемый политик;;;X
EVT_1014R_DESC;It has long been known that a certain minister holds views that differ in certain respects from those of the rest of the Cabinet. However, now the minister in question has announced that he will enter into a debate about those views. He says:'Telling the truth and telling it well can never be wrong. Basically that is what this country is about.';Il est de notoriйtй publique que l'un des ministres a des vues divergentes de celles des autres membres du gouvernement sur certains problиmes. Ce ministre vient justement d'annoncer qu'il dйbattra publiquement de ses idйes. Il a dйclarй : 'Dire la vйritй ne peut jamais faire de mal. C'est mкme ce qui fait la grandeur de notre pays.';Si era sempre saputo che un certo ministro aveva avuto vedute diverse da quelle del governo in certi campi. Tuttavia, ora il ministro in questione ha annunciato che affronterа un dibattito a proposito di queste vedute. Egli sostiene che 'raccontare tutta la veritа non puт essere mai sbagliato e fondamentalmente и quanto sta facendo questo paese'.;Se sabнa desde hace tiempo que cierto ministro tiene opiniones que difieren en determinados aspectos de las del resto del gabinete. Sin embargo, ahora el ministro en cuestiуn ha anunciado que quiere abrir un debate sobre estas opiniones. Afirma: 'Decir la verdad y decirla bien no puede ser algo malo. Eso es, bбsicamente, en lo que se basa nuestro paнs.';Es war lange bekannt, dass ein bestimmter Minister in bestimmten Aspekten andere Ansichten als das restliche Kabinett vertritt. Allerdings hat dieser Minister nun angekьndigt, dass er seine Ansichten in einer Debatte offenbaren will. Er sagt: 'Die Wahrheit zu sagen und sie richtig zu sagen kann nie falsch sein. Das ist genau das, was dieses Land ausmacht.';Od dawna wiadomo, їe pogl№dy jednego z ministrуw odstaj№ w paru kwestiach od gіoszonych przez rz№d. Teraz jednak wspomniany minister oznajmiі chкж wі№czenia siк do debaty, dotycz№cej tych pogl№dуw. Cytuj№c: 'Mуwienie prawdy i caіej prawdy nigdy nie jest zіe. Tak naprawdк to jest to fundament, na ktуrym opiera siк ten kraj.';;Давно известно, что взгляды одного из министров существенно отличаются от взглядов его коллег по кабинету. Теперь этот министр объявил, что хочет публично защитить свою позицию. По его словам, говорить правду хорошо и приятно, и это всегда правильно. Мы хотим, чтобы в нашей стране человек всегда мог сказать правду.;;;X
ACTIONNAME1014A;Ignore him;L'ignorer;Ignoralo;Pasar de йl;Ignorieren;Zignoruj go;;Не обращать внимания;;;X
ACTIONNAME1014B;Answer him;Lui rйpondre;Rispondigli;Contestarle;Antworten;Odpowiedz mu;;Ответить ему;;;X
EVT_1015R_NAME;Rogue Politician;Un politicien fait cavalier seul;Politico corrotto;Polнtico disidente;Krimineller Politiker;Niezaleїny polityk;;Неуправляемый политик;;;X
EVT_1015R_DESC;It has long been known that certain minister has held views that differ from the rest of the government in some areas. However, now the minister in question has announced that he will enter into a debate about those views. He says:'Telling the truth and telling it well can never be wrong. Basically that is what this country is about.';Il est de notoriйtй publique que l'un des ministres a des vues divergentes de celles des autres membres du gouvernement sur certains problиmes. Ce ministre vient justement d'annoncer qu'il dйbattra publiquement de ses idйes. Il a dйclarй : 'Dire la vйritй ne peut jamais faire de mal. C'est mкme ce qui fait la grandeur de notre pays.';Si era sempre saputo che un certo ministro aveva avuto vedute diverse da quelle del governo in certi campi. Tuttavia, ora il ministro in questione ha annunciato che affronterа un dibattito a proposito di queste vedute. Egli sostiene che 'raccontare tutta la veritа non puт essere mai sbagliato e fondamentalmente и quanto sta facendo questo paese'.;Siempre se ha sabido que cierto ministro ha venido teniendo opiniones en ciertas бreas que diferнan de las del resto del gobierno. Sin embargo, ahora el ministro en cuestiуn ha anunciado que quiere abrir un debate sobre estas opiniones. Afirma: 'Decir la verdad y decirla bien no puede ser algo malo. Eso es, bбsicamente, en lo que se basa nuestro paнs.';Es war lange bekannt, dass ein bestimmter Minister in bestimmten Aspekten andere Ansichten als das restliche Kabinett vertritt. Allerdings hat dieser Minister nun angekьndigt, dass er seine Ansichten in einer Debatte offenbaren will. Er sagt: 'Die Wahrheit zu sagen und sie richtig zu sagen kann nie falsch sein. Das ist genau das, was dieses Land ausmacht.';Od dawna wiadomo, їe pogl№dy jednego z ministrуw odstaj№ w paru kwestiach od gіoszonych przez rz№d. Teraz jednak wspomniany minister oznajmiі chкж wі№czenia siк do debaty, dotycz№cej tych pogl№dуw. Cytuj№c: 'Mуwienie prawdy i caіej prawdy nigdy nie jest zіe. Tak naprawdк to jest to fundament, na ktуrym opiera siк ten kraj.';;Давно известно, что взгляды одного из министров существенно отличаются от взглядов его коллег по кабинету. Теперь этот министр объявил, что хочет публично защитить свою позицию. По его словам, говорить правду хорошо и приятно, и это всегда правильно. Мы хотим, чтобы в нашей стране человек всегда мог сказать правду.;;;X
ACTIONNAME1015A;Drop Dead!;Crиve !;Crepa!;ЎMuйrete!;Fahr zur Hцlle!;Spadaj!;;Убрать его!;;;X
ACTIONNAME1015B;Ignore him;L'ignorer;Ignoralo;Pasar de йl;Ignorieren;Zignoruj go;;Не обращать внимания;;;X
EVT_1016R_NAME;Outlaw the Syndicalist Parties;Interdiction du Parti Syndicalista;Metti al bando i partiti Syndicalist;Ilegalizaciуn de los partidos Syndicalistas;Syndicalist Parteien дchten;Zdelegalizuj partie Syndicalist;;Запретить синдикалистские партии;;;X
EVT_1016R_DESC;Today the Parliament will consider last week's proposal for outlawing the Syndicalist Party made by a Member of Parliament known for his conservatism. 'The tendencies are' comments our political specialist 'that this proposal will fail because too few members really want to limit freedom of speech to this degree'.;Aujourd'hui, le parlement va dйbattre de la proposition d'interdire le Parti Communiste, dйposйe la semaine derniиre par un dйputй connu pour ses positions trиs conservatrices. 'La tendance', dйclare notre spйcialiste en politique, 'est plutфt au rejet de cette motion car trиs peu de gens sont prкts а accepter une telle limitation de la libertй de parole'.;Nella giornata odierna, il parlamento prenderа in esame la proposta, avanzata la settimana scorsa da un membro del parlamento noto per il suo conservatorismo, di dichiarare fuori legge il partito comunista. Il nostro esperto politico riferisce che 'la tendenza и che questa proposta non verrа accolta dal momento che pochissimi membri vogliono limitare la libertа di parola fino a questo punto'.;Hoy el parlamento va a considerar la propuesta de ilegalizaciуn del Partido Comunista presentada la semana pasada por un miembro del hemiciclo conocido por su conservadurismo. Segъn informa nuestro especialista en polнtica: 'Las previsiones son que esta proposiciуn no sea aprobada, ya que hay pocos parlamentarios que quieran limitar hasta ese punto la libertad de expresiуn.';Heute wird das Parlament den Vorschlag von letzter Woche, die Kommunistische Partei zu дchten, erwдgen, die von einem Parlamentsmitglied, der fьr seinen Konservatismus bekannt ist, vorgetragen wurde. 'Die Tendenzen,' kommentiert unser politischer Spezialist, 'dieses Vorschlags sind nicht erfolgreich, da zuwenig Mitglieder wirklich das Recht auf freie MeinungsдuЯerung derart einschrдnken wollen'.;Dziњ parlament rozwaїy wniosek o zdelegalizowanie partii komunistycznych, zgіoszony w zeszіym tygodniu przez konserwatystуw. Z komentarzy redaktorуw politycznych dowiadujemy siк: 'Nastroje wskazuj№ raczej na to, їe wniosek upadnie, gdyї w parlamencie jest zbyt maіe poparcie dla ograniczenia swobody wolnoњci wypowiedzi aї do tego stopnia.';;Сегодня парламент рассмотрит предложение об объявлении синдикалистской партии вне закона. Оно было внесено на прошлой неделе членом парламента, известным своим консерватизмом. Наш аналитик считает, что предложение не пройдет, так как большинство парламентариев не согласятся ограничить свободу слова до такой степени.;;;X
ACTIONNAME1016A;NO;NON;No;NO;NEIN;Nie;;Нет;;;X
ACTIONNAME1016B;YES;OUI;Sм;SН;JA;Tak;;Да;;;X
EVT_1017R_NAME;Outlaw the Extreme Nationalist Parties;Interdiction du Parti Fasciste;Metti al bando i partiti fascisti;Ilegalizaciуn de los partidos fascistas;Faschistische Parteien дchten;Zdelegalizuj partie faszystowskie;;Запретить крайние националистические партии;;;X
EVT_1017R_DESC;Today the Parliament will consider last week's proposal for outlawing the Extreme Nationalist Party made by a Member of Parliament known for his liberalism. 'The tendencies are' comments our political specialist 'that this proposal will fail because too few members really want to limit freedom of speech to this degree'.;Aujourd'hui, le parlement va dйbattre de la proposition d'interdire le Parti Fasciste, dйposйe la semaine derniиre par un dйputй connu pour ses positions trиs libйrales. 'La tendance', dйclare notre spйcialiste en politique, 'est plutфt au rejet de cette motion car trиs peu de gens sont prкts а accepter une telle limitation de la libertй de parole'.;Nella giornata odierna, il parlamento prenderа in esame la proposta, avanzata la settimana scorsa da un membro del parlamento noto per il suo liberalismo, di dichiarare fuori legge il partito fascista. Il nostro esperto politico riferisce che 'la tendenza и che questa proposta non verrа accolta dal momento che pochissimi membri vogliono limitare la libertа di parola fino a questo punto'.;Hoy el parlamento va a considerar la propuesta de ilegalizaciуn del Partido Fascista presentada la semana pasada por un miembro del hemiciclo conocido por su liberalismo. Segъn informa nuestro especialista en polнtica: 'Las previsiones son que esta proposiciуn no sea aprobada, ya que hay pocos parlamentarios que quieran limitar hasta ese punto la libertad de expresiуn.';Heute wird das Parlament den Vorschlag von letzter Woche, die Faschistische Partei zu дchten, erwдgen, die von einem Parlamentsmitglied, der fьr seinen Liberalismus bekannt ist, vorgetragen wurde.  'Die Tendenzen,' kommentiert unser politischer Spezialist, 'dieses Vorschlags sind nicht erfolgreich, da zuwenig Mitglieder wirklich das Recht auf freie MeinungsдuЯerung derart einschrдnken wollen'.;Dziњ parlament rozwaїy wniosek o zdelegalizowanie partii faszystowskich, zgіoszony w zeszіym tygodniu przez liberaіуw. Z komentarzy specjalistуw politycznych dowiadujemy siк: 'Nastroje wskazuj№ raczej na to, їe wniosek upadnie, gdyї w parlamencie jest zbyt maіe poparcie dla ograniczenia swobody wolnoњci wypowiedzi aї do tego stopnia.';;Сегодня парламент рассмотрит предложение об объявлении националистической партии вне закона. Оно было внесено на прошлой неделе членом парламента, известным своим либерализмом. Наш аналитик считает, что предложение не пройдет, так как большинство парламентариев не согласятся ограничить свободу слова до такой степени.;;;X
ACTIONNAME1017A;NO;NON;No;NO;NEIN;Nie;;НЕТ;;;X
ACTIONNAME1017B;YES;OUI;Sм;SН;JA;Tak;;ДА;;;X
ACTIONNAME2803A;Great!;Great!;Great!;Great!;Great!;Great!;;Великолепно!;;;X
###Minister events;;;;;;;;;;;X
EVT_103_NAME;One of our ministers has died;L’un de nos ministres est mort;Uno dei nostri ministri и morto;Uno de nuestros ministros ha muerto;Einer unserer Minister ist gestorben;Zmarі jeden z naszych ministrуw;;Умер один из министров;;;X
EVT_103_DESC;Our nation mourns as one of our ministers passed away. Even now, our nation and the minister's office have to move onward. A new minister has to be put in office.;Notre nation est en deuil car l’un de nos ministres s’est йteint. Mкme en ces moments difficiles, notre nation et le cabinet du ministre doivent poursuivre leur progression. Un nouveau ministre doit prendre ses fonctions.;La nostra nazione и in lutto per la morte di uno dei nostri ministri. Ma, nonostante tutto, il paese e il ministero devono proseguire nell'adempimento dei propri compiti e un nuovo ministro deve essere nominato.;Nuestro paнs llora la muerte de uno de nuestros ministros. Incluso ahora, nuestra naciуn y el ministerio tienen que seguir adelante. Hay que asignar a un nuevo ministro.;Unsere Nation ist in Trauer ob des Todes eines unserer Minister. Aber auch jetzt mьssen die Nation und das Amt des Ministers weitergefьhrt werden. Ein neuer Minister muss benannt werden.;Kraj opіakuje њmierж jednego naszych ministrуw. Musimy jednak iњж naprzуd, a z nami rada ministrуw. Tekк ministersk№ naleїy przekazaж komuњ innemu.;;Вся нация оплакивает смерть этого министра. Но жизнь не знает остановок, и министерство должно продолжать работу. Необходимо назначить нового министра.;;;X
EVT_104_NAME;Political blunder: Minister forced to resign ;Bйvue politique : un ministre contraint а dйmissionner;Scandalo politico: il ministro costretto a dimettersi;Tropezуn polнtico: El ministro obligado a dimitir;Politischer Fehler: Der Minister wurde zum Rьcktritt gezwungen;Polityczna gafa: Minister zmuszony do rezygnacji;;Политический промах: министр вынужден подать в отставку;;;X
EVT_104_DESC;Political blunders happen all the time. More than one minister, of the past and today, has been forced to resign after he leaked vital information to the press, accidentally insulted an important functionary or was responsible for a national tragedy.;Les bйvues politiques sont lйgion Plus d’un ministre, prйsent et passй, a йtй contraint а dйmissionner aprиs avoir divulguй а la presse des informations vitales, insultй sans le vouloir un fonctionnaire important, ou pour avoir йtй responsable d’une tragйdie nationale.;Gli scandali politici accadono continuamente. Piщ di un ministro, del passato e di oggi, и stato costretto a dimettersi per essersi lasciato sfuggire informazioni importanti alla stampa, per aver insultato un funzionario o per essere stato responsabile di una tragedia nazionale.;Los tropezones polнticos ocurren constantemente. Mбs de un ministro, de ayer y de hoy, ha tenido que dimitir tras haber filtrado informaciуn vital a la prensa, insultar accidentalmente a un funcionario importante o ser responsable de una tragedia nacional.;In der Politik werden immer wieder grobe Fehler begangen. Mehr als ein Minister wurde in der Vergangenheit und auch in der Gegenwart dazu gezwungen, zurьckzutreten, nachdem er wichtige Informationen an die Presse weitergeleitet hat, versehentlich einen wichtigen Beamten beleidigt hat oder fьr eine nationale Tragцdie verantwortlich gemacht werden konnte.;Polityczne gafy zdarzaj№ caіy czas. Juї niejeden minister zostaі zmuszony do rezygnacji po wycieku informacji do prasy, przypadkowej obrazie kogoњ waїniejszego, czy w wyniku odpowiedzialnoњci za tragediк narodow№.;;Все политики совершают ошибки и промахи. Не один министр вынужден был подать в отставку после неосторожных заявлений в прессе, нелицеприятных слов в адрес могущественного чиновника или потрясших нацию провалов в порученном ему деле.;;;X
EVT_105_NAME;Minister resigns;Un ministre dйmissionne;Il ministro si dimette;Un ministro dimite;Der Minister tritt zurьck;Minister rezygnuje;;Министр уходит в отставку;;;X
EVT_105_DESC;One of our ministers has decided to resign from his office and retire from politics altogether. A substitute has to be put in office now.;L’un de nos ministres a dйcidй de donner sa dйmission et de quitter dйfinitivement la politique Un remplaзant vient de prendre ses fonctions;Uno dei nostri ministri ha deciso di dimettersi dal suo incarico e di ritirarsi completamente dalla vita politica. И necessario trovare subito un sostituto.;Uno de nuestros ministros ha decidido dimitir de su cargo y retirarse de la polнtica. Ahora hay que nombrar un sustituto.;Einer unserer Minister hat sich entschieden aus seinem Amt und der Politik zurьckzutreten. Ein neuer Minister muss jetzt mцglichst schnell benannt werden.;Jeden z naszych ministrуw postanowiі oddaж tekк i przejњж na emeryturк, wycofuj№c siк z polityki. Musimy znaleџж dla niego zastкpcк.;;Один из наших министров решил уйти в отставку и оставить политику. Нужно срочно найти ему замену.;;;X
EVT_106_NAME;General dies in accident;Mort d’un gйnйral dans un accident;Il Generale muore in un incidente;Un general muere en accidente;General stirbt bei Unfall;Generaі ginie w wypadku;;Генерал внезапно погибает;;;X
EVT_106_DESC;One of our beloved generals has been killed in an accident.  ;L’un de nos gйnйraux bien-aimйs s'est tuй dans un accident.  L’histoire contient des cas similaires avec le gйnйral allemand Eduard Dietl (accident d’avion en 1944), le feld-marйchal Walther von Reichenau (crise cardiaque en 1942), ou le feld-marйchal Fedor von Bock (tuй en permission par un raid aйrien des Alliйs).;Uno dei nostri amati generali и rimasto ucciso in un incidente. Nella storia si sono verificati altri decessi in simili circostanze: il Generale tedesco Eduard Dietl (incidente aereo nel 1944), il Feldmaresciallo Walther von Reichenau (infarto nel 1942) e il Feldmaresciallo Fedor von Bock (in un'incursione aerea degli Alleati mentre durante un suo permesso).;Uno de nuestros amados generales ha muerto en un accidente. Ejemplos histуricos serнan el general alemбn Eduard Dietl (colisiуn aйrea en 1944), el mariscal de campo Walther von Reichenau (ataque al corazуn en 1942), o el tambiйn mariscal de campo Fedor von Bock (asalto aйreo de los Aliados cuando estaba de permiso).;Einer unserer geliebten Generдle kam bei einem Unfall ums Leben. Zu den historischen Beispielen gehцren der deutsche General Eduard Dietl (Flugzeugabsturz 1944), Feldmarschall Walther von Reichenau (Herzanfall 1942), oder Feldmarschall Fedor von Bock (Alliierter Luftьberfall als er auf Urlaub war).;Nasz ukochany generaі zgin№і w wypadku. Historia zna takie przypadki: niemiecki generaі Eduard Dietl (katastrofa lotnicza w 1944), feldmarszaіek Walther von Reichenau (atak serca w 1942), czy feldmarszaіek Fedor von Bock (rajd bombowy Aliantуw).;;Один из наших знаменитых генералов ушел из жизни. В истории такое случалось не раз. Немецкий генерал Эдуард Дитль погиб в авиакатастрофе (1944), фельдмаршал Вальтер фон Рейхенау - от сердечного приступа (1942), а фельдмаршал Федор фон Бок - во время отпуска при авианалете союзников.  ;;;X
EVT_107_NAME;General dies on the battlefield;Un gйnйral meurt au champ de bataille;Il generale muore sul campo di battaglia;Un general muere en el campo de batalla;General stirbt auf dem Schlachtfeld;Generaі ginie na polu walki;;Генерал погибает в бою;;;X
EVT_107_DESC;We regret to inform you that one of our generals has been killed in action.  Histroic exapmles would include german flying ace Lothar von Richthofen, who was shot down over England in 1920, or british field marschal Douglas Haig, who was KIA during the British revolution.;Nous sommes au regret de vous informer que l’un de nos gйnйraux a йtй tuй au combat.  L’histoire contient des cas similaires avec l’ex-chef de l’armйe Werner von Fritsch (Varsovie, 1939), et quand l’avion de transport du gйnйral allemand Eugen von Schobert (TAC en 1941) , un Fieseler 'Storch', a atterri sur un champ de mines.;Ci rincresce informarvi che uno dei nostri generali и rimasto ucciso sul campo. Nella storia si sono verificati altri decessi in simili circostanze: il precedente Capo dell'Esercito tedesco Werner von Fritsch (a Varsavia, nel 1939) o il Generale tedesco Eugen von Schobert (morto in battaglia nel 1941), quando l'aereo su cui volava, un Fieseler 'Storch', atterrт su un campo minato.;Lamentamos informarte de que uno de tus generales ha muerto en combate. Ejemplos histуricos incluirнan al antiguo jefe del ejйrcito Werner von Fritsch (en Varsovia en 1939), y al general alemбn Eugen von Schobert (en 1941) cuando su aviуn de transporte, un Fieseler 'Storch' aterrizу en un campo de minas.;Es tut uns leid, Sie darьber informieren zu mьssen, dass einer unserer Generдle im Kampf gefallen ist. Zu den historischen Beispielen gehцren der ehemalige Deutsche Armeeoberbefehlshaber Werner von Fritsch (Warschau 1939) und der deutsche General Eugen von Schobert (im Kampf gefallen 1941), als sein Transportflugzeug, ein Fieseler 'Storch' mitten in einem Minenfeld landete.;Z bуlem informujemy, їe jeden z naszych generaіуw polegі w walce. Historia zna takie przypadki: byіy niemiecki dowуdca wojsk l№dowych Werner von Fritsch (Warszawa, 1939), niemiecki generaі Eugen von Schobert (1941, jego samolot transportowy Fieseler 'Storch' wyl№dowaі na polu minowym).;;Мы с сожалением сообщаем, что один из наших генералов пал на поле брани. Эта судьба постигла бывшего главнокомандующего немецкой армией Вернера фон Фритча (Варшава, 1939) и немецкого генерала Ойгена фон Шоберта (1941, его личный самолет Физелер-Шторьх сел на минное поле).;;;X
EVT_108_NAME;One of our generals retires ;Dйpart en retraite de l’un de nos gйnйraux;Uno dei nostri generali va in pensione;Uno de nuestros generales se retira;Einer unserer Generдle geht in den Ruhestand;Jeden z naszych generaіуw odchodzi na emeryturк;;Генерал уходит в отставку;;;X
EVT_108_DESC;Often generals retired from the military service because of old age, injuries or sometimes even because he got involved in politics, or was the victim of a smear campaign. ;La vieillesse est souvent l’une des raisons de dйpart en retraite des gйnйraux, tout comme les blessures, un dйbut de carriиre politique, ou une campagne de dйtraction. L’histoire contient des cas similaires avec le chef allemand des Armйes Werner von Fritsch, qui fut rйtrogradй d’office dans la Wehrmacht aprиs qu’une campagne bien orchestrйe ait ‘rйvйlй’ qu’il йtait homosexuel. ;Spesso i generali si ritirano dal servizio militare a causa dell'etа avanzata, o di problemi fisici, o a volte perchй entrano in politica o ancora perchй sono bersaglio di una campagna diffamatoria. Nella storia si ricordano alcuni personaggi che subirono questa sorte, tra cui il Capo dell'Esercito tedesco Werner von Fritsch, che fu degradato e costretto a tornare alla Wehrmacht dopo che una campagna orchestrata ai suoi danni rivelт la sua omosessualitа.;A menudo los generales se retiraban del servicio activo debido a la edad, a heridas o a veces incluso por haberse metido en polнtica o ser vнctimas de una campaсa de difamaciуn. Un ejemplo histуrico de ello serнa el jefe del ejйrcito alemбn Werner von Fritsch, que fue degradado a la fuerza en la Wehrmacht tras una orquestada campaсa que 'revelу' su homosexualidad. ;Manchmal ziehen sich Generдle aus dem Militдrdienst ob ihres hohen Alters, wegen Verletzungen, politischer Begebenheiten, oder auch weil sie Opfer einer Schmutzkampagne werden zurьck. Zu den historischen Beispielen gehцrt der deutsche Oberbefehlshaber der Armee Werner von Fritsch, der formell in der Wehrmacht degradiert wurde, nachdem eine gestellte Kampagne 'aufdeckte', dass er homosexuell war. ;Generaіowie przechodz№ na emeryturк najczкњciej z powodu wieku, odniesionych ran, ale takїe w wyniku zaangaїowania siк w politkк lub naciskуw po skandalu. Historyczne przypadki obejmuj№ niemieckiego dowуdcк wojsk l№dowych Wernera von Fritscha, ktуrego pozbawiono stopnia po tym, jak znaleziono 'dowody' ujawniaj№ce, їe jest on homoseksualist№.;;Генералы уходят в отставку по возрасту, вследствие полученных ранений или в результате политических провокаций. Примером последнего может служить дело главнокомандующего немецкой армией Вернера фон Фритча, который был снят с должности после грязной кампании и потока недоказанных обвинений в гомосексуализме.;;;X
EVT_109_NAME;A left-wing coup d'йtat happened to us;Nous avons йtй victimes d’un coup d’йtat gauchiste;Un colpo di stato della sinistra ci ha travolto;Hemos sufrido un golpe de estado de la izquierda radical;Ein Staatsstreich der Linken ;Przydarzyі siк nam lewicowy zamach stanu;;Наши левые радикалы произвели государственный переворот;;;X
